dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DECIDE1_ALX",-0.9418945,-0.9604492,-0.9082031,-0.5454102,0.03857422,0.6103516,0.5083008,0.4775391,0.8183594,0.6845703,0.590332,0.6274414,0.1791992,-0.07177734,-1.187012,-0.2910156,-0.3818359,-0.3286133,-0.3261719,-0.2749023,-0.284668,-0.3271484,-0.3486328,-0.4785156,-0.6738281,-0.8603516,-0.9003906,-0.8369141,-0.5415039,-0.9575195,-0.9741211,-0.9760742,-0.9907227,-0.9628906,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_ALY",-0.5019531,-0.6655273,-0.7553711,-1.101563,-0.9428711,-0.3916016,-0.1425781,-0.1289063,-0.2270508,-0.4907227,-0.6025391,-0.6542969,-0.8110352,-0.7392578,-1.498535,-0.8671875,-0.7641602,-0.8041992,-0.8134766,-0.7724609,-0.7963867,-0.8066406,-0.6298828,-0.6484375,-0.605957,-0.6313477,-0.640625,-0.4912109,-0.3027344,-0.4550781,-0.3427734,-0.3173828,-0.3066406,-0.328125,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_ALZ",0.1767578,0.3193359,0.3774414,0.7358398,0.5410156,0.2114258,0.03613281,-0.1865234,-0.1547852,0.1347656,0.2797852,0.2324219,0.6655273,0.4550781,1.006348,0.6401367,0.5727539,0.5961914,0.6191406,0.5834961,0.5917969,0.6049805,0.496582,0.5112305,0.4360352,0.4160156,0.3823242,0.4121094,0.246582,0.2036133,0.1049805,0.05761719,0.09619141,0.08447266,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_ARX",-0.9755859,-0.9941406,-0.9936523,-0.9702148,-0.9897461,-0.9545898,-0.9902344,-0.9755859,-1.114746,-0.6289063,-0.4335938,-0.359375,-0.09228516,0.09667969,-0.4492188,-0.4350586,-0.3105469,-0.3735352,-0.3300781,-0.3242188,-0.3007813,-0.3359375,-0.4140625,-0.5571289,-0.6459961,-0.9741211,-1.050781,-1.091797,-0.9902344,-0.909668,-0.9858398,-0.9868164,-0.9785156,-0.9570313,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_ARY",0.2543945,0.2602539,0.2749023,0.2416992,0.215332,0.1933594,0.2807617,0.3754883,0.6430664,0.8208008,0.5898438,0.6586914,0.5112305,0.6728516,1.327148,0.8173828,0.7592773,0.7827148,0.8193359,0.8271484,0.8066406,0.7851563,0.6357422,0.7441406,0.6020508,0.5083008,0.3076172,0.2456055,0.3032227,0.3886719,0.2568359,0.2514648,0.253418,0.2651367,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_ARZ",0.06054688,0.04785156,0.04394531,0.03613281,-0.004882813,-0.002929688,0.07324219,-0.02832031,0.1865234,0.4023438,0.4882813,0.3623047,0.3256836,0.421875,0.8525391,0.4848633,0.5107422,0.512207,0.5209961,0.5444336,0.4882813,0.5009766,0.3710938,0.3803711,0.3173828,0.1694336,0.06152344,-0.04589844,0.04492188,0.1494141,-0.004882813,0.008789063,0.06054688,0.03271484,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG0L",0,-1,-3,3,-1,-4,-3,-7,-3,-4,-3,4,-6,-17,5,2,-14,-2,-20,-2,8,5,2,-1,-7,3,-4,10,-11,-3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG1L",-2,0,10,2,1,4,10,-2,-16,19,10,9,-1,-9,-27,23,-42,-28,-1,16,15,61,3,-16,-12,-11,-10,-4,-12,5,-1,-3,-1,-7,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG2L",-1,0,24,4,1,34,-25,1,-4,3,0,-8,1,16,9,-26,-18,-10,-9,-5,37,-11,5,1,-2,0,3,-4,2,-2,-2,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG3L",5,3,0,-35,37,82,-24,3,3,-6,2,-4,5,28,-29,-4,34,13,10,7,3,47,6,17,0,-2,1,4,-4,-1,-1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG4L",20,12,19,13,-15,36,-1,-25,1,-32,2,9,-23,-23,89,-3,-25,-88,-30,-4,-3,10,5,7,2,0,-3,-1,0,-2,-1,-1,0,-3,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG5L",2,1,7,34,-10,-11,-2,-1,-10,1,0,11,-8,-15,1,-33,4,11,11,9,20,-13,7,-5,-1,-2,-5,-6,-4,-2,0,1,-2,-1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG6L",-7,1,25,23,3,36,21,-16,-39,-21,11,12,21,-54,-19,-90,-32,-19,-3,6,98,-27,-18,-17,-7,5,-18,-1,-14,-1,11,2,-5,-3,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG7L",-1,-3,1,1,4,-18,10,-23,-46,-3,-4,3,0,-16,10,-9,-17,-8,-8,2,42,-3,-7,-2,-1,6,-4,-1,0,1,1,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG0R",2,-2,0,0,-2,0,-8,-20,70,54,-99,32,12,-27,23,-59,27,15,-26,30,-19,47,8,4,0,-2,-1,3,-2,1,0,0,-2,-1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG1R",-2,0,1,0,0,0,-3,-1,-48,17,-7,-3,-2,2,-3,4,-10,8,-15,2,-12,5,2,3,0,-1,-2,0,-1,-1,-2,1,-2,0,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG2R",-3,0,-1,0,-1,-2,2,2,0,-3,-3,-9,-1,-8,-8,13,-5,13,-15,-3,-6,-10,4,-3,0,-2,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG3R",-1,-1,0,-2,0,-1,0,3,-3,-6,7,15,-3,-8,-21,20,-10,-4,-8,-9,4,-2,1,-7,-1,0,-2,-4,0,-1,-1,-2,-1,-2,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG4R",0,0,-1,-2,1,-3,-3,-3,2,1,50,9,29,-61,-121,29,3,19,6,-29,22,-24,7,-6,-3,-1,-3,-4,0,0,-3,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG5R",-1,-2,-2,-4,-2,-11,-2,-4,2,1,-2,-24,-9,-13,-10,27,-6,-6,-14,-11,-6,2,12,-1,6,4,4,-16,0,2,-9,-1,5,5,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG6R",-1,-1,-1,-2,-5,1,-4,-14,8,2,-5,-1,-3,4,6,-5,7,29,-8,5,-19,-1,-10,10,5,-2,-3,-1,-2,1,-3,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0
"DECIDE1_EMG7R",-1,-2,0,0,0,-1,-6,-49,35,5,-8,5,-6,-4,15,-1,69,1,-26,12,2,12,-2,33,1,-3,-5,6,-3,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
