dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HEARING1_ALX",-0.938477,-0.940918,-0.94043,-0.952148,-0.979004,-0.982422,-0.706543,0.130371,0.429688,0.400391,0.588379,0.563477,0.883301,1.06006,0.866699,0.697754,0.621094,0.733887,0.887207,0.887207,0.920898,0.717773,0.623535,0.35791,0.358887,0.402832,0.125,-0.949707,-0.942383,-0.934082,-0.922852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_ALY",-0.400879,-0.398438,-0.399902,-0.401855,-0.522949,-1.04004,-1.03662,-0.797363,-0.769531,-0.641602,-0.48291,-0.662109,-0.691406,-0.585449,-0.451172,-0.473145,-0.524902,-0.644531,-0.689453,-0.689453,-0.460938,-0.438477,-0.481934,-0.685547,-0.720215,-0.895508,-0.905762,-0.415527,-0.39209,-0.391602,-0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_ALZ",0.114258,0.105469,0.112793,0.0825195,0.0566406,0.501465,0.633789,0.519043,0.520508,0.473633,0.332031,0.0483398,-0.0327148,-0.0424805,0.00537109,0.0629883,0.078125,-0.0263672,-0.0141602,-0.0141602,0.012207,0.0834961,0.0961914,0.110352,0.23291,0.416016,0.376953,0.156738,0.115234,0.0825195,0.0571289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_ARX",-0.953613,-0.945313,-0.950684,-0.960449,-0.959473,-0.94043,-0.963379,-0.954102,-0.937988,-0.942383,-0.941406,-0.972656,-0.978516,-0.929688,-0.953125,-0.979981,-0.946289,-0.959473,-0.953125,-0.941406,-0.931152,-0.960449,-0.930176,-0.967285,-0.968262,-0.942383,-0.955566,-0.941406,-0.969238,-0.956055,-0.937988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_ARY",0.304199,0.317383,0.307129,0.31543,0.312012,0.321777,0.333008,0.307617,0.30127,0.311523,0.317871,0.294434,0.321777,0.32666,0.351563,0.309082,0.302246,0.324707,0.318359,0.31543,0.342285,0.313965,0.313965,0.283203,0.295898,0.345215,0.352051,0.304199,0.316406,0.34375,0.242676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_ARZ",0.0712891,0.0751953,0.0766602,0.0761719,0.0615234,0.102051,0.0932617,0.0551758,0.0644531,0.0610352,0.0820313,0.0703125,0.0620117,0.0639648,0.122559,0.0981445,0.0751953,0.0380859,0.0429688,0.0673828,0.104981,0.0898438,0.0556641,0.0444336,0.0678711,0.078125,0.103516,0.0727539,0.0541992,0.0405273,0.0473633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG0L",0,0,0,-1,-5,2,2,4,-8,3,1,-1,-12,9,7,1,-3,-3,0,16,0,7,-1,-4,-6,13,-10,2,3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG1L",0,-1,3,0,-11,-1,10,1,-2,1,3,5,0,-5,52,-2,-7,-3,-1,3,7,-11,3,7,4,0,1,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG2L",1,-1,-1,0,-6,0,5,-1,1,19,10,11,-6,-16,7,-44,-5,-9,12,15,25,-18,20,-7,0,-8,0,-3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG3L",-2,0,-1,2,-6,23,8,16,-28,4,6,-3,2,2,1,-3,0,-2,3,2,-1,-3,0,5,-7,-6,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG4L",0,-1,0,1,-17,32,-6,52,-56,4,5,-3,-1,1,-4,1,-1,-1,1,4,0,-3,-3,4,-9,1,-4,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG5L",-1,-1,-1,0,-17,-18,16,10,-2,8,4,6,15,-10,-6,3,0,-5,-10,8,-2,1,-7,2,-6,10,-8,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG6L",-2,-1,-2,-1,2,1,3,4,-5,-1,3,1,12,-25,-13,6,4,-3,-4,7,-2,-1,3,-3,-2,3,-1,-1,-1,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG7L",-2,0,-1,-1,-1,-2,2,-3,-26,-32,15,-6,-4,1,-2,21,10,7,2,-7,-7,4,1,-4,-3,5,3,0,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG0R",-1,-1,-1,-2,0,-1,1,-1,-2,-3,1,-1,0,-2,-1,-1,-3,1,-2,0,-1,-1,0,-1,-1,-1,-3,-1,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG1R",-2,-1,-1,-1,-2,-1,-2,-1,0,-1,-1,0,1,-1,-2,-1,-1,0,-2,-2,-1,-1,-2,-2,-1,-1,0,-3,-1,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG2R",-1,-3,0,-3,-1,1,-1,0,-2,-3,-3,1,-3,-1,-3,-1,-2,-3,-1,0,-2,-1,-2,-2,-1,-2,-3,-1,0,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG3R",-2,0,-1,0,-2,-1,0,0,0,-3,0,-1,-2,2,-2,0,-2,-3,-1,-2,-1,-5,-2,-1,-3,0,-2,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG4R",-1,0,-2,0,0,-2,-2,0,-3,-2,0,0,-3,0,-2,-1,-1,0,1,-1,-2,-1,0,-2,-1,0,-2,-3,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG5R",-1,-1,-1,-3,-1,-3,0,-1,-1,-2,-1,-2,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG6R",-1,-1,0,2,-1,-3,-1,-4,-3,0,-1,-1,-2,-2,0,-2,0,0,-1,-1,-1,-2,-2,-1,-1,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_EMG7R",-2,0,-2,-1,-1,-1,-1,-2,-1,-1,0,-1,-2,-1,-1,-1,-1,-1,-1,0,0,-2,-2,-2,0,1,-2,-1,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_GLX",-1,-2.375,-0.375,-1,-7.5,-51.0625,55.8125,-26.625,-48.75,-46.0625,-33.0625,28.6875,13.125,-6.9375,-19.4375,-2.5625,19.0625,25.625,4.0625,4.0625,-15.5625,14.625,33.6875,82.375,93.3125,57.6875,21.0625,-14.1875,1.1875,3.25,-0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_GLY",-1,-2.375,-0.375,-1,-7.5,-51.0625,55.8125,-26.625,-48.75,-46.0625,-33.0625,28.6875,13.125,-6.9375,-19.4375,-2.5625,19.0625,25.625,4.0625,4.0625,-15.5625,14.625,33.6875,82.375,93.3125,57.6875,21.0625,-14.1875,1.1875,3.25,-0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_GLZ",-1,-2.375,-0.375,-1,-7.5,-51.0625,55.8125,-26.625,-48.75,-46.0625,-33.0625,28.6875,13.125,-6.9375,-19.4375,-2.5625,19.0625,25.625,4.0625,4.0625,-15.5625,14.625,33.6875,82.375,93.3125,57.6875,21.0625,-14.1875,1.1875,3.25,-0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_GRX",-2.25,-2.375,0,-0.375,-5.375,1.1875,4.25,0.625,-1.0625,-8.375,-9.1875,-8.1875,-3.5625,-2.875,-0.375,1.25,4.3125,2.8125,-1.375,1.6875,4.5625,2.625,4.125,-14.0625,-18.4375,-11.125,-3.0625,-6.6875,1.875,-4.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_GRY",-2.25,-2.375,0,-0.375,-5.375,1.1875,4.25,0.625,-1.0625,-8.375,-9.1875,-8.1875,-3.5625,-2.875,-0.375,1.25,4.3125,2.8125,-1.375,1.6875,4.5625,2.625,4.125,-14.0625,-18.4375,-11.125,-3.0625,-6.6875,1.875,-4.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_GRZ",-2.25,-2.375,0,-0.375,-5.375,1.1875,4.25,0.625,-1.0625,-8.375,-9.1875,-8.1875,-3.5625,-2.875,-0.375,1.25,4.3125,2.8125,-1.375,1.6875,4.5625,2.625,4.125,-14.0625,-18.4375,-11.125,-3.0625,-6.6875,1.875,-4.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_ORL",2.93384,2.93269,2.93273,2.9299,2.92403,3.17159,3.32425,3.42432,3.31424,3.11981,2.91798,2.31585,2.40229,2.43217,2.39758,2.40338,2.43123,2.46808,2.51828,2.51828,2.51344,2.48336,2.48879,2.75074,2.96234,3.13203,3.26715,2.67052,2.74925,2.76314,2.78642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_OPL",6.84781,6.84427,6.84395,6.84327,6.82089,6.39778,5.9198,4.6799,4.10306,3.67299,3.47808,3.49629,3.48271,3.40803,3.34892,3.36598,3.43454,3.50038,3.49299,3.49299,3.37103,3.38605,3.43555,3.87998,4.19008,4.52522,5.07781,6.96766,6.97351,6.97413,6.96787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_OYL",7.96305,7.97188,7.9725,7.97079,7.98064,8.29917,8.44869,8.63113,8.727,8.91002,9.12052,9.91231,9.85187,9.80762,9.80539,9.79298,9.79442,9.8073,9.76535,9.76535,9.71859,9.76136,9.79916,9.79902,9.69925,9.55377,9.2482,7.69401,7.78301,7.7959,7.76532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_ORR",7.08783,7.08761,7.08605,7.08594,7.08456,7.08609,7.09181,7.08748,7.08026,7.08189,7.08332,7.041,7.03787,7.04219,7.08662,7.09066,7.06883,7.06815,7.07627,7.08853,7.11728,7.10559,7.09144,7.08175,7.06764,7.05624,7.06399,7.14832,7.15917,7.16433,7.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_OPR",6.97811,6.97404,6.97309,6.97309,6.96837,6.97205,6.97375,6.95662,6.94675,6.94461,6.94886,6.94075,6.94533,6.95427,6.95916,6.95439,6.95045,6.95059,6.95269,6.95698,6.96312,6.95648,6.94922,6.94373,6.94375,6.95718,6.97011,6.99293,7.00041,6.99774,6.98541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING1_OYR",7.63878,7.65198,7.6544,7.65416,7.66071,7.67303,7.67375,7.66372,7.65879,7.6734,7.68491,7.67999,7.68082,7.68824,7.72539,7.7303,7.70434,7.69327,7.70103,7.71258,7.72948,7.70963,7.68351,7.69204,7.69741,7.71841,7.74408,7.7868,7.79854,7.80635,7.86112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEARING2_ALX",-0.955566,-1.00781,-1.00781,-1.01123,-1.00928,-0.708008,0.00341797,0.49707,0.602539,0.628906,0.785156,0.638184,0.50293,1,1.11572,0.926269,0.688965,0.635742,0.873047,0.873047,1.11133,1.03809,0.748535,0.729981,0.737305,0.668945,0.514648,0.500488,0.452148,0.336426,-0.394043,-0.95459,-0.941894,-0.914551,-1.02246,-0.894531,-0.899414,-0.968262,-0.949219,0,0,0,0,0,0
"HEARING2_ALY",-0.366211,-0.374023,-0.374023,-0.480957,-0.696289,-0.904297,-0.859375,-0.595215,-0.506348,-0.456055,-0.410645,-0.41748,-0.527832,-0.708984,-0.560547,-0.438965,-0.384277,-0.420898,-0.580566,-0.580566,-0.513672,-0.39502,-0.335449,-0.480469,-0.53125,-0.531738,-0.578613,-0.608887,-0.797363,-0.810547,-0.907715,-0.759766,-0.570801,-0.493164,-0.524414,-0.472168,-0.440918,-0.355957,-0.349609,0,0,0,0,0,0
