dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HERE1_ALX",-0.9443359,-0.9482422,-0.9482422,-0.9541016,-0.9433594,-0.953125,-0.9960938,-1.07959,-0.9799805,-0.8491211,-0.7075195,-0.5947266,-0.3916016,-0.2280273,-0.324707,-0.4301758,-0.5117188,-0.5239258,-0.2329102,0.06005859,0.06005859,0.1982422,0.2358398,-0.02832031,-0.1577148,-0.3959961,-0.6591797,-0.6430664,-0.4736328,-0.2944336,-0.1381836,0.09765625,0.1547852,0.1191406,-0.05566406,-0.2143555,-0.5898438,-0.6010742,-0.5805664,-0.4003906,-0.3129883,-0.1782227,-0.1762695,-0.1254883,-0.07226563
"HERE1_ALY",-0.3959961,-0.3901367,-0.3876953,-0.387207,-0.378418,-0.4736328,-0.4760742,-0.5087891,-0.5112305,-0.730957,-0.5429688,-0.5175781,-0.4658203,-0.394043,-0.4936523,-0.4482422,-0.4912109,-0.6166992,-0.890625,-0.9277344,-0.9277344,-0.8647461,-0.8222656,-0.5541992,-0.4892578,-0.5219727,-0.5253906,-0.4926758,-0.7680664,-0.9614258,-1.089844,-0.9946289,-0.6274414,-0.6259766,-0.4365234,-0.4677734,-0.4755859,-0.5043945,-0.5463867,-0.7734375,-0.9150391,-1.071777,-0.9311523,-0.9643555,-0.7490234
"HERE1_ALZ",0.1201172,0.1103516,0.1108398,0.1152344,0.08935547,0.1196289,0.09082031,0.1821289,0.4038086,0.6000977,0.7138672,0.8076172,0.8081055,0.7436523,0.7055664,0.6005859,0.5888672,0.5952148,0.7353516,0.8916016,0.8916016,0.855957,0.9560547,1.126953,1.063477,0.9760742,0.7368164,0.4863281,0.5273438,0.6904297,0.7910156,0.9492188,1.024902,1.068359,1.052246,1.040527,0.7626953,0.6704102,0.4609375,0.5175781,0.6254883,0.8217773,0.7773438,0.8876953,0.9350586
"HERE1_ARX",-0.956543,-0.9477539,-0.965332,-0.9321289,-0.9555664,-1.021484,-1.069824,-0.9819336,-0.887207,-0.6860352,-0.5151367,-0.3422852,-0.3691406,-0.309082,-0.4023438,-0.4414063,-0.5341797,-0.4238281,-0.1767578,0.03808594,0.03808594,0.1333008,0.0859375,-0.1953125,-0.6464844,-0.7216797,-0.5693359,-0.4980469,-0.4487305,-0.3115234,-0.08056641,0.1572266,0.03027344,-0.1206055,-0.3852539,-0.8500977,-0.5888672,-0.4140625,-0.3413086,-0.3852539,-0.3222656,-0.1938477,-0.1269531,-0.08056641,-0.07910156
"HERE1_ARY",0.2949219,0.2988281,0.3041992,0.2724609,0.3149414,0.3569336,0.3330078,0.4716797,0.6650391,0.5976563,0.6098633,0.5512695,0.5507813,0.4624023,0.5766602,0.5771484,0.6523438,0.6860352,0.996582,0.8867188,0.8867188,0.7905273,0.6088867,0.6157227,0.6503906,0.597168,0.5751953,0.6704102,0.7661133,1.000977,0.980957,0.7548828,0.5498047,0.5415039,0.5947266,0.5224609,0.5605469,0.5751953,0.7280273,0.8676758,0.9414063,0.9311523,0.8535156,0.7783203,0.6352539
"HERE1_ARZ",0.06054688,0.06347656,0.05566406,0.03417969,0.01757813,0.007324219,0.1660156,0.3857422,0.4892578,0.6616211,0.7036133,0.6923828,0.5986328,0.5805664,0.5092773,0.4858398,0.5751953,0.5986328,0.8359375,0.8129883,0.8129883,0.8803711,0.8657227,0.894043,0.7973633,0.546875,0.3867188,0.453125,0.5327148,0.7211914,0.7841797,0.8828125,0.9453125,0.9257813,0.8994141,0.5429688,0.4169922,0.421875,0.4804688,0.6210938,0.7563477,0.7700195,0.7788086,0.8583984,0.8613281
"HERE1_EMG0L",-2,1,-3,-1,0,0,3,-4,0,-2,-3,-7,-4,-6,-1,-6,3,-3,1,7,7,3,-5,-6,1,3,-1,-6,6,-1,-1,0,-1,-6,-3,-2,-4,2,1,-4,0,0,-1,-4,-5
"HERE1_EMG1L",-2,-1,-1,0,0,0,0,-9,-1,-3,-20,34,-14,13,0,-7,-29,-4,-4,-14,-14,-1,-4,-2,-1,8,-3,-16,11,0,0,14,2,-3,-13,-22,-11,18,6,-4,6,-13,1,1,-3
"HERE1_EMG2L",-1,-1,-1,2,0,-3,-2,-4,1,6,-1,1,-1,1,1,-5,-2,-2,-5,-3,-3,-8,-1,0,0,0,-2,-1,-3,13,-3,9,5,-2,2,-4,-1,-1,-2,-3,-2,-3,1,-9,4
"HERE1_EMG3L",-2,1,-1,-2,0,-2,-2,-3,1,32,-3,1,-7,-2,-4,-2,-1,-3,-5,-12,-12,-1,-3,4,-2,1,-4,3,3,11,6,5,-3,2,3,-3,-1,-3,-2,0,9,-39,8,2,-5
"HERE1_EMG4L",-2,-1,-1,-1,-2,-1,-4,0,0,-28,-10,16,-10,-2,-2,-4,-1,-3,-15,1,1,3,1,1,-2,0,-3,1,8,10,1,3,-2,0,0,-2,-1,-2,-1,1,0,-16,6,-1,1
"HERE1_EMG5L",-1,1,1,-1,-2,-11,-3,0,2,-12,2,-1,0,-4,1,-1,-1,0,-5,8,8,0,-1,1,2,-6,-3,1,3,2,-2,0,0,0,-1,-1,-2,-1,-1,5,0,-2,-1,-1,-1
"HERE1_EMG6L",0,0,-3,-3,0,-26,-5,-33,-1,-65,-21,14,-8,0,-3,-35,20,-3,-7,14,14,17,6,-7,-47,-6,-9,-8,6,-6,28,9,-38,12,-13,12,8,-3,2,11,-22,23,5,-5,9
"HERE1_EMG7L",0,-1,-1,1,2,-8,0,-12,3,-9,-3,4,3,-5,0,-11,-5,-2,-7,13,13,-3,-15,-3,0,0,-3,-3,9,-10,6,6,-2,7,-5,-2,5,0,8,-2,0,9,-2,-2,-1
"HERE1_EMG0R",-1,-2,-2,-1,-3,-3,-7,1,-2,-12,13,3,0,-5,5,-9,3,4,-7,-2,2,-7,11,23,-13,9,-2,0,0,-5,2,-6,8,2,20,10,2,-1,-1,1,-2,-1,-1,8,-3
"HERE1_EMG1R",-1,-1,-3,-2,-2,-15,16,10,6,-17,-6,0,-1,0,-3,-4,-5,4,-9,-1,0,0,3,-1,-3,-1,-1,-1,0,-5,5,1,-4,8,-3,16,2,-4,2,5,-3,-4,0,1,0
"HERE1_EMG2R",-2,-2,0,-2,-1,1,2,10,3,-5,-3,1,-1,-1,-2,-5,-6,2,-12,1,-2,0,1,-1,-4,2,3,0,3,-5,3,4,-3,1,-2,2,2,-5,2,7,-2,0,3,-2,0
