dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HOSPITAL1_ALX",-0.9389648,-0.9355469,-0.9423828,-0.9970703,-0.9223633,-0.8344727,-0.5712891,-0.2832031,0.03027344,0.09033203,0.2050781,0.6049805,0.6459961,0.1123047,-0.01171875,0.02148438,0.2353516,0.128418,-0.1821289,-0.2524414,-0.09472656,-0.1474609,-0.1801758,-0.1982422,-0.2001953,-0.237793,-0.2241211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ALY",-0.4072266,-0.4077148,-0.4067383,-0.5249023,-0.7143555,-0.8681641,-0.8544922,-0.9384766,-0.921875,-0.8144531,-1.01123,-0.9951172,-1.094238,-0.5546875,-0.7783203,-0.9648438,-0.909668,-0.8686523,-0.9624023,-1.258301,-1.186523,-1.01709,-0.9951172,-0.9785156,-0.9887695,-0.996582,-0.9736328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ALZ",0.1142578,0.1088867,0.1113281,0.2358398,0.4155273,0.5722656,0.6049805,0.6079102,0.5878906,0.5639648,-0.05810547,0.1494141,0.4248047,0.2011719,0.09619141,0.03955078,0.03173828,0.01464844,0.08203125,0.09228516,0.1171875,0.09082031,0.1469727,0.1469727,0.1494141,0.1645508,0.1357422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ARX",-0.6547852,-0.659668,-0.652832,-0.6376953,-0.6455078,-0.6577148,-0.6479492,-0.6450195,-0.6445313,-0.6757813,-0.7294922,-0.6728516,-0.6894531,-0.7294922,-0.7456055,-0.7143555,-0.706543,-0.7270508,-0.7055664,-0.6879883,-0.6958008,-0.6762695,-0.6928711,-0.6777344,-0.6831055,-0.6899414,-0.6855469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ARY",0.6782227,0.6855469,0.6855469,0.6879883,0.7045898,0.6850586,0.6933594,0.7182617,0.7211914,0.6899414,0.637207,0.7275391,0.6538086,0.5795898,0.5800781,0.644043,0.6616211,0.6733398,0.6450195,0.7128906,0.6767578,0.6367188,0.668457,0.6523438,0.675293,0.6723633,0.6557617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_ARZ",0.3486328,0.3457031,0.3481445,0.3461914,0.3496094,0.3481445,0.3227539,0.3364258,0.3427734,0.3212891,0.3286133,0.2802734,0.2900391,0.3041992,0.2988281,0.3388672,0.3173828,0.2836914,0.2900391,0.2983398,0.3295898,0.3310547,0.3256836,0.3442383,0.3154297,0.3261719,0.315918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG0L",1,-2,-5,-4,0,-7,3,-3,0,1,-12,1,11,-6,5,-51,10,-21,-7,5,-8,13,25,-8,-15,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG1L",-1,-3,-1,-7,-1,-4,1,0,1,0,-8,-6,14,-27,-6,-26,-9,-12,26,-27,-1,34,-19,24,3,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG2L",2,-5,-1,-2,-8,0,3,8,1,-5,-20,0,2,-10,-13,-47,5,-12,6,0,-12,-58,-11,11,31,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG3L",-1,-2,-1,5,-22,-6,6,39,-8,-8,-7,1,0,2,-5,-11,10,-6,5,-2,-9,-3,0,2,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG4L",-1,-2,-1,-13,-2,18,103,-17,-19,-5,0,1,-3,1,-2,-13,5,-4,3,-3,-8,1,-1,2,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG5L",0,-1,-2,-8,-1,-5,4,18,-12,2,2,2,-6,-3,1,-12,13,0,5,-2,-9,0,3,1,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG6L",-3,0,1,-6,-5,-4,-3,6,-2,-10,-1,-1,-38,6,-15,-13,-16,-40,13,10,-12,-1,34,9,-9,28,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG7L",-2,-1,-2,-4,1,-4,0,-2,1,-3,1,-13,-49,-4,71,9,-46,11,-43,-3,-47,-55,38,3,27,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG0R",-1,0,-1,-1,-2,-2,-3,-3,-3,-1,-5,-1,-1,0,-2,-2,-3,-3,-2,1,-2,5,-1,2,-2,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG1R",2,-4,-4,-1,-4,-3,-5,-7,1,-2,-10,-11,2,0,3,-1,-3,-3,-3,2,-2,3,0,-2,3,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG2R",2,-3,-2,-2,-3,-1,-3,-5,-3,-6,-2,-8,-3,-1,-1,-1,-3,-3,-2,-1,-4,-3,1,0,2,-3,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG3R",-2,5,-2,13,-8,2,6,-2,5,-18,-2,-11,-6,2,2,-6,-4,-10,1,-4,5,2,4,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG4R",-9,1,-1,3,0,-3,7,-4,-5,-2,-2,-3,-8,-3,-6,8,-17,-5,40,-8,0,5,11,8,-1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG5R",-1,-6,-2,-3,-6,1,0,0,-1,-1,-2,0,-4,-1,-3,2,-4,-2,-2,-1,-3,-1,1,5,3,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG6R",4,-4,-10,-7,-12,13,-11,1,-7,2,1,-1,-6,-6,-1,1,-1,-6,-7,-3,-3,-6,1,4,2,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_EMG7R",0,-3,0,-2,-1,-3,-4,-3,-2,-2,-1,0,-2,-2,-3,-1,-1,-4,-3,-3,-2,-2,-3,-1,0,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_GLX",-5.5,-3.6875,-4.5625,4.5625,-58.125,-71.0625,-64,-81.5625,-86.625,-85.0625,23.0625,-3.5625,25.0625,98.375,-65.6875,13.9375,-2.25,5.9375,-24,31.375,54.75,17.6875,-1.9375,2.25,4,8.375,8.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOSPITAL1_GLY",-5.5,-3.6875,-4.5625,4.5625,-58.125,-71.0625,-64,-81.5625,-86.625,-85.0625,23.0625,-3.5625,25.0625,98.375,-65.6875,13.9375,-2.25,5.9375,-24,31.375,54.75,17.6875,-1.9375,2.25,4,8.375,8.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
