dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"IF1_ALX",-0.949707,-0.941406,-0.945313,-0.944336,-0.947754,-0.956543,-0.930176,-0.926269,-0.933594,-0.955566,-0.959473,-0.970215,-0.995606,-0.992676,-1.0083,-0.943359,-0.853027,-0.598144,-0.452148,-0.143555,0.164551,0.508789,0.640625,0.641113,0.741211,0.688477,0.766113,0.756348,0.874512,0.955566,0.935547,0.935547,0.935547,0.922363,0.921875,0.925293,0.937012,0.863281,0.851563,0.899902,0.975586,0.964356,0.958008,0.959473,0.959473
"IF1_ALY",-0.38916,-0.391602,-0.390625,-0.390625,-0.390625,-0.373535,-0.391602,-0.407715,-0.397949,-0.382813,-0.429688,-0.416992,-0.464355,-0.616211,-0.618652,-0.798828,-0.793457,-0.772461,-0.745606,-0.688965,-0.631836,-0.475586,-0.37207,-0.358887,-0.329102,-0.312988,-0.32959,-0.302734,-0.347656,-0.35791,-0.355957,-0.355957,-0.355957,-0.308105,-0.308594,-0.305176,-0.306152,-0.359863,-0.399414,-0.366211,-0.311523,-0.329102,-0.317871,-0.313477,-0.313477
"IF1_ALZ",0.128906,0.129883,0.128906,0.132813,0.136719,0.125,0.129883,0.148926,0.156738,0.160156,0.143066,0.160156,0.205566,0.295898,0.373535,0.520019,0.71875,0.766602,0.805176,0.76416,0.675293,0.558594,0.421875,0.447266,0.337402,0.215332,0.194824,0.197754,0.129883,0.0922852,0.0927734,0.0927734,0.0927734,0.113769,0.0947266,0.0415039,0.0224609,-0.102539,-0.0649414,0.0117188,0.00634766,0.0571289,0.0913086,0.106445,0.106445
"IF1_ARX",-0.957031,-0.961914,-0.96582,-0.953125,-0.955078,-0.961914,-0.962891,-0.951172,-0.957031,-0.958496,-0.958008,-0.956055,-0.946777,-0.962402,-0.96875,-0.973633,-0.963379,-0.960449,-0.95459,-0.958008,-0.948242,-0.957519,-0.963867,-0.947266,-0.947266,-0.950684,-0.95459,-0.964356,-0.963867,-0.957519,-0.942383,-0.957519,-0.964844,-0.958496,-0.95459,-0.952148,-0.945801,-0.948731,-0.956543,-0.953613,-0.947754,-0.955078,-0.956543,-0.95459,-0.957519
"IF1_ARY",0.291016,0.282715,0.285645,0.276367,0.288086,0.284668,0.275879,0.290039,0.282227,0.277832,0.286621,0.289551,0.28418,0.290527,0.29248,0.294922,0.288574,0.294434,0.289063,0.286133,0.287598,0.293457,0.312988,0.3125,0.307129,0.302734,0.287109,0.291016,0.291504,0.296875,0.307617,0.293945,0.292969,0.296387,0.304199,0.300293,0.30127,0.285645,0.289063,0.293945,0.313965,0.311523,0.313477,0.30127,0.300293
"IF1_ARZ",0.0581055,0.0668945,0.0712891,0.065918,0.065918,0.0683594,0.0561523,0.0615234,0.0625,0.0654297,0.0576172,0.0625,0.0639648,0.0595703,0.0751953,0.0615234,0.0537109,0.0537109,0.0517578,0.0512695,0.0561523,0.059082,0.0737305,0.0649414,0.0595703,0.0649414,0.0478516,0.0585938,0.0541992,0.0551758,0.0639648,0.0615234,0.0610352,0.0512695,0.0532227,0.0556641,0.0605469,0.0541992,0.0507813,0.0527344,0.0610352,0.0708008,0.0830078,0.0678711,0.0639648
"IF1_EMG0L",-1,0,0,-3,-2,1,0,-2,0,-2,3,-3,1,-2,-2,-4,-1,-2,-6,5,-6,-2,-2,-7,-1,4,-2,-6,0,-1,-1,4,1,-3,-1,-2,-8,-1,-4,-4,1,-1,-1,5,5
"IF1_EMG1L",-2,-1,1,0,-2,1,-2,-3,-5,-6,2,1,0,-3,-1,-3,1,-5,-4,1,-4,-2,2,-1,-4,5,-6,-10,-3,1,-2,2,6,2,-3,-9,-8,0,2,-4,5,2,-3,3,3
"IF1_EMG2L",-1,-2,-2,-1,0,0,0,0,5,-1,10,6,4,0,6,-1,-6,18,-6,2,-1,-11,28,22,-13,-3,-10,-29,3,-4,5,-1,10,16,-35,-32,-20,-7,0,3,6,2,-8,26,26
"IF1_EMG3L",-1,-2,-1,-1,0,-3,-3,0,-1,0,1,1,1,0,-9,-14,-19,-10,-21,19,-23,-11,2,5,5,1,11,1,3,-2,-3,2,13,2,2,-3,-8,0,-4,1,2,-3,-13,7,7
