dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"LARGE1_ALX",-0.8964844,-1.003906,-0.4594727,-0.08886719,0.1108398,0.2519531,0.2524414,0.2543945,0.2514648,0.2626953,0.4775391,-0.8432617,0.08984375,-0.03076172,-0.02392578,-0.008789063,-0.04052734,-0.06347656,-0.06347656,-0.06640625,-0.04199219,0.1474609,0.1689453,0.1630859,0.6547852,-0.5932617,-0.05078125,0.02539063,-0.08349609,-0.08349609,-0.01611328,-0.07177734,0.02441406,0.01611328,-0.05761719,-0.04443359,-0.04003906,-0.06640625,-0.1376953,-0.2001953,0,0,0,0,0
"LARGE1_ALY",-0.7670898,-0.7509766,-0.6137695,-0.7158203,-0.7299805,-0.7949219,-0.7758789,-0.831543,-0.8198242,-0.7700195,-0.6850586,-1.104004,-0.7036133,-0.7905273,-0.8442383,-0.8183594,-0.8500977,-0.9282227,-0.9282227,-1.039063,-1.090332,-0.8305664,-0.6259766,-0.5527344,-0.6704102,-1.345703,-1.380859,-0.9423828,-0.9008789,-0.9008789,-0.9091797,-0.9267578,-0.9189453,-0.8837891,-0.8999023,-0.9179688,-0.859375,-0.8339844,-0.8549805,-0.8916016,0,0,0,0,0
"LARGE1_ALZ",0.3085938,0.4365234,0.5371094,0.5214844,0.6206055,0.6103516,0.6254883,0.546875,0.5668945,0.5751953,0.375,1.098633,0.5273438,0.6337891,0.6889648,0.6425781,0.6425781,0.6313477,0.6313477,0.6171875,0.4648438,0.4902344,0.5268555,0.53125,0.4838867,0.9726563,0.8212891,0.5283203,0.5141602,0.5141602,0.4804688,0.5419922,0.5146484,0.5039063,0.4780273,0.4755859,0.5356445,0.4458008,0.4130859,0.3945313,0,0,0,0,0
"LARGE1_ARX",-0.9575195,-0.7509766,-0.3740234,-0.08105469,0.005859375,-0.01611328,0.04736328,0.03076172,0.07714844,0.2861328,-0.3964844,-0.5351563,-0.1430664,-0.1269531,-0.09667969,-0.08544922,-0.1293945,-0.1157227,-0.1157227,-0.1157227,0.03857422,0.09228516,0.05908203,0.1210938,-0.2817383,0.04833984,0.2016602,-0.1293945,-0.1713867,-0.1713867,-0.105957,-0.09375,-0.1118164,-0.1196289,-0.1279297,-0.1176758,-0.1796875,-0.1982422,-0.2788086,-0.4355469,0,0,0,0,0
"LARGE1_ARY",0.5722656,0.7460938,0.7080078,0.6777344,0.78125,0.8891602,0.8901367,0.8657227,0.8081055,0.7836914,0.9946289,1.088379,0.78125,0.8081055,0.8452148,0.8720703,0.90625,1.023926,1.023926,1.043945,1.008301,0.7763672,0.7348633,0.7050781,1.415039,1.356445,1.09082,0.9038086,0.8818359,0.8818359,0.909668,0.9277344,0.9135742,0.9165039,0.9111328,0.9091797,0.8525391,0.8452148,0.8613281,0.815918,0,0,0,0,0
"LARGE1_ARZ",0.375,0.3916016,0.4165039,0.4418945,0.5058594,0.5732422,0.5209961,0.503418,0.46875,0.4077148,0.7163086,0.7348633,0.4760742,0.5595703,0.5336914,0.4985352,0.4941406,0.4560547,0.4560547,0.440918,0.3823242,0.3461914,0.3422852,0.3828125,0.7875977,0.3847656,0.3144531,0.4345703,0.4135742,0.4135742,0.3657227,0.3833008,0.3710938,0.3686523,0.3798828,0.3740234,0.3540039,0.3989258,0.3173828,0.309082,0,0,0,0,0
"LARGE1_EMG0L",-2,2,0,-9,4,-21,5,-6,4,-14,9,-8,5,-9,-12,-9,32,9,9,11,-8,-31,2,-10,-2,-47,-38,20,-16,19,73,-8,-13,-6,-2,5,8,-3,-2,-2,0,0,0,0,0
"LARGE1_EMG1L",0,0,11,2,1,-3,-1,-2,7,-18,-6,4,-10,17,-58,-14,53,31,31,-11,-44,21,22,9,43,-64,6,-17,-43,-5,47,-15,-13,13,-11,2,-5,-2,-4,0,0,0,0,0,0
"LARGE1_EMG2L",-2,-3,-35,19,3,6,13,9,-12,5,-53,-1,-10,-1,13,15,-1,-50,-50,-16,-29,-12,-4,10,30,-63,0,-12,17,-9,15,-33,-30,19,11,5,-17,6,-4,0,0,0,0,0,0
"LARGE1_EMG3L",2,-7,-19,-7,-6,2,3,0,-5,2,-16,-31,-10,7,-5,-1,3,-13,-13,4,12,6,0,-7,-20,-7,-40,-9,64,21,-30,-20,-5,23,20,1,-32,0,-2,4,0,0,0,0,0
