dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"ABOUT1_ALX",0.8388672,0.8378906,0.8339844,0.8447266,0.8364258,0.8447266,0.8427734,0.8417969,0.8476563,0.8339844,0.8369141,0.8295898,0.8286133,0.862793,0.8720703,0.8740234,0.8530273,1.234375,1.133301,0.09277344,-0.06445313,0.03320313,0.0625,-0.2670898,-0.5722656,-0.746582,-0.6865234,-0.612793,-0.2265625,0.2841797,0.4443359,0.05566406,-0.01660156,-0.2070313,-0.3603516,-0.4501953,-0.4135742,-0.1704102,-0.1630859,-0.3276367,-0.3027344,-0.3017578,-0.2456055,-0.3032227,-0.2744141
"ABOUT1_ALY",0.4814453,0.4853516,0.4765625,0.4794922,0.4794922,0.4775391,0.4736328,0.4838867,0.4697266,0.4819336,0.480957,0.5004883,0.5048828,0.5039063,0.4863281,0.5297852,0.5585938,1.051758,1.853516,0.71875,0.09863281,0.4526367,0.9042969,1.624512,1.425293,1.026855,0.4985352,0.2592773,-0.1782227,0.6235352,0.8911133,1.40332,1.562012,1.604492,1.269531,0.859375,0.7705078,0.8769531,0.9179688,1.056152,1.002441,0.9365234,0.9555664,0.8896484,0.9414063
"ABOUT1_ALZ",-0.07177734,-0.07666016,-0.07373047,-0.07421875,-0.08398438,-0.07568359,-0.08349609,-0.08251953,-0.08105469,-0.08349609,-0.07470703,-0.07080078,-0.06298828,-0.07177734,-0.09179688,-0.1152344,-0.1113281,0.006835938,0.3911133,0.2636719,-0.01269531,0.190918,0.1191406,-0.02441406,-0.04541016,-0.1191406,-0.1147461,-0.175293,-0.1972656,0.07470703,0.3500977,0.2006836,0.128418,0.03662109,-0.05322266,-0.06542969,-0.006835938,0.2851563,0.3603516,0.2324219,0.2114258,0.2211914,0.2841797,0.2265625,0.2368164
"ABOUT1_ARX",0.8876953,0.8945313,0.8891602,0.8891602,0.8891602,0.9018555,0.9277344,1.032715,1.143066,0.9145508,0.4980469,0.08984375,-0.05810547,-0.06298828,-0.02441406,-0.1933594,-0.2797852,-0.3012695,-0.2836914,-0.3222656,-0.2861328,-0.2055664,-0.2304688,-0.3129883,-0.3188477,-0.277832,-0.2509766,-0.2783203,-0.2915039,-0.2729492,-0.3100586,-0.3076172,-0.3046875,-0.2734375,-0.2490234,-0.2734375,-0.2734375,-0.2666016,-0.2402344,-0.265625,-0.2368164,-0.2460938,-0.265625,-0.2617188,-0.2592773
"ABOUT1_ARY",-0.4160156,-0.421875,-0.4135742,-0.4194336,-0.4160156,-0.4140625,-0.4360352,-0.6728516,-0.96875,-1.080566,-0.9106445,-0.5683594,-0.4550781,-0.765625,-0.8422852,-0.9814453,-0.8662109,-0.9599609,-0.8999023,-0.8666992,-1.015625,-0.9819336,-0.9394531,-0.9638672,-0.9458008,-0.9394531,-0.9619141,-0.9472656,-0.9384766,-0.9238281,-0.9052734,-0.8862305,-0.9052734,-0.9399414,-0.9086914,-0.9882813,-0.9682617,-0.9580078,-0.9296875,-0.9384766,-0.9418945,-0.9238281,-0.9296875,-0.9277344,-0.9384766
"ABOUT1_ARZ",-0.1660156,-0.1621094,-0.1674805,-0.1655273,-0.1665039,-0.1625977,-0.1533203,-0.1928711,-0.04638672,0.3081055,0.293457,0.1611328,0.07275391,0.2612305,0.3500977,0.3466797,0.2822266,0.3173828,0.3359375,0.3046875,0.3173828,0.2407227,0.2392578,0.3056641,0.3354492,0.3320313,0.2978516,0.269043,0.2719727,0.2680664,0.2851563,0.2998047,0.3173828,0.3491211,0.3334961,0.3388672,0.3222656,0.3164063,0.2988281,0.3364258,0.3359375,0.3305664,0.3085938,0.3168945,0.3378906
"ABOUT1_EMG0L",-3,0,-1,2,-3,-2,-1,2,-2,-2,0,0,-1,-1,3,-2,1,-3,1,-2,0,-1,-4,3,-2,3,0,-1,-1,-3,0,-3,-3,-5,4,1,-1,1,-5,-3,-2,2,-1,-2,1
"ABOUT1_EMG1L",3,-3,0,0,-3,0,2,1,-2,-4,0,1,-1,1,-4,-2,1,1,-4,0,-2,-1,-1,1,0,-2,1,0,-3,-1,0,-4,-3,-2,0,1,-2,1,0,-3,4,-3,-4,-1,-1
"ABOUT1_EMG2L",-1,-1,0,2,2,0,-1,1,0,0,-1,-5,-2,-1,-3,0,0,15,-9,1,-1,-1,-4,-4,-3,4,-2,-2,1,0,-5,3,-6,-4,4,-1,-2,-4,-2,2,-3,3,-3,0,-1
"ABOUT1_EMG3L",-2,-1,-1,1,1,0,-4,0,-1,-2,0,-1,0,1,0,1,0,10,1,-4,0,0,-5,-4,1,-76,4,-6,0,-3,3,1,-11,-3,2,0,-7,-4,-1,-1,3,2,0,0,-6
