dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"AND1_ALX",0.8999023,0.9003906,0.8945313,0.8989258,0.9003906,0.8955078,0.8969727,0.8969727,1.078613,1.246094,0.9296875,0.09912109,-0.09667969,-0.08886719,-0.03320313,-0.2055664,-0.3095703,-0.3999023,-0.4189453,-0.4404297,-0.4208984,-0.03369141,-0.001464844,-0.3544922,-0.625,-1.007324,-0.9433594,-0.5620117,-0.5327148,-0.4658203,-0.5361328,-0.515625,-0.5097656,-0.496582,-0.5126953,-0.5107422,-0.5029297,-0.487793,-0.4912109,-0.5263672,-0.5083008,-0.5195313,-0.5039063,-0.4980469,-0.5043945
"AND1_ALY",0.3442383,0.3535156,0.3540039,0.3486328,0.3500977,0.3457031,0.347168,0.347168,0.7587891,1.041016,1.322266,0.6430664,0.5283203,0.4790039,0.3061523,0.7280273,0.8955078,0.9135742,0.9042969,0.9570313,0.9052734,1.043457,1.106934,1.076172,0.9428711,0.5180664,0.496582,0.90625,0.8491211,0.8291016,0.8344727,0.8666992,0.8603516,0.8793945,0.8510742,0.8442383,0.8789063,0.8510742,0.8544922,0.8486328,0.8569336,0.8637695,0.8662109,0.8754883,0.8535156
"AND1_ALZ",-0.1025391,-0.1049805,-0.1108398,-0.1113281,-0.1098633,-0.1142578,-0.1166992,-0.1166992,-0.1870117,0.02197266,0.3818359,0.4599609,0.2358398,0.2368164,0.09960938,0.06835938,0.08007813,0.09472656,0.07177734,0.1137695,0.1103516,0.01074219,0.01757813,0.2290039,0.1367188,0.4067383,-0.07128906,0.02783203,-0.1152344,-0.08984375,-0.06787109,-0.01367188,-0.06591797,-0.04980469,-0.04150391,-0.04150391,-0.03955078,-0.03369141,-0.04833984,-0.0703125,-0.02832031,-0.05615234,-0.05078125,-0.03466797,-0.05419922
"AND1_ARX",0.9101563,0.9091797,0.9121094,0.9121094,0.9155273,0.909668,0.9106445,0.9160156,0.9033203,0.8955078,0.9038086,0.9316406,0.9125977,0.9365234,0.9179688,0.8994141,0.9077148,0.9077148,0.9194336,0.8984375,0.9033203,0.9194336,0.8994141,0.9145508,0.9052734,0.8857422,0.9169922,0.9306641,0.8828125,0.875,0.9228516,0.9375,0.909668,0.894043,0.9125977,0.9306641,0.9145508,0.9125977,0.909668,0.9052734,0.9165039,0.9135742,0.9106445,0.9165039,0.909668
"AND1_ARY",-0.3789063,-0.3774414,-0.3798828,-0.3710938,-0.3754883,-0.3764648,-0.3764648,-0.3789063,-0.3710938,-0.3525391,-0.402832,-0.4267578,-0.3852539,-0.3959961,-0.355957,-0.3110352,-0.3188477,-0.4233398,-0.40625,-0.402832,-0.4101563,-0.4208984,-0.371582,-0.3427734,-0.3671875,-0.3935547,-0.4057617,-0.4228516,-0.4262695,-0.3466797,-0.3540039,-0.362793,-0.394043,-0.3603516,-0.3666992,-0.3818359,-0.3701172,-0.3720703,-0.3808594,-0.3588867,-0.371582,-0.3691406,-0.3706055,-0.3706055,-0.3720703
"AND1_ARZ",-0.1577148,-0.1567383,-0.1582031,-0.1591797,-0.1591797,-0.1567383,-0.15625,-0.1523438,-0.1601563,-0.1538086,-0.1508789,-0.1479492,-0.1484375,-0.1547852,-0.1547852,-0.1660156,-0.1655273,-0.1694336,-0.1738281,-0.1523438,-0.1469727,-0.1572266,-0.1591797,-0.1625977,-0.1523438,-0.1367188,-0.1523438,-0.1645508,-0.1220703,-0.1279297,-0.1396484,-0.1743164,-0.175293,-0.1586914,-0.1401367,-0.1430664,-0.1445313,-0.1445313,-0.1499023,-0.1567383,-0.152832,-0.1655273,-0.1582031,-0.1552734,-0.1455078
"AND1_EMG0L",-1,0,-1,0,-1,-1,-1,0,1,3,-2,-4,-6,-5,0,-1,-3,0,2,1,-2,4,7,30,-17,12,-7,4,-12,-7,-21,3,5,4,-2,-9,7,6,-1,-7,-1,-10,3,-1,7
"AND1_EMG1L",-4,0,-2,0,1,1,-4,-4,2,-2,-3,2,-1,-2,2,3,3,-1,-1,-3,-3,2,-1,28,-8,26,-15,7,-9,-3,-6,-1,-2,3,3,-6,11,0,-6,1,5,-5,0,2,-3
"AND1_EMG2L",-2,-4,1,-2,1,-1,-2,-1,0,-4,-2,6,1,-1,4,-1,3,-2,1,-4,-5,2,-5,23,-3,12,-49,3,-23,-4,-6,-6,-6,3,-3,-4,8,-6,-5,4,-1,-4,2,0,4
"AND1_EMG3L",-4,2,-1,0,-1,0,0,-1,-5,3,-3,5,-1,-1,-6,10,6,-9,-5,-1,-4,-11,-8,-12,103,-55,89,3,-72,-45,-26,13,34,-67,-8,-27,40,-11,-13,14,-59,-6,18,10,40
