dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAN1_ALX",0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.87793,0.240723,0.229492,0.231934,0.221191,0.255859,0.233398,0.225586,0.225098,0.222656,0.225586,0.220703
"CAN1_ALY",0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,0.392578,-1.00635,-0.993652,-0.942871,-1.00732,-0.993652,-0.959473,-1.01465,-1.00879,-0.981934,-0.979981,-0.996582
"CAN1_ALZ",-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.081543,-0.00439453,-0.0141602,-0.00683594,0.0078125,0.00439453,-0.00683594,-0.00390625,-0.00341797,0.00146484,0.0161133,0.019043
"CAN1_ARX",0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.882324,0.0786133,0.0913086,0.0834961,0.0854492,0.081543,0.0625,0.0517578,0.0610352,0.0629883,0.0556641,0.0644531
"CAN1_ARY",-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,-0.422852,0.968262,0.968262,0.982422,0.973633,1.00928,0.981445,0.973144,0.980469,0.972168,0.984863,0.983887
"CAN1_ARZ",-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.182129,-0.0893555,-0.078125,-0.0908203,-0.104981,-0.0878906,-0.0878906,-0.0981445,-0.104981,-0.0878906,-0.100586,-0.09375
"CAN1_EMG0L",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,7,11,-5,1,1,11,-12,-16,-4
"CAN1_EMG1L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,-1,-8,-7,0,1,-7,-6,0
"CAN1_EMG2L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,-5,-22,-11,1,3,-10,0,-2
"CAN1_EMG3L",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-10,-9,-4,5,-3,5,-4
"CAN1_EMG4L",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4,2,2,-1,-6,-2,2,1,3,-4
"CAN1_EMG5L",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,4,-2,-2,-2,2,2,6,1,-4
"CAN1_EMG6L",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,4,-5,1,0,0,-2,-1,-4
"CAN1_EMG7L",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,-3,28,-13,16,-2,6,-7,-18,-18
"CAN1_EMG0R",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-4,-4,5,-2,-4,7,3,5,-2,2,-5
"CAN1_EMG1R",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-10,0,4,-1,-4,-2,-2,4,4,0,-1
"CAN1_EMG2R",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-6,-4,1,1,-6,4,3,-2,-1,0,-3
"CAN1_EMG3R",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-4,-16,-26,7,-1,-13,-10,2,0
"CAN1_EMG4R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-5,-10,0,-13,6,-10,-3,-2,-4,5
"CAN1_EMG5R",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-11,-2,11,-9,5,-3,6,-4,2,0
"CAN1_EMG6R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-8,-5,23,-7,2,4,0,-3,4,2
"CAN1_EMG7R",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-11,-1,3,1,-5,1,3,-3,-5,0,1
"CAN1_GLX",2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,1.4375,-0.75,1.4375,0.1875,1.5625,-0.3125,-1.3125,1.8125,0,0.375,1.875
"CAN1_GLY",2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,1.4375,-0.75,1.4375,0.1875,1.5625,-0.3125,-1.3125,1.8125,0,0.375,1.875
"CAN1_GLZ",2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,1.4375,-0.75,1.4375,0.1875,1.5625,-0.3125,-1.3125,1.8125,0,0.375,1.875
"CAN1_GRX",-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-2.875,-1.8125,-4.3125,2.0625,0.3125,-3.1875,0.1875,0.75,1,-0.1875,1.0625
"CAN1_GRY",-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-2.875,-1.8125,-4.3125,2.0625,0.3125,-3.1875,0.1875,0.75,1,-0.1875,1.0625
"CAN1_GRZ",-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-2.875,-1.8125,-4.3125,2.0625,0.3125,-3.1875,0.1875,0.75,1,-0.1875,1.0625
