dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COP1_ALX",0.8608398,0.859375,0.8603516,0.8608398,0.8618164,0.8608398,0.8564453,0.8588867,0.8613281,0.8769531,0.878418,0.9165039,0.8500977,0.9174805,0.8911133,0.6503906,0.3637695,0.06103516,-0.01416016,-0.2773438,-0.4731445,-0.4726563,-0.5131836,-0.5405273,-0.4931641,-0.3945313,-0.4428711,-0.9052734,-0.2119141,-0.512207,-0.3623047,-0.5332031,-0.7148438,-0.1293945,-0.7851563,-0.5180664,-0.5200195,-0.5756836,-0.5766602,-0.550293,-0.574707,-0.5566406,-0.5498047,-0.5463867,-0.5498047
"COP1_ALY",0.3999023,0.4008789,0.4091797,0.4116211,0.4121094,0.4130859,0.3994141,0.4101563,0.4082031,0.4956055,0.5712891,0.7563477,0.8847656,1.083984,1.128418,1.043945,0.859375,0.5727539,0.5952148,0.7231445,0.8549805,0.8349609,0.8496094,0.8129883,0.7666016,0.800293,0.9663086,1.640137,0.4282227,0.5273438,0.8544922,0.7324219,1.075195,0.3168945,1.301758,0.7646484,0.8164063,0.8061523,0.9101563,0.8413086,0.9077148,0.8676758,0.8637695,0.7905273,0.84375
"COP1_ALZ",-0.171875,-0.1738281,-0.1704102,-0.1728516,-0.1689453,-0.1674805,-0.1660156,-0.1611328,-0.1625977,-0.1606445,-0.1362305,-0.07324219,0.04052734,0.1103516,0.28125,0.3647461,0.2519531,0.1191406,-0.01904297,-0.01464844,-0.005859375,0.01708984,0.09375,0.09082031,0.1713867,0.1879883,0.08886719,-1.070801,-0.04052734,0.1640625,0.3823242,0.008300781,-1.303711,0.04394531,-0.03613281,0.1538086,0.2358398,0.1303711,0.03271484,0.02587891,0.06542969,0.04248047,0.06347656,0.0546875,0.05224609
"COP1_ARX",0.8823242,0.8833008,0.8798828,0.8808594,0.8823242,0.8789063,0.8808594,0.8847656,0.8881836,0.8818359,0.887207,0.8901367,0.8774414,0.8959961,0.8867188,0.8818359,0.8847656,0.8911133,0.8837891,0.8618164,0.8383789,0.8588867,0.875,0.8764648,0.8701172,0.8720703,0.8554688,0.9033203,0.8881836,0.8774414,0.8603516,0.8564453,0.871582,0.8803711,0.8686523,0.8740234,0.8754883,0.8710938,0.8769531,0.8696289,0.871582,0.8842773,0.8764648,0.8720703,0.8779297
"COP1_ARY",-0.4301758,-0.4379883,-0.440918,-0.4331055,-0.4384766,-0.4291992,-0.4291992,-0.4272461,-0.421875,-0.4267578,-0.4277344,-0.4321289,-0.4379883,-0.4619141,-0.4404297,-0.4453125,-0.4282227,-0.4326172,-0.421875,-0.4204102,-0.4335938,-0.4555664,-0.4682617,-0.4604492,-0.4648438,-0.4526367,-0.4418945,-0.4394531,-0.3022461,-0.4667969,-0.4418945,-0.4208984,-0.409668,-0.5551758,-0.2832031,-0.5258789,-0.4038086,-0.4667969,-0.4482422,-0.4570313,-0.4350586,-0.4438477,-0.434082,-0.440918,-0.4350586
"COP1_ARZ",-0.1708984,-0.1708984,-0.1826172,-0.1757813,-0.1757813,-0.1733398,-0.1689453,-0.1689453,-0.1704102,-0.1699219,-0.1782227,-0.1811523,-0.1772461,-0.175293,-0.1738281,-0.1699219,-0.1811523,-0.1943359,-0.1977539,-0.2045898,-0.1826172,-0.1835938,-0.1948242,-0.1831055,-0.1762695,-0.1938477,-0.2167969,-0.1445313,-0.2026367,-0.1894531,-0.1923828,-0.2011719,-0.1914063,-0.2109375,-0.1889648,-0.1567383,-0.2001953,-0.1850586,-0.1918945,-0.199707,-0.1953125,-0.1923828,-0.1948242,-0.1933594,-0.1899414
"COP1_EMG0L",-1,-1,0,0,-1,0,-1,-1,1,-2,2,2,6,-3,-2,-4,4,4,-6,-8,-2,1,-7,8,1,-1,-5,4,-9,1,5,17,-5,-3,-10,3,-5,-1,-14,6,5,-6,-1,4,2
"COP1_EMG1L",-2,2,2,-1,1,-1,-2,-1,3,-1,1,8,-3,21,2,-10,3,3,-5,-3,-2,0,-8,3,7,-8,-15,-5,-3,-1,6,4,3,-5,-6,1,-4,-2,-6,3,5,-2,-3,0,3
"COP1_EMG2L",1,1,-3,-1,1,-1,-2,0,0,0,-2,-2,0,11,2,-7,2,2,-4,-2,-3,1,-2,-1,6,-13,-3,-3,-1,-1,9,-4,2,-4,-6,2,-3,-2,-3,0,1,-1,1,-5,2
"COP1_EMG3L",-1,0,0,-1,-2,0,-1,-2,-1,-1,-3,-22,0,0,-1,-3,1,0,-2,-1,-3,-1,-2,-2,6,-21,-1,-2,2,-1,3,1,0,-4,-3,1,-3,-3,-2,0,-4,-1,2,-5,0
