dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COST1_ALX",0.8833008,0.8789063,0.8847656,0.8793945,0.8881836,0.8842773,0.8862305,0.8833008,0.8857422,0.8833008,0.8754883,0.8896484,0.9077148,0.8964844,0.8789063,0.9125977,0.9287109,1.023438,1.105469,0.8842773,0.8227539,0.328125,-0.2382813,-0.2597656,-0.2866211,-0.07421875,-0.03466797,-0.08544922,0.1123047,0.2524414,0.2202148,0.2133789,0.2558594,0.2202148,0.2099609,0.2075195,0.2045898,0.2070313,0.2011719,0.2119141,0.206543,0.2119141,0.2075195,0.1948242,0.1943359
"COST1_ALY",0.3276367,0.3388672,0.3325195,0.3330078,0.3349609,0.3325195,0.3256836,0.3286133,0.3251953,0.3256836,0.3227539,0.3569336,0.3554688,0.3432617,0.3271484,0.340332,0.4106445,0.6391602,1.01416,1.175781,1.223633,0.934082,0.5024414,0.3686523,0.2236328,0.4609375,0.6699219,1.208008,1.036621,1.410645,0.9936523,0.809082,0.840332,0.8276367,0.8637695,0.8579102,0.8779297,0.8808594,0.871582,0.878418,0.875,0.8857422,0.8710938,0.8549805,0.887207
"COST1_ALZ",-0.1943359,-0.1962891,-0.1953125,-0.1948242,-0.1948242,-0.1948242,-0.1918945,-0.2001953,-0.2060547,-0.206543,-0.1914063,-0.1811523,-0.1884766,-0.1938477,-0.2114258,-0.1938477,-0.1762695,-0.1269531,0.07714844,0.1669922,0.2294922,0.3540039,0.199707,0.1162109,0.002441406,0.06884766,0.2060547,0.5009766,0.5849609,0.6142578,0.4711914,0.4545898,0.4589844,0.4619141,0.4477539,0.4511719,0.4487305,0.4448242,0.4433594,0.4394531,0.4472656,0.4282227,0.4458008,0.4360352,0.4428711
"COST1_ARX",0.9018555,0.9023438,0.9042969,0.9042969,0.9077148,0.9077148,0.9106445,0.9086914,0.9453125,0.9633789,0.9990234,0.8613281,0.5439453,0.3588867,0.1660156,0.06445313,0.02050781,-0.005371094,0.004882813,-0.01855469,-0.03955078,-0.04199219,-0.02294922,-0.02734375,-0.04199219,-0.06542969,-0.08300781,-0.1147461,-0.1035156,-0.1113281,-0.105957,-0.078125,-0.07617188,-0.07519531,-0.08251953,-0.0703125,-0.08789063,-0.08837891,-0.09228516,-0.08398438,-0.09033203,-0.09863281,-0.08544922,-0.08984375,-0.08251953
"COST1_ARY",-0.3950195,-0.3930664,-0.3964844,-0.3891602,-0.3959961,-0.3935547,-0.3867188,-0.4589844,-0.6577148,-0.9033203,-1.053711,-0.9765625,-0.7524414,-0.6899414,-0.6069336,-0.7338867,-0.8481445,-0.9707031,-0.987793,-1.055176,-0.9609375,-1.000977,-0.9912109,-1.019043,-1.004883,-1.036133,-0.9770508,-0.9521484,-0.9516602,-0.9638672,-1.005371,-1.032715,-1.016113,-0.9819336,-0.9941406,-0.9765625,-0.9838867,-0.9824219,-0.9975586,-0.9897461,-0.9824219,-0.9975586,-0.9956055,-0.9838867,-0.9902344
"COST1_ARZ",-0.1508789,-0.1523438,-0.1567383,-0.152832,-0.1459961,-0.1411133,-0.1479492,-0.1474609,-0.1142578,-0.03613281,0.1689453,0.2548828,0.2265625,0.2270508,0.1933594,0.1933594,0.2011719,0.2104492,0.2290039,0.2270508,0.2177734,0.1972656,0.1894531,0.1914063,0.1591797,0.1791992,0.2382813,0.2641602,0.2314453,0.2075195,0.1962891,0.2338867,0.2236328,0.1933594,0.2265625,0.2255859,0.2275391,0.2192383,0.2172852,0.2304688,0.2270508,0.2250977,0.2241211,0.2246094,0.2265625
"COST1_EMG0L",0,0,1,2,-1,-1,0,0,0,1,-2,-1,-2,-3,-1,0,1,-2,2,-4,-3,-5,-3,-3,-1,0,2,-1,0,-1,2,1,-2,-2,-3,-2,-1,0,-1,-1,1,0,1,-1,-2
"COST1_EMG1L",1,-1,-1,-2,0,0,-1,0,1,-1,0,0,-1,-1,0,0,-3,-6,3,6,-4,-14,0,-3,-2,-4,0,0,-2,-3,2,-2,0,-2,-2,-1,-1,-2,1,-2,-1,-2,0,-3,-2
"COST1_EMG2L",-1,-1,0,1,1,0,-1,-2,2,0,-1,0,-3,-2,-1,-2,-5,-3,-4,8,-15,-6,-2,-2,-2,0,-1,-2,-3,-1,-1,-4,0,-5,0,0,-1,-2,2,-1,1,1,1,-2,1
"COST1_EMG3L",2,-1,2,2,-1,-1,-1,-2,5,1,-2,0,-1,-1,1,-1,-7,0,-4,-2,-22,-4,-1,-3,-2,-1,-2,-3,-2,0,1,-1,-1,-4,2,6,2,5,1,3,0,8,3,-5,-1
"COST1_EMG4L",1,0,7,-4,0,-1,-3,-1,13,1,-2,-1,1,-2,-2,-4,-1,3,-1,-1,-2,-6,-2,9,-4,5,11,18,-3,-3,-6,-1,1,-3,-1,5,-5,-2,-5,3,2,4,1,-1,-6
"COST1_EMG5L",0,-2,8,-2,1,-2,-3,-4,21,6,0,-2,3,0,-5,2,-1,0,0,-1,2,-4,4,18,-3,9,21,4,-6,-7,-7,-4,-4,1,6,1,-2,2,0,4,0,-1,2,-1,-4
"COST1_EMG6L",-1,-2,2,-3,1,-1,0,-1,3,3,-1,-2,0,-2,-2,1,-2,0,-2,-6,1,7,-3,-3,10,0,7,0,2,2,-1,-2,-3,9,9,-2,-6,9,2,2,1,-1,-1,-3,-1
"COST1_EMG7L",0,-2,1,-1,0,0,0,-2,0,-1,-1,0,1,-1,-1,-1,0,-2,0,-4,1,-3,-2,-5,10,3,-1,0,3,1,-4,0,-4,3,2,-3,-1,0,0,0,1,-1,0,-2,-2
"COST1_EMG0R",-3,-1,-2,-1,-2,1,-2,3,-4,-3,-4,-2,1,-4,-10,0,-2,2,-1,-12,2,0,-1,-2,-2,-2,-1,2,-1,2,1,2,2,1,-2,-1,1,1,1,-2,-1,-2,0,0,-1
"COST1_EMG1R",-1,-1,-1,-2,5,-2,-1,0,0,-4,-4,-1,1,-3,-8,-2,-2,1,-1,-8,1,0,-2,-2,0,-1,-4,1,-2,2,0,3,0,-2,-2,-1,1,0,0,0,0,-2,0,0,-2
"COST1_EMG2R",0,0,-1,0,-3,0,-1,0,-5,-1,-10,-1,1,-3,-3,-1,-4,1,0,-1,2,-4,-3,-3,-1,-5,-5,-2,0,-1,0,0,1,-2,0,-1,2,-1,-3,-2,0,0,2,-1,-2
"COST1_EMG3R",-1,-2,0,1,-2,0,-2,-2,-12,-11,-23,-1,3,-7,-1,-3,0,-1,-3,3,2,-1,-8,-5,-7,-3,-5,0,4,-14,4,2,3,-1,3,0,-1,0,2,-2,-4,3,7,-2,-3
"COST1_EMG4R",-1,-1,-1,-2,-1,-1,-2,-4,-9,-8,-1,-9,-3,-7,-6,-3,-2,-1,1,3,1,-1,-5,-2,-6,-4,-2,-1,2,-9,3,2,1,-1,3,-4,-1,2,0,-2,-5,5,6,-2,-1
"COST1_EMG5R",0,-1,-3,-2,-1,-1,-4,1,-4,-3,-5,-7,-4,-6,-2,0,-3,-4,0,-1,1,-1,-5,0,-6,-2,-3,-2,2,-4,-1,2,-4,-2,-2,-1,1,2,2,-1,-4,1,1,0,0
"COST1_EMG6R",-2,-2,0,1,0,0,-2,2,-4,-1,-6,-4,-2,-3,-1,0,-3,-7,0,-7,-2,0,-4,-1,-4,-2,-2,-2,2,-5,0,8,-2,-4,-3,-4,1,1,3,1,-6,-5,-2,0,-4
"COST1_EMG7R",-4,-1,0,-2,-6,-1,2,2,-6,-2,-4,-2,-1,-2,1,-1,0,-1,0,-3,-2,2,-1,-1,-3,1,1,0,2,-1,1,-1,0,1,-2,-4,2,1,1,0,-1,-1,-1,-2,-2
"COST1_GLX",0.125,0.5625,-0.25,-0.5,0.25,-0.1875,-0.9375,-0.5625,-0.25,0.6875,4,9,0.5625,-6.9375,-6.6875,-2.375,-5.3125,-20.4375,5.125,7.1875,-0.6875,-10.4375,47.5625,8.3125,-24.5625,-104,-106.3125,-120.9375,-43.6875,15,-1.6875,0.6875,11.125,6.5625,0.625,-0.8125,2.5,-1.875,2.625,-3.875,1.9375,2.3125,1.1875,-0.375,0.1875
"COST1_GLY",0.125,0.5625,-0.25,-0.5,0.25,-0.1875,-0.9375,-0.5625,-0.25,0.6875,4,9,0.5625,-6.9375,-6.6875,-2.375,-5.3125,-20.4375,5.125,7.1875,-0.6875,-10.4375,47.5625,8.3125,-24.5625,-104,-106.3125,-120.9375,-43.6875,15,-1.6875,0.6875,11.125,6.5625,0.625,-0.8125,2.5,-1.875,2.625,-3.875,1.9375,2.3125,1.1875,-0.375,0.1875
"COST1_GLZ",0.125,0.5625,-0.25,-0.5,0.25,-0.1875,-0.9375,-0.5625,-0.25,0.6875,4,9,0.5625,-6.9375,-6.6875,-2.375,-5.3125,-20.4375,5.125,7.1875,-0.6875,-10.4375,47.5625,8.3125,-24.5625,-104,-106.3125,-120.9375,-43.6875,15,-1.6875,0.6875,11.125,6.5625,0.625,-0.8125,2.5,-1.875,2.625,-3.875,1.9375,2.3125,1.1875,-0.375,0.1875
"COST1_GRX",-1.25,-0.8125,-0.875,-1.6875,-1,-0.9375,-2.125,0.125,-3.9375,-4.3125,-26.3125,7.9375,12.25,-7.4375,-29.1875,-20.0625,-17.375,-16.9375,5.0625,-7.4375,3,-1.9375,5.5,2.75,3.875,4.9375,4.3125,4.4375,-2.5625,2.9375,-3.375,1.4375,-5.125,4.875,0.25,1.75,0.0625,2.625,2.75,0,0.4375,0.3125,-1.1875,0.25,-0.8125
"COST1_GRY",-1.25,-0.8125,-0.875,-1.6875,-1,-0.9375,-2.125,0.125,-3.9375,-4.3125,-26.3125,7.9375,12.25,-7.4375,-29.1875,-20.0625,-17.375,-16.9375,5.0625,-7.4375,3,-1.9375,5.5,2.75,3.875,4.9375,4.3125,4.4375,-2.5625,2.9375,-3.375,1.4375,-5.125,4.875,0.25,1.75,0.0625,2.625,2.75,0,0.4375,0.3125,-1.1875,0.25,-0.8125
"COST1_GRZ",-1.25,-0.8125,-0.875,-1.6875,-1,-0.9375,-2.125,0.125,-3.9375,-4.3125,-26.3125,7.9375,12.25,-7.4375,-29.1875,-20.0625,-17.375,-16.9375,5.0625,-7.4375,3,-1.9375,5.5,2.75,3.875,4.9375,4.3125,4.4375,-2.5625,2.9375,-3.375,1.4375,-5.125,4.875,0.25,1.75,0.0625,2.625,2.75,0,0.4375,0.3125,-1.1875,0.25,-0.8125
"COST1_ORL",8.32998,8.332256,8.332644,8.332644,8.33437,8.334759,8.333849,8.334424,8.335388,8.336149,8.344409,8.352252,8.342516,8.311711,8.264704,8.230479,8.160752,7.907047,7.487691,7.32154,7.256861,7.066285,7.228762,7.353889,7.396114,7.222689,7.081411,6.862348,6.711329,6.7484,6.745121,6.74154,6.759541,6.764819,6.774621,6.769669,6.772183,6.770319,6.769305,6.768329,6.766519,6.769313,6.766246,6.768985,6.771421
"COST1_OPL",3.162544,3.16188,3.161781,3.161781,3.161196,3.161097,3.160743,3.160684,3.160313,3.160488,3.154813,3.154254,3.159788,3.171125,3.189166,3.200428,3.212534,3.276045,3.517665,3.751489,3.895302,4.593649,5.77345,6.169689,6.335489,6.048214,5.753288,5.149773,4.792714,4.622654,4.620008,4.653853,4.668723,4.669262,4.673728,4.675128,4.676662,4.675986,4.676484,4.676965,4.676956,4.677569,4.67518,4.682833,4.688044
"COST1_OYL",5.816357,5.81497,5.814448,5.814448,5.813331,5.812808,5.813652,5.812892,5.812335,5.810903,5.80925,5.814786,5.830433,5.855558,5.891654,5.923944,5.993911,6.23563,6.715376,6.946982,7.042088,7.355242,7.697559,7.852268,7.94972,7.907236,7.877409,7.853133,7.87832,7.884047,7.864001,7.844234,7.833361,7.833108,7.826721,7.823952,7.820955,7.822336,7.822754,7.822734,7.822988,7.82302,7.82852,7.829844,7.827343
"COST1_ORR",1.887208,1.887897,1.883398,1.882472,1.881298,1.883485,1.883174,1.918113,2.020471,2.227214,2.480517,2.746228,2.876878,2.910546,2.884779,2.846271,2.815609,2.786881,2.790536,2.777076,2.789196,2.784656,2.793955,2.797884,2.80357,2.800472,2.814066,2.82846,2.832776,2.837074,2.831723,2.830702,2.827272,2.830643,2.828395,2.834743,2.835635,2.840189,2.84567,2.847853,2.847926,2.847131,2.845718,2.849491,2.848124
"COST1_OPR",3.205465,3.204927,3.204106,3.203916,3.204028,3.204023,3.203235,3.201483,3.227723,3.344513,3.566838,4.034363,4.420117,4.745201,5.00352,5.081269,5.09949,5.091754,5.066472,5.054635,5.053634,5.060807,5.063662,5.070767,5.078805,5.098937,5.117699,5.1337,5.14232,5.135427,5.127159,5.118094,5.120614,5.124644,5.131378,5.132945,5.134017,5.1334,5.135479,5.135881,5.135968,5.132848,5.134676,5.138553,5.141985
"COST1_OYR",6.067108,6.066039,6.068858,6.069138,6.06871,6.066684,6.065371,6.023151,5.91236,5.680944,5.333904,4.923642,4.707319,4.553112,4.423802,4.372346,4.35317,4.360794,4.362559,4.355234,4.341867,4.333452,4.330318,4.333673,4.343279,4.371589,4.400078,4.416647,4.41603,4.412089,4.411714,4.409269,4.404797,4.404432,4.408398,4.411638,4.412198,4.41281,4.416219,4.417572,4.418016,4.416847,4.41813,4.42127,4.423284
"COST2_ALX",0.8818359,0.8901367,0.8793945,0.890625,0.8837891,0.8823242,0.8847656,0.8862305,0.8828125,0.8818359,0.8764648,0.8925781,0.8950195,0.9511719,0.9956055,0.9067383,0.652832,0.4511719,0.6489258,0.4414063,0.09570313,-0.3046875,-0.4560547,-0.4921875,-0.4794922,-0.4921875,-0.2832031,-0.4458008,0.1904297,-0.03808594,0.03808594,0.1069336,0.1533203,0.1518555,0.1362305,0.1337891,0.1381836,0.1337891,0.1333008,0.1362305,0.1347656,0.1333008,0.1362305,0.137207,0.1245117
"COST2_ALY",0.3588867,0.3583984,0.3676758,0.362793,0.362793,0.3496094,0.3569336,0.3535156,0.3608398,0.3549805,0.3671875,0.3730469,0.3735352,0.4326172,0.6489258,0.7792969,0.8105469,0.7006836,0.9838867,1.022949,1.091309,0.8041992,0.7387695,0.4848633,0.3710938,0.3735352,0.5922852,0.949707,1.132813,1.349121,1.143555,0.9370117,0.9077148,0.8754883,0.8969727,0.9248047,0.9042969,0.9091797,0.8964844,0.8999023,0.8969727,0.9145508,0.9023438,0.9106445,0.9223633
"COST2_ALZ",-0.1616211,-0.1572266,-0.159668,-0.1640625,-0.1645508,-0.1582031,-0.1616211,-0.1601563,-0.1694336,-0.1669922,-0.1552734,-0.1625977,-0.1586914,-0.1889648,-0.03076172,0.1108398,0.1743164,0.1855469,0.3193359,0.3564453,0.3168945,0.1938477,0.1450195,0.03857422,-0.01123047,-0.0234375,-0.1533203,0.0390625,0.7861328,0.5292969,0.4667969,0.4404297,0.4438477,0.4306641,0.4189453,0.425293,0.4248047,0.418457,0.4189453,0.4160156,0.4038086,0.4121094,0.4091797,0.4082031,0.4086914
"COST2_ARX",0.902832,0.8959961,0.8969727,0.8930664,0.8979492,0.8984375,0.9086914,0.918457,0.9472656,0.9350586,0.871582,0.7548828,0.4804688,0.3012695,0.2045898,0.1796875,0.140625,0.152832,0.04541016,-0.0234375,-0.09326172,-0.04931641,-0.0546875,-0.06640625,-0.05957031,-0.07177734,-0.08349609,-0.09033203,-0.07910156,-0.07958984,-0.07226563,-0.06152344,-0.06054688,-0.06787109,-0.07910156,-0.07275391,-0.07666016,-0.07861328,-0.07568359,-0.07763672,-0.06884766,-0.08007813,-0.07226563,-0.07617188,-0.07128906
