dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DECIDE1_ALX",0.890625,0.887207,0.887207,0.8833008,0.8862305,0.8823242,0.8911133,0.956543,1.116211,1.364258,1.022949,-0.008789063,-0.4443359,-0.3095703,-0.2856445,-0.5107422,-0.6738281,-0.8730469,-0.9125977,-1.07959,-1.024414,-1.00293,-0.8823242,-0.3310547,0.02783203,0.08837891,-0.3212891,-0.4892578,-0.3452148,-0.2578125,-0.2905273,-0.2050781,-0.175293,-0.1137695,-0.1557617,-0.1201172,-0.1259766,-0.1157227,-0.1132813,-0.1264648,-0.1328125,-0.1293945,-0.112793,-0.1201172,-0.1054688
"DECIDE1_ALY",0.3676758,0.3657227,0.3681641,0.3666992,0.3691406,0.3632813,0.3706055,0.3911133,0.6396484,0.9321289,1.382813,0.8925781,0.6967773,0.6889648,0.3901367,0.375,0.3657227,0.4306641,0.4614258,0.4365234,0.2929688,0.1274414,-0.1132813,-0.1474609,0.09326172,0.1489258,0.8208008,1.272949,1.756348,1.814941,1.225586,0.7714844,0.7480469,0.9291992,0.9931641,1.005859,0.9511719,0.9677734,0.921875,0.9145508,0.9321289,0.9433594,0.9204102,0.9345703,0.9223633
"DECIDE1_ALZ",-0.1362305,-0.1357422,-0.1337891,-0.1347656,-0.1357422,-0.1318359,-0.1357422,-0.1660156,-0.1328125,0.1098633,0.2705078,0.2026367,0.2099609,0.3359375,0.2612305,-0.05664063,-0.1704102,-0.2373047,-0.3208008,-0.402832,-0.4179688,-0.46875,-0.4858398,-0.1914063,0.09960938,0.2089844,0.1567383,0.199707,0.2788086,0.315918,0.3095703,0.2700195,0.3398438,0.4267578,0.3618164,0.3193359,0.34375,0.3583984,0.3686523,0.3579102,0.3540039,0.3496094,0.3344727,0.3476563,0.3413086
"DECIDE1_ARX",0.9116211,0.9111328,0.9189453,0.9125977,0.9140625,0.9150391,0.9130859,0.9326172,0.9301758,0.9335938,0.9057617,0.9194336,0.9418945,0.9238281,0.9589844,0.9902344,0.9975586,0.9360352,0.9052734,0.9741211,1.060547,1.285645,1.210938,0.3823242,0.140625,0.1015625,0.1376953,0.03613281,-0.3320313,-0.4755859,0.2861328,-0.1484375,0.1220703,0.06591797,0.0234375,0.02441406,-0.0009765625,-0.01904297,-0.01806641,0.02392578,0.01416016,0.0234375,-0.0009765625,0.02148438,0.07324219
"DECIDE1_ARY",-0.362793,-0.3671875,-0.3608398,-0.3598633,-0.3608398,-0.3623047,-0.3603516,-0.3603516,-0.3227539,-0.3022461,-0.296875,-0.3115234,-0.3510742,-0.324707,-0.3100586,-0.2182617,-0.2666016,-0.262207,-0.2973633,-0.4555664,-0.5302734,-0.9204102,-1.126953,-1.100586,-0.6845703,-0.6669922,-0.484375,-0.2597656,-0.3037109,-0.8876953,-2.146973,-1.293457,-0.9042969,-0.9086914,-0.8203125,-0.9194336,-0.9575195,-0.9853516,-0.9995117,-0.9765625,-0.9418945,-0.9262695,-0.9443359,-0.9321289,-0.8847656
"DECIDE1_ARZ",-0.1586914,-0.1586914,-0.1606445,-0.1635742,-0.1625977,-0.1601563,-0.1616211,-0.1606445,-0.1523438,-0.1220703,-0.1474609,-0.137207,-0.1318359,-0.1523438,-0.1616211,-0.199707,-0.1567383,-0.09667969,-0.1328125,-0.2426758,-0.2412109,-0.1313477,0.07373047,0.168457,0.1137695,0.2929688,0.2324219,0.09716797,-0.06054688,0.4516602,0.796875,0.2568359,0.1977539,0.3041992,0.3129883,0.3876953,0.3603516,0.3125,0.331543,0.3422852,0.3398438,0.3588867,0.3500977,0.3266602,0.2768555
"DECIDE1_EMG0L",-3,2,0,0,0,-1,0,-1,1,1,-4,-1,4,0,2,-4,3,0,-11,-6,2,-4,11,1,-1,0,4,0,-2,-4,-1,-1,-2,1,0,-2,-3,0,-1,0,1,0,-3,-1,-1
"DECIDE1_EMG1L",-3,-2,-1,3,1,-1,-2,-4,9,10,1,-4,2,-11,9,-8,0,6,-11,1,-5,-3,1,3,-2,-1,-4,1,2,-5,-1,0,3,-4,-3,0,-3,2,-2,0,-1,-3,-1,-2,-4
"DECIDE1_EMG2L",-2,-3,0,0,1,-1,-1,-11,12,15,9,-10,1,-2,-1,-4,1,2,-10,0,-1,-2,2,-1,0,-4,0,-1,1,-2,-1,0,-2,0,-1,-5,0,-1,-1,1,2,-1,0,-4,-4
"DECIDE1_EMG3L",1,0,0,-2,-2,-1,0,-4,2,10,2,-4,1,-4,-1,-5,-1,-2,-3,-1,-3,0,2,0,1,1,0,-2,-1,-2,0,1,-1,0,0,-1,-2,-2,-2,0,0,-1,0,-3,-3
