dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOLD1_ALX",0.8354492,0.8417969,0.8500977,0.8457031,0.8486328,0.8476563,0.8637695,0.9912109,1.100098,0.972168,0.7006836,0.06835938,-0.3920898,-0.4619141,-0.5385742,-0.581543,-0.8466797,-1.154785,-0.8710938,-0.8666992,-0.8837891,-0.8452148,-0.8442383,-0.7783203,-0.6933594,-0.7114258,-0.7695313,-0.7954102,-0.6489258,-0.7089844,-0.6660156,-0.6337891,-0.6762695,-0.5913086,-0.612793,-0.7216797,-0.5795898,-0.7231445,-0.496582,-0.5356445,-0.6152344,-0.6972656,-0.5517578,-0.5200195,-0.6108398
"GOLD1_ALY",0.4643555,0.4624023,0.4609375,0.4624023,0.4633789,0.4638672,0.4902344,0.6933594,0.8837891,1.100098,1.196289,0.815918,0.5742188,0.5019531,0.34375,0.3178711,0.3754883,0.5678711,0.4995117,0.5048828,0.4916992,0.4619141,0.4604492,0.4477539,0.3442383,0.3466797,0.5737305,0.8383789,0.949707,0.7797852,0.7163086,0.7421875,0.8330078,0.2685547,0.5146484,0.5854492,1.033691,0.2275391,1.279297,0.5756836,0.4921875,1.574707,0.3095703,1.261719,0.3613281
"GOLD1_ALZ",-0.1181641,-0.1010742,-0.09033203,-0.09863281,-0.1030273,-0.1025391,-0.1259766,-0.1401367,-0.04199219,0.3300781,0.3823242,0.4018555,0.3071289,0.2719727,0.1069336,-0.04980469,-0.0546875,-0.3945313,-0.2006836,-0.1533203,-0.1489258,-0.1186523,-0.1582031,-0.1894531,-0.2094727,-0.1547852,0.1328125,0.4477539,0.5483398,0.4575195,0.3691406,0.293457,0.3100586,0.5751953,0.3686523,0.2749023,0.5161133,0.3466797,0.2978516,0.628418,0.2548828,0.1850586,0.5688477,0.269043,0.4101563
"GOLD1_ARX",0.9189453,0.9165039,0.918457,0.9257813,0.9189453,0.9160156,0.918457,0.9311523,0.9301758,0.9257813,0.8935547,0.90625,0.9208984,0.9145508,0.9111328,0.9262695,0.9428711,0.909668,0.8999023,0.9072266,0.9125977,0.925293,0.9086914,0.8886719,0.9033203,0.9589844,0.9433594,0.9082031,0.8994141,0.8974609,0.9116211,0.9155273,0.8935547,0.909668,0.9233398,0.8911133,0.9135742,0.9038086,0.90625,0.9077148,0.8969727,0.9140625,0.9155273,0.9091797,0.8959961
"GOLD1_ARY",-0.355957,-0.3432617,-0.347168,-0.3393555,-0.3496094,-0.3466797,-0.3461914,-0.3544922,-0.3525391,-0.3588867,-0.362793,-0.3798828,-0.3730469,-0.3374023,-0.3359375,-0.3305664,-0.3300781,-0.3618164,-0.3696289,-0.3847656,-0.371582,-0.3696289,-0.3662109,-0.3574219,-0.34375,-0.3496094,-0.340332,-0.3774414,-0.4121094,-0.3959961,-0.3745117,-0.3652344,-0.3583984,-0.3486328,-0.3461914,-0.3530273,-0.378418,-0.3896484,-0.3833008,-0.4057617,-0.3935547,-0.3696289,-0.4003906,-0.3671875,-0.3803711
"GOLD1_ARZ",-0.1645508,-0.1542969,-0.1503906,-0.1538086,-0.1582031,-0.1630859,-0.1689453,-0.1708984,-0.1782227,-0.1801758,-0.1674805,-0.1542969,-0.1533203,-0.1640625,-0.1630859,-0.1694336,-0.1870117,-0.1943359,-0.1748047,-0.1669922,-0.175293,-0.1665039,-0.1601563,-0.1518555,-0.152832,-0.1791992,-0.1879883,-0.1855469,-0.1772461,-0.1679688,-0.1728516,-0.1616211,-0.1625977,-0.171875,-0.1801758,-0.1879883,-0.1655273,-0.1923828,-0.1987305,-0.1665039,-0.1708984,-0.1713867,-0.1635742,-0.1791992,-0.1835938
"GOLD1_EMG0L",-1,-2,-1,-1,-1,-1,1,0,2,-1,0,-2,1,0,-1,4,-3,11,0,1,2,-1,-3,0,1,1,-7,-1,1,2,-7,-1,-2,3,17,-5,-3,5,1,-8,-1,-3,-1,-10,2
"GOLD1_EMG1L",0,-1,-1,1,0,-1,-3,3,-1,-7,-1,-3,1,-1,-2,2,-1,0,-1,-1,4,2,-2,-2,1,-1,-5,-9,-2,-4,-3,1,-1,3,25,-5,4,4,10,-23,-9,-2,3,-4,2
"GOLD1_EMG2L",-3,-2,0,1,0,-3,-6,4,2,0,-1,8,3,-1,-2,-1,1,2,-1,-2,2,-1,-3,0,3,-3,-4,-9,-4,1,-3,1,-1,1,15,0,1,-1,4,-13,-8,3,1,0,-1
"GOLD1_EMG3L",1,-4,0,-2,0,-5,-4,-3,4,-12,3,5,-4,-3,-3,-6,4,-1,-1,-3,2,1,2,1,-4,-5,7,-8,-9,0,0,-2,-3,-4,12,10,7,7,-12,0,-7,5,-1,-2,-9
