dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HERE1_ALX",0.890625,0.8891602,0.8876953,0.8891602,0.8901367,0.8876953,0.8828125,0.8911133,0.9438477,0.96875,1.163086,0.862793,0.4936523,0.3720703,0.3408203,0.328125,0.2416992,0.159668,0.1445313,0.2001953,0.05126953,0.3027344,0.4482422,0.5224609,0.4267578,0.3154297,0.05078125,-0.2768555,-0.3286133,0.01953125,0.375,0.6308594,0.7207031,0.5415039,0.296875,0.1904297,-0.08007813,-0.1386719,-0.04980469,0.06201172,0.2255859,0.4804688,0.6025391,0.4052734,0.3217773
"HERE1_ALY",0.3671875,0.3613281,0.3603516,0.3632813,0.3608398,0.362793,0.3608398,0.3647461,0.3881836,0.4677734,0.7070313,0.7880859,0.4326172,0.5454102,0.4814453,0.5473633,0.5571289,0.5610352,0.5917969,0.7285156,0.9824219,0.9902344,0.6762695,0.5292969,0.5527344,0.6328125,0.6206055,0.5664063,0.7006836,0.8549805,1.015137,0.7641602,0.6601563,0.4672852,0.5283203,0.640625,0.7216797,0.8212891,0.7949219,0.8344727,0.8149414,0.7324219,0.6401367,0.5878906,0.6142578
"HERE1_ALZ",-0.1201172,-0.1147461,-0.1254883,-0.1176758,-0.1152344,-0.1166992,-0.1176758,-0.1240234,-0.125,-0.07568359,0.03662109,0.3686523,0.387207,0.3964844,0.4931641,0.6010742,0.6630859,0.765625,0.8671875,0.8793945,0.8071289,0.5869141,0.5,0.5131836,0.640625,0.8793945,1.001953,0.9882813,0.8266602,0.8164063,0.6289063,0.421875,0.5454102,0.6083984,0.831543,1.000977,0.940918,0.7939453,0.6948242,0.6621094,0.6513672,0.5966797,0.5791016,0.6640625,0.7182617
"HERE1_ARX",0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.9262695,0.008300781,0.01025391,0.1425781,0.402832,0.6938477,0.6279297,0.5864258,0.4755859,0.3706055
"HERE1_ARY",-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.3671875,-0.7207031,-0.7294922,-0.7202148,-0.7509766,-0.7353516,-0.6191406,-0.5336914,-0.5341797,-0.5766602
"HERE1_ARZ",-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,-0.1635742,0.8969727,0.7939453,0.7792969,0.7094727,0.6337891,0.5268555,0.5419922,0.6484375,0.7753906
"HERE1_EMG0L",1,-1,-1,-2,-1,-1,-1,-3,0,-1,2,1,7,2,0,2,3,-7,0,4,-4,0,0,-3,-2,6,3,-2,1,-1,-2,0,-2,1,3,-3,2,-3,1,-2,-6,-1,-6,0,2
"HERE1_EMG1L",0,-1,-2,0,0,1,-2,0,0,-2,-4,4,7,-4,2,0,6,-3,0,2,-11,-3,-2,-7,0,5,2,-3,1,-2,-4,2,-3,0,-2,-3,-2,-4,-1,1,-8,-4,-2,-4,0
"HERE1_EMG2L",-1,0,1,-1,0,-3,-4,0,2,-5,4,6,8,-9,-2,0,3,-4,-1,0,-6,-3,0,-3,3,0,-4,-7,-1,-4,-1,-2,-5,-2,-2,-4,-1,-2,-4,0,-7,-2,-2,0,-2
"HERE1_EMG3L",0,1,-2,-2,0,0,0,0,0,-1,-4,2,2,-1,-1,-3,0,-1,-2,0,-2,-3,-1,1,0,-2,-3,-4,-4,-2,0,-1,-2,-1,-12,-11,2,-2,-2,-1,-2,-1,-1,1,-2
