dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"AND1_ALX",-0.09179688,-0.004394531,0.08691406,0.1835938,-0.01513672,-0.1494141,-0.3789063,-0.5141602,-0.6762695,-0.730957,-0.7958984,-0.828125,-0.7089844,-0.6831055,-0.625,-0.5742188,-0.5620117,-0.6030273,-0.6079102,-0.6015625,-0.578125,-0.5869141,-0.6020508,-0.5942383,-0.5869141,-0.5756836,-0.5507813,-0.4453125,-0.3911133,-0.3706055,-0.1606445,-0.1225586,-0.1220703,0.3896484,0.8574219,1.059082,1.290039,1.26123,1.114258,0.9785156,0.7827148,0.7841797,0.875,0.9130859,0.9443359
"AND1_ALY",0.6679688,0.8681641,0.9921875,1.052246,1.04541,0.9750977,0.9199219,0.6474609,0.5488281,0.4418945,0.5541992,0.4633789,0.5756836,0.6787109,0.7495117,0.7197266,0.7094727,0.6914063,0.6757813,0.659668,0.659668,0.6479492,0.675293,0.6533203,0.6518555,0.6518555,0.6274414,0.5761719,0.4912109,0.4863281,0.4477539,0.4375,0.4936523,0.7402344,0.7768555,0.800293,0.4746094,0.6132813,0.7426758,0.5102539,0.2260742,0.4707031,0.3769531,0.203125,0.3012695
"AND1_ALZ",0.3115234,0.1987305,0.1767578,0.2612305,0.2822266,0.5048828,0.5864258,0.6850586,0.7680664,0.6860352,0.6630859,0.5585938,0.5170898,0.4716797,0.4633789,0.5024414,0.4931641,0.4770508,0.5092773,0.5141602,0.5029297,0.496582,0.4882813,0.5039063,0.5019531,0.5063477,0.4916992,0.5297852,0.4428711,0.3891602,0.5908203,0.6230469,0.6020508,0.5395508,0.5195313,0.2719727,0.2558594,-0.2041016,-0.06445313,0.1933594,0.2978516,0.2299805,0.2568359,0.2275391,0.1113281
"AND1_ARX",0.9526367,0.9379883,0.9375,0.9448242,0.953125,0.9321289,0.9477539,0.9604492,0.9550781,0.9863281,0.972168,0.9238281,0.9438477,0.9711914,0.9707031,0.9560547,0.9375,0.9321289,0.9394531,0.949707,0.9462891,0.9472656,0.9467773,0.9443359,0.9501953,0.9521484,0.9575195,0.9628906,0.940918,0.9238281,0.9477539,0.9492188,0.9526367,0.9672852,0.96875,0.965332,0.972168,0.9482422,0.9272461,0.9091797,0.9228516,0.9770508,0.9916992,0.9482422,0.9335938
"AND1_ARY",-0.2851563,-0.2910156,-0.2807617,-0.265625,-0.2587891,-0.2651367,-0.2724609,-0.2832031,-0.3120117,-0.3115234,-0.3173828,-0.3076172,-0.3095703,-0.2617188,-0.2568359,-0.2402344,-0.2456055,-0.2539063,-0.2514648,-0.262207,-0.2763672,-0.3076172,-0.3383789,-0.3017578,-0.2993164,-0.2817383,-0.2773438,-0.2832031,-0.2734375,-0.2827148,-0.2875977,-0.2993164,-0.2670898,-0.2729492,-0.2875977,-0.284668,-0.2885742,-0.2714844,-0.2573242,-0.2827148,-0.3061523,-0.2895508,-0.2709961,-0.2661133,-0.2729492
"AND1_ARZ",0.1269531,0.1376953,0.1279297,0.1176758,0.1376953,0.1430664,0.152832,0.1635742,0.1831055,0.1816406,0.1611328,0.1323242,0.1484375,0.1313477,0.1328125,0.1254883,0.1298828,0.1494141,0.1459961,0.1264648,0.1274414,0.128418,0.1494141,0.1552734,0.140625,0.1503906,0.1557617,0.1542969,0.1376953,0.1298828,0.1342773,0.1230469,0.1103516,0.1196289,0.1259766,0.1259766,0.1308594,0.09863281,0.1157227,0.1420898,0.1425781,0.1108398,0.105957,0.1264648,0.1293945
"AND1_EMG0L",-18,2,15,-24,52,10,-4,18,2,36,-2,36,-24,15,5,-40,-23,-59,17,34,-5,5,1,-56,6,-2,-10,-4,4,-6,-1,-1,-9,0,-2,-1,-1,-2,0,-2,-1,-1,-1,0,-1
"AND1_EMG1L",-9,5,20,11,3,2,35,-7,-7,12,-16,0,3,6,7,5,-1,-11,1,-5,7,0,-3,-7,-2,0,-5,-1,3,-1,2,-2,-7,-1,-1,0,-2,-2,-2,0,-2,-2,-1,0,-1
"AND1_EMG2L",9,19,5,3,-3,-11,-10,6,-12,13,-17,2,1,-4,20,8,0,-2,0,-4,1,-3,-2,-1,-4,1,-5,0,3,0,3,-2,-8,-2,0,-2,-1,-1,0,-2,0,-3,0,-1,0
"AND1_EMG3L",12,-3,3,7,-4,10,-7,4,7,6,-14,9,-10,1,7,9,-3,2,1,3,1,-5,-1,-3,-5,-4,-5,0,4,0,1,-1,-6,-4,0,-1,0,-3,0,-4,0,0,-1,0,-1
