dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"CAN1_ALX",0.9155273,0.9160156,0.9101563,0.9213867,0.9189453,0.9116211,0.9213867,0.9511719,1.032227,1.052246,1.024414,0.9941406,0.6235352,0.1943359,0.01367188,-0.07177734,0.04785156,-0.05908203,-0.07177734,0.1083984,0.9165039,2.028809,0.9462891,0.4599609,0.184082,0.03710938,-0.03515625,-0.159668,-0.1914063,1.056152,0.4399414,-0.03759766,-0.07128906,0.002441406,0.4638672,0.4155273,0.2568359,0.184082,0.2001953,0.2441406,0.2802734,0.2407227,0.2495117,0.2314453,0.2646484
"CAN1_ALY",0.3212891,0.3217773,0.3242188,0.3115234,0.3164063,0.3378906,0.3388672,0.3637695,0.4311523,0.4257813,0.6054688,0.7099609,0.7133789,0.6523438,0.4829102,0.4106445,0.4902344,0.440918,0.4042969,0.6816406,0.7661133,0.7280273,1.418945,1.112305,0.8012695,0.5698242,0.4648438,0.4633789,0.6396484,0.8173828,1.174316,0.8549805,0.7055664,0.7900391,0.7729492,0.8432617,0.8007813,0.7851563,0.8085938,0.8164063,0.8354492,0.809082,0.8183594,0.7983398,0.800293
"CAN1_ALZ",0.1606445,0.1650391,0.1601563,0.1464844,0.1577148,0.1635742,0.1450195,0.1176758,0.144043,0.1767578,0.3188477,0.5483398,0.6938477,0.5356445,0.449707,0.3681641,0.3984375,0.3881836,0.387207,0.3432617,0.5019531,0.7006836,0.6601563,0.4521484,0.4233398,0.3623047,0.3798828,0.2885742,0.362793,0.8203125,0.8154297,0.5029297,0.3925781,0.4501953,0.6098633,0.6000977,0.5561523,0.5405273,0.5605469,0.5834961,0.5805664,0.5727539,0.5756836,0.5532227,0.5429688
"CAN1_ARX",0.9448242,0.9467773,0.9467773,0.9575195,0.9570313,0.9384766,0.9790039,1.039063,1.028809,1.077148,0.9179688,0.7431641,0.53125,0.03857422,-0.03076172,0.05419922,0.008300781,-0.09765625,-0.05615234,0.4672852,1.79541,0.581543,0.128418,0.2304688,0.1616211,-0.04833984,-0.2045898,0.2392578,1.303711,0.6694336,-0.00390625,-0.1103516,0.08740234,0.5668945,0.4379883,0.2558594,0.1630859,0.1748047,0.3266602,0.3496094,0.2807617,0.2802734,0.2763672,0.2929688,0.2739258
"CAN1_ARY",-0.2827148,-0.2958984,-0.2895508,-0.2851563,-0.3735352,-0.2631836,-0.34375,-0.2739258,-0.5258789,-0.5268555,-0.5537109,-0.8095703,-0.8300781,-0.6166992,-0.6186523,-0.5258789,-0.4716797,-0.4755859,-0.6025391,-1.104004,-0.6704102,-1.596191,-1.163086,-0.8037109,-0.7338867,-0.5512695,-0.5830078,-0.7949219,-0.7402344,-1.178223,-1.008789,-0.7211914,-0.871582,-0.8662109,-0.8149414,-0.8569336,-0.7524414,-0.8383789,-0.8334961,-0.8276367,-0.8632813,-0.8291016,-0.8442383,-0.7890625,-0.8334961
"CAN1_ARZ",0.1381836,0.1455078,0.1396484,0.1391602,0.1713867,0.1455078,0.1464844,0.1835938,0.2128906,0.3447266,0.3955078,0.6323242,0.6777344,0.4916992,0.3637695,0.3325195,0.2763672,0.2734375,0.3510742,0.8505859,0.8754883,0.734375,0.4863281,0.3496094,0.3540039,0.293457,0.2368164,0.4916992,0.8046875,0.8374023,0.4790039,0.2626953,0.4023438,0.5698242,0.6254883,0.53125,0.4682617,0.4970703,0.5336914,0.5410156,0.5302734,0.5273438,0.5004883,0.5292969,0.5307617
"CAN1_EMG0L",-1,0,0,0,0,0,0,-5,8,-13,-9,12,-37,-1,7,-14,-12,18,-9,-6,-21,2,-3,-8,-3,-8,10,3,-32,-6,1,-3,-3,5,-3,-2,-3,2,-6,0,1,-2,2,-2,-1
"CAN1_EMG1L",1,-1,-2,-1,-1,0,1,-6,7,-7,9,-2,-2,-6,-4,9,-15,-24,-4,4,-3,34,-12,-13,-13,-5,0,22,-10,-11,-11,2,-5,-7,-3,5,1,1,-1,3,-6,-1,-19,28,-2
"CAN1_EMG2L",0,0,0,3,-3,4,-1,-3,34,-9,3,16,16,-31,5,4,-2,-8,-1,29,14,28,-19,-34,8,-8,-7,-16,23,-8,2,4,3,-15,0,-5,7,5,-5,-3,0,-1,-6,14,-2
"CAN1_EMG3L",0,-1,0,-3,-1,-1,9,-7,17,-9,9,39,54,-11,-8,-4,1,-3,5,13,11,17,-6,-21,-1,-8,-3,-4,-5,-3,1,0,-2,-7,2,-1,-1,1,-2,-6,0,-7,-4,-1,-3
"CAN1_EMG4L",-1,-1,1,-1,0,-2,-2,-2,4,-4,5,12,-2,1,-5,-2,-1,1,3,23,-2,2,5,-9,-6,-4,-1,-1,-4,0,3,0,-7,-3,-1,-1,-3,-3,-1,-2,-1,22,-3,-4,-2
"CAN1_EMG5L",1,-2,-2,-4,0,0,0,-1,2,-1,3,4,1,-7,-5,2,-2,-3,-3,53,-4,-6,-1,-11,1,-1,3,3,-11,-3,2,-4,-13,-2,-2,2,-1,-2,0,0,1,7,0,-5,0
"CAN1_EMG6L",2,-3,-2,-2,-1,1,-1,0,1,-1,8,1,-1,-6,-8,-7,-4,7,22,27,-15,4,-18,-45,0,8,28,6,-28,2,20,-17,15,-5,-2,4,-5,7,6,-3,12,11,4,-32,5
"CAN1_EMG7L",1,0,-1,-1,0,0,0,-1,3,1,-8,8,-13,-12,10,-8,0,-1,-3,21,-10,-19,-20,-7,-52,-30,30,8,-23,-13,-1,-7,-5,21,-5,-7,0,1,-7,-5,2,-4,8,-28,-11
"CAN1_EMG0R",-1,0,-1,0,-2,0,4,-6,5,5,-4,11,8,-6,-9,-11,18,12,-3,32,-16,9,-10,-4,-37,21,0,-3,4,2,7,-8,12,3,10,-6,-12,-4,-9,13,-16,-14,4,-2,5
"CAN1_EMG1R",-2,-2,0,0,-2,0,2,1,-2,2,-3,7,1,-4,-2,-10,6,-1,0,-7,-2,6,0,0,-15,5,5,-9,-2,0,3,-3,4,0,4,-1,-3,-1,-2,-2,-5,-1,-2,-3,-3
"CAN1_EMG2R",1,-1,-1,0,-1,-1,3,-4,-3,1,-4,2,-1,-2,0,-4,0,-2,-3,2,6,-9,-1,-8,-4,2,2,-4,-2,-2,3,-2,1,1,2,-1,-3,1,-3,0,-5,-1,-5,-3,1
"CAN1_EMG3R",0,-1,1,-4,-2,-1,-13,-14,3,-8,-11,25,-39,17,2,-5,-7,-2,-15,13,14,14,8,13,5,0,-7,9,18,2,1,5,-8,5,0,5,2,6,-5,0,-12,-1,-9,1,1
"CAN1_EMG4R",-1,-2,3,1,-2,-19,-62,-82,14,-22,-51,118,-85,43,4,3,-4,2,13,-65,66,27,32,83,22,4,-31,75,115,11,20,10,-61,14,-13,-3,13,54,-8,-25,-32,-1,-9,-11,-36
"CAN1_EMG5R",2,-2,-2,2,-1,-5,-26,-9,6,15,-48,71,-95,12,-12,11,-1,0,-18,-22,32,11,-17,22,15,-2,0,-1,-15,-11,13,22,-11,13,4,-3,3,-3,-4,4,0,6,1,7,10
"CAN1_EMG6R",-2,-2,1,-7,-1,-1,11,-7,9,11,-7,-1,-2,1,5,11,-6,-11,-9,-3,-2,-5,4,-2,0,-1,-2,3,-4,6,10,-1,5,2,0,-4,-2,-2,6,2,-3,-11,3,2,5
"CAN1_EMG7R",-1,-1,1,-6,-5,11,31,-25,34,23,-7,-23,14,11,-3,2,-6,-26,12,6,19,-21,-17,-11,-13,26,-3,-32,-3,25,-6,-9,-23,6,5,7,-21,-30,20,11,-2,-8,-1,-7,12
