dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COP1_ALX",0.8798828,0.9106445,0.8745117,0.6333008,0.1914063,-0.07910156,-0.09765625,-0.2817383,-0.3549805,-0.5820313,-0.2763672,-0.1494141,-0.5229492,-0.5019531,-0.6074219,-0.4238281,-0.5039063,-0.5039063,-0.5541992,-0.3876953,-0.2485352,-0.46875,-0.5336914,-0.5756836,-0.2792969,-0.2758789,-0.4819336,-0.2231445,-0.2929688,-0.3178711,-0.1601563,-0.1972656,-0.03125,0.06298828,0.1210938,0.4829102,0.4829102,0.7587891,1.140137,1.225098,1.132813,1.132813,1.04834,0.9575195,0.9575195
"COP1_ALY",0.6889648,0.7265625,0.9296875,0.8833008,0.5834961,0.5620117,0.5996094,0.5610352,0.6796875,0.8017578,0.7670898,0.8017578,0.8432617,0.7617188,0.8413086,0.8442383,0.9150391,0.9150391,0.9838867,0.8291016,0.8227539,0.7514648,0.7167969,0.9477539,0.6289063,0.9785156,0.7807617,0.8017578,0.652832,0.5708008,0.5898438,0.6425781,0.6616211,0.7724609,0.765625,0.6582031,0.6582031,0.8725586,0.5429688,0.5107422,0.4960938,0.4960938,0.347168,0.3364258,0.3364258
"COP1_ALZ",0.4238281,0.5908203,0.7250977,0.8017578,0.5668945,0.4487305,0.3066406,0.1152344,0.06542969,0.2084961,0.3837891,0.5756836,0.5307617,0.4399414,0.06884766,0.07177734,0.1181641,0.1181641,0.3344727,0.4042969,0.6025391,0.4619141,0.4228516,-0.1518555,0.2363281,0.5776367,0.3168945,0.4213867,0.3261719,0.328125,0.409668,0.4106445,0.4746094,0.5405273,0.5498047,0.515625,0.515625,0.4633789,0.3574219,0.2138672,0.04296875,0.04296875,0.1210938,0.2329102,0.2329102
"COP1_ARX",0.9467773,0.9389648,0.9428711,0.9443359,0.9453125,0.9453125,0.9526367,0.9414063,0.9492188,0.9541016,0.9287109,0.9438477,0.9316406,0.9194336,0.9516602,0.9838867,0.9804688,0.9804688,0.9052734,0.9155273,0.9550781,0.9555664,0.9125977,0.9619141,1.009277,0.9023438,0.8950195,0.9262695,0.9580078,0.9448242,0.9526367,0.9467773,0.9487305,0.9511719,0.9301758,0.9418945,0.9418945,0.9418945,0.9404297,0.940918,0.9228516,0.9228516,0.9311523,0.9526367,0.9526367
"COP1_ARY",-0.3007813,-0.2978516,-0.2998047,-0.296875,-0.296875,-0.2963867,-0.2875977,-0.2836914,-0.2641602,-0.2871094,-0.3217773,-0.3056641,-0.3310547,-0.362793,-0.3032227,-0.2641602,-0.3085938,-0.3085938,-0.3139648,-0.3227539,-0.3320313,-0.3125,-0.3154297,-0.2587891,-0.2753906,-0.2548828,-0.2700195,-0.3461914,-0.3081055,-0.3037109,-0.3076172,-0.3212891,-0.3203125,-0.2817383,-0.3120117,-0.309082,-0.309082,-0.3110352,-0.3139648,-0.3144531,-0.2988281,-0.2988281,-0.2802734,-0.2836914,-0.2836914
"COP1_ARZ",0.1416016,0.1367188,0.1435547,0.1455078,0.140625,0.125,0.1132813,0.121582,0.1152344,0.1469727,0.1401367,0.1230469,0.1474609,0.1733398,0.1435547,0.1411133,0.175293,0.175293,0.1328125,0.1069336,0.1396484,0.1591797,0.1450195,0.1210938,0.1816406,0.1176758,0.07861328,0.1103516,0.1455078,0.1640625,0.1611328,0.1484375,0.1254883,0.1191406,0.1430664,0.1542969,0.1542969,0.1508789,0.1586914,0.1425781,0.1337891,0.1337891,0.1469727,0.1445313,0.1445313
"COP1_EMG0L",-8,5,-1,17,-9,-13,-14,-5,-14,-18,-16,2,-8,0,8,-2,25,25,-8,19,7,6,17,7,-21,15,0,6,0,-2,0,-2,4,6,4,-6,-6,4,-4,-1,0,0,1,-1,-1
"COP1_EMG1L",-27,29,3,49,-9,29,3,-29,19,13,15,-4,6,-15,13,-20,-26,-26,-5,4,-2,22,28,-1,-14,2,-3,-5,3,-3,-11,3,-1,3,1,-3,-3,1,-4,1,-1,-1,-1,1,1
"COP1_EMG2L",-63,71,-52,110,-59,71,-3,-14,-5,7,51,-22,46,-27,8,3,0,0,15,10,-20,47,23,-24,1,2,-5,-7,1,-3,-3,-1,-3,4,-2,-3,-3,-5,-1,-1,-1,-1,-2,-2,-2
"COP1_EMG3L",-40,10,-13,64,-44,44,5,-5,-5,3,32,7,65,-14,5,3,-3,-3,5,2,-59,33,21,-4,5,1,0,-2,0,-2,-3,-6,0,-3,-5,-6,-6,-5,1,-1,-2,-2,-1,-3,-3
