dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"COST1_ALX",0.9306641,0.9355469,0.9301758,0.9262695,0.9257813,1.067383,1.139648,1.255371,1.357422,1.053223,0.04443359,0.01171875,-0.1992188,-0.2407227,-0.1826172,-0.3276367,-0.4199219,-0.4887695,-0.5307617,-0.02050781,0.0625,0.3251953,0.4672852,0.6450195,0.6445313,0.4912109,0.4204102,0.465332,0.5024414,0.5136719,0.5371094,0.5205078,0.4995117,0.4770508,0.4824219,0.4848633,0.5058594,0.5102539,0.5185547,0.5214844,0.5205078,0.5009766,0.5073242,0.5014648,0.5268555
"COST1_ALY",0.2900391,0.2832031,0.2749023,0.2714844,0.284668,0.3803711,0.4985352,0.6337891,0.5922852,1.160156,0.7729492,0.6948242,0.5537109,0.5341797,0.546875,0.3588867,0.2631836,0.2568359,0.3549805,0.5683594,0.6923828,0.8793945,1.197754,1.310547,1.350586,1.031738,0.7910156,0.7207031,0.7045898,0.6850586,0.690918,0.7216797,0.7670898,0.7631836,0.7890625,0.7915039,0.7744141,0.7880859,0.7490234,0.7460938,0.7114258,0.7553711,0.7563477,0.7294922,0.7319336
"COST1_ALZ",0.1147461,0.1162109,0.1113281,0.1025391,0.09765625,0.01757813,-0.02978516,0.2089844,0.3974609,0.8764648,0.5742188,0.5942383,0.4584961,0.4731445,0.3325195,0.1938477,0.1235352,0.1328125,0.1445313,0.2451172,0.4560547,0.6098633,0.7524414,0.6430664,0.5825195,0.4907227,0.3999023,0.4145508,0.3857422,0.4101563,0.4116211,0.4394531,0.4360352,0.4277344,0.4150391,0.4223633,0.4101563,0.3969727,0.3974609,0.4047852,0.3696289,0.3774414,0.3955078,0.3842773,0.390625
"COST1_ARX",0.597168,0.3813477,0.3457031,0.234375,0.2128906,0.125,0.03027344,0.002929688,-0.05957031,-0.08496094,-0.001953125,0.06689453,0.08691406,0.04833984,0.02539063,0.001464844,-0.02539063,-0.02490234,-0.04150391,-0.03173828,-0.08935547,-0.1000977,-0.1967773,-0.1743164,-0.1767578,-0.1625977,-0.1411133,-0.1538086,-0.1469727,-0.152832,-0.1621094,-0.15625,-0.1523438,-0.1547852,-0.1616211,-0.1557617,-0.1547852,-0.1499023,-0.1367188,-0.1352539,-0.1264648,-0.1303711,-0.1367188,-0.1352539,-0.128418
"COST1_ARY",-0.6777344,-0.6650391,-0.6572266,-0.6713867,-0.746582,-0.746582,-0.7441406,-0.7983398,-0.8081055,-0.8173828,-0.8657227,-0.8193359,-0.8793945,-0.8579102,-0.8574219,-0.9389648,-0.9555664,-0.9921875,-1.041992,-1.089844,-0.9868164,-0.8666992,-0.737793,-0.6928711,-0.7216797,-0.859375,-0.8979492,-0.9521484,-0.9819336,-0.9448242,-0.9296875,-0.8974609,-0.8691406,-0.8759766,-0.8774414,-0.8945313,-0.9047852,-0.9174805,-0.8984375,-0.9257813,-0.8969727,-0.9125977,-0.8994141,-0.8867188,-0.8989258
"COST1_ARZ",0.6435547,0.5419922,0.5161133,0.46875,0.5170898,0.4980469,0.5092773,0.5170898,0.515625,0.5722656,0.6044922,0.5175781,0.4736328,0.4433594,0.4418945,0.4663086,0.472168,0.4824219,0.4682617,0.4731445,0.5043945,0.4926758,0.5068359,0.5146484,0.4975586,0.4912109,0.4707031,0.4619141,0.4448242,0.4458008,0.4482422,0.4638672,0.4667969,0.4780273,0.4824219,0.4814453,0.4736328,0.4794922,0.4702148,0.4594727,0.4697266,0.4550781,0.4570313,0.4672852,0.4677734
"COST1_EMG0L",1,-1,-1,3,-3,-5,1,-2,-8,18,-4,2,-2,-14,26,10,-3,0,-9,-9,-2,-6,-10,8,-2,-7,10,-5,5,5,5,6,6,-10,6,-2,-2,-3,2,-6,-7,0,6,-4,-4
"COST1_EMG1L",-1,-3,2,-2,-4,-1,5,29,-84,-18,-27,24,-1,-11,15,7,9,-1,-6,-4,8,0,-23,-38,-1,0,9,8,-2,2,-17,3,1,-32,4,7,3,1,-3,-8,-1,0,3,-3,-1
"COST1_EMG2L",-3,1,-2,0,-1,-14,5,14,-128,66,19,-91,-41,26,35,4,-5,-1,-2,1,-1,0,-9,-11,5,0,5,1,-4,-1,2,2,-3,-10,-2,1,2,2,-1,-4,1,2,1,0,-1
"COST1_EMG3L",-1,0,0,-2,2,-1,12,-12,-96,69,17,22,-27,16,13,5,-4,1,0,9,-1,-4,-2,0,-5,2,1,-2,2,-2,5,0,-3,-4,0,-2,-5,3,2,-3,-2,0,2,-1,-1
"COST1_EMG4L",-2,-1,-9,-9,16,6,11,-15,-61,-40,-17,33,-22,10,13,10,23,-6,-2,12,11,23,3,-3,-7,-7,5,5,3,6,-1,-12,1,-1,-3,-4,-8,0,-5,-6,-2,-4,0,1,2
"COST1_EMG5L",0,0,-3,-1,4,-12,6,-8,-37,-14,-10,20,-9,10,4,0,7,-5,-4,0,3,14,1,16,-3,-5,-2,21,-3,-6,2,-2,-4,-3,-1,-2,-4,0,-3,-4,-2,-3,0,-2,-3
"COST1_EMG6L",-4,6,-1,-2,-3,-8,-4,-3,-9,3,0,10,1,5,2,-8,-4,0,-8,3,2,18,-7,-4,-12,-2,10,6,2,1,1,1,-6,-1,-6,1,-7,-1,-4,-6,-5,-3,3,0,-2
"COST1_EMG7L",-13,1,-1,2,-2,-5,-6,-7,-5,10,7,7,6,-3,7,-1,0,12,-13,-3,0,2,-19,-6,2,-13,13,-1,1,0,5,1,-1,0,2,-2,-3,3,-2,-8,-5,3,7,-1,-6
"COST1_EMG0R",0,-7,-1,-8,-3,10,4,4,-6,0,-13,3,0,-9,-1,4,12,-1,-1,1,1,-3,1,-2,-5,1,-6,-8,-2,4,-2,-4,1,-8,-9,1,5,-9,1,-5,-2,2,-8,-2,3
"COST1_EMG1R",24,-10,-1,-9,-47,13,3,28,-2,-2,-1,16,-23,-12,4,-3,16,8,-19,-7,2,7,8,3,-3,12,-30,-31,16,2,-26,4,-2,-7,-16,-1,0,-3,1,-3,-5,-7,-6,1,8
"COST1_EMG2R",11,0,0,3,1,1,1,5,-3,-2,-2,3,-3,-8,1,0,3,0,-5,-4,-1,-5,4,6,0,3,-7,1,-2,1,-3,-1,-1,-3,-3,-2,0,-3,1,-4,-1,-1,3,0,-3
"COST1_EMG3R",-4,-3,2,6,-1,2,-3,-4,-5,-5,-5,0,12,-8,-5,-5,-1,1,-2,1,-4,-2,-1,3,3,-5,0,-3,-3,-1,-1,-3,0,0,-2,-3,-2,2,0,-2,0,0,-1,-2,1
"COST1_EMG4R",-1,0,5,4,-1,5,-4,-2,-5,-7,-2,-2,7,-9,-5,4,6,-2,-4,0,-2,-4,-1,1,0,-4,0,-2,0,-2,0,-4,0,-4,-3,-2,-3,1,0,-1,1,-1,-1,-2,0
"COST1_EMG5R",-2,0,3,3,5,7,1,1,-4,1,-5,-3,2,-9,-2,3,-2,0,-5,-3,5,-4,-2,-1,-2,-2,-2,-2,-2,2,1,-1,2,-6,-4,-3,-2,1,2,-2,1,0,1,-3,1
"COST1_EMG6R",-6,-3,17,25,26,20,10,6,-11,4,-25,-3,-6,-12,-8,3,-1,0,-14,-5,5,-12,-6,2,-7,2,9,2,4,11,10,3,7,-28,1,3,-2,2,3,-8,8,7,10,-2,0
"COST1_EMG7R",-11,6,16,-1,3,36,8,8,-14,-2,-23,0,-18,-5,-1,3,6,-1,-3,-5,-1,-4,3,0,-8,0,-1,-1,-2,6,8,4,7,-13,-5,9,-5,-3,2,-10,1,5,4,-1,-4
"COST1_GLX",8.9375,9.5,2.625,0.3125,1.25,7.1875,-2.1875,-50.625,-17.1875,42.625,-26.0625,44,13.25,37.75,32.0625,2.3125,-0.5625,-8.4375,-39.6875,-38.125,-18.875,3.25,30,20.625,8.625,-25.0625,-9.875,8.9375,2.875,-3.75,1.8125,-3.125,0.6875,-1.4375,-0.75,-0.75,1.8125,-0.75,-3.5,1.75,-0.5,6.4375,2.375,-1.1875,1.9375
"COST1_GLY",8.9375,9.5,2.625,0.3125,1.25,7.1875,-2.1875,-50.625,-17.1875,42.625,-26.0625,44,13.25,37.75,32.0625,2.3125,-0.5625,-8.4375,-39.6875,-38.125,-18.875,3.25,30,20.625,8.625,-25.0625,-9.875,8.9375,2.875,-3.75,1.8125,-3.125,0.6875,-1.4375,-0.75,-0.75,1.8125,-0.75,-3.5,1.75,-0.5,6.4375,2.375,-1.1875,1.9375
"COST1_GLZ",8.9375,9.5,2.625,0.3125,1.25,7.1875,-2.1875,-50.625,-17.1875,42.625,-26.0625,44,13.25,37.75,32.0625,2.3125,-0.5625,-8.4375,-39.6875,-38.125,-18.875,3.25,30,20.625,8.625,-25.0625,-9.875,8.9375,2.875,-3.75,1.8125,-3.125,0.6875,-1.4375,-0.75,-0.75,1.8125,-0.75,-3.5,1.75,-0.5,6.4375,2.375,-1.1875,1.9375
"COST1_GRX",5,-22,-14.375,-23.25,-26.75,-20.0625,-33.6875,-36.0625,-27.4375,-26.1875,-9.25,1.3125,4.5625,4.375,-16.4375,-3.8125,1.6875,8.125,9.875,10.375,16.75,1.3125,-10.25,-22.9375,-22.3125,4.125,13.4375,11.375,7.9375,-4.0625,-6.4375,-5.3125,-3,0.9375,0.125,1.5625,-0.625,-0.5625,-1.125,-0.875,-2.375,-1.375,-0.3125,0.5,-0.3125
"COST1_GRY",5,-22,-14.375,-23.25,-26.75,-20.0625,-33.6875,-36.0625,-27.4375,-26.1875,-9.25,1.3125,4.5625,4.375,-16.4375,-3.8125,1.6875,8.125,9.875,10.375,16.75,1.3125,-10.25,-22.9375,-22.3125,4.125,13.4375,11.375,7.9375,-4.0625,-6.4375,-5.3125,-3,0.9375,0.125,1.5625,-0.625,-0.5625,-1.125,-0.875,-2.375,-1.375,-0.3125,0.5,-0.3125
"COST1_GRZ",5,-22,-14.375,-23.25,-26.75,-20.0625,-33.6875,-36.0625,-27.4375,-26.1875,-9.25,1.3125,4.5625,4.375,-16.4375,-3.8125,1.6875,8.125,9.875,10.375,16.75,1.3125,-10.25,-22.9375,-22.3125,4.125,13.4375,11.375,7.9375,-4.0625,-6.4375,-5.3125,-3,0.9375,0.125,1.5625,-0.625,-0.5625,-1.125,-0.875,-2.375,-1.375,-0.3125,0.5,-0.3125
"COST1_ORL",6.924212,6.927474,6.932123,6.931046,6.934625,6.932164,6.914982,6.773736,6.690413,6.605742,6.490577,6.511534,6.585701,6.662975,6.769526,6.931153,6.993243,6.992749,6.862975,6.69283,6.648433,6.63921,6.68378,6.692334,6.702353,6.703218,6.693603,6.709412,6.731936,6.735464,6.738946,6.735368,6.731947,6.723821,6.720572,6.718323,6.719056,6.722064,6.719622,6.723055,6.725983,6.735575,6.743447,6.747023,6.755105
"COST1_OPL",2.995294,2.995776,3.007545,3.009932,3.01487,3.039717,3.069098,3.183195,3.270306,3.72929,4.404554,4.888407,5.600457,5.983954,6.250873,6.428401,6.424256,6.392405,6.163651,5.7019,5.309991,4.905107,4.416588,4.195226,4.144579,4.13131,4.174756,4.207703,4.226515,4.218079,4.202116,4.17761,4.166124,4.155306,4.152121,4.152881,4.153151,4.155792,4.158782,4.161619,4.156655,4.150604,4.141283,4.127666,4.102398
