dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DAY1_ALX",0.792481,0.534668,0.385254,0.291016,0.285645,0.0141602,-0.0634766,-0.0541992,-0.186523,-0.21582,-0.134277,-0.125,-0.125,0.0712891,-0.246094,-0.0541992,-0.156738,-0.271973,-0.40918,-0.434082,-0.29541,-0.48291,-0.40918,-0.555176,-0.762207,-0.729981,-0.674316,-0.726563,-0.79834,-0.852051,-0.905273,-0.9375,-0.943359,-0.930176,-0.932617,-0.943848,-0.884766,-0.850586,-0.841309,-0.885742,-0.881836,-0.918945,-0.918945,-0.926758,-0.927734
"DAY1_ALY",0.793945,0.837402,0.79834,0.838867,0.870117,0.835938,0.847656,0.780273,0.777832,0.790527,0.892578,0.894043,0.894043,1.14063,1.42432,0.93457,1.19385,1.30762,1.2793,1.27539,1.07373,0.870606,0.637207,0.469238,0.411621,0.244141,0.120117,0.0908203,0.0888672,0.14209,0.182617,0.244141,0.253906,0.289551,0.313477,0.291992,0.269043,0.263672,0.245606,0.253418,0.265137,0.293945,0.293945,0.288086,0.285645
"DAY1_ALZ",0.345703,0.364258,0.367188,0.433594,0.35791,0.327148,0.279785,0.29541,0.274902,0.104981,0.136719,0.130371,0.130371,0.126465,-0.0166016,0.138672,-0.00683594,0.00390625,-0.0825195,-0.0141602,0.0708008,0.173828,0.233398,0.228027,0.317383,0.521973,0.629883,0.611816,0.557617,0.520508,0.490234,0.440918,0.453125,0.452148,0.445313,0.39502,0.428711,0.457031,0.470215,0.433105,0.484375,0.438965,0.438965,0.418457,0.414063
"DAY1_ARX",0.460938,0.48877,0.51709,0.552246,0.474121,0.404785,0.356445,0.296387,0.275879,0.228027,0.107422,0.160644,0.160644,0.210938,0.261719,0.0712891,0.134277,0.191894,0.172852,0.18457,0.199707,0.180664,0.182129,0.166504,0.1875,0.107422,0.0961914,0.108887,0.130859,0.150391,0.159668,0.162598,0.174316,0.178711,0.148926,0.142578,0.152344,0.155273,0.14209,0.149414,0.137695,0.127441,0.127441,0.136719,0.143555
"DAY1_ARY",-0.80957,-0.761719,-0.876953,-0.804688,-0.856934,-0.898926,-0.904785,-0.97168,-0.939941,-1.04688,-1.00684,-0.956055,-0.956055,-0.984863,-0.955078,-1.05908,-0.921387,-1.0166,-1.06201,-0.999023,-1.01221,-0.984863,-0.98584,-0.986816,-1.00977,-1.04346,-1.04443,-1.00635,-1.01563,-1.01172,-1.00244,-0.991699,-1.00684,-0.99707,-0.996582,-0.994141,-0.978516,-1.01318,-1.02978,-1.01465,-1.01514,-1.00293,-1.00293,-1.00147,-0.994141
"DAY1_ARZ",0.307129,0.286133,0.260742,0.215332,0.215332,0.171875,0.129883,0.123535,0.0698242,0.109375,0.0458984,0.0566406,0.0566406,0.0551758,0.0200195,0.0537109,0.034668,0.0341797,0.0512695,0.0336914,0.0498047,0.0668945,0.0625,0.0375977,0.0527344,0.0473633,0.0390625,0.046875,0.074707,0.0839844,0.0957031,0.0957031,0.104981,0.0966797,0.0883789,0.0947266,0.0917969,0.103516,0.0898438,0.0883789,0.0957031,0.081543,0.081543,0.0849609,0.0766602
"DAY1_EMG0L",-3,6,1,-8,1,-3,0,-1,-1,-1,30,-8,-8,2,4,-3,-4,-34,-3,-5,1,7,-5,-6,2,-1,-1,1,3,1,2,-7,2,0,0,1,-1,3,-1,-2,5,1,1,3,0
"DAY1_EMG1L",-8,-1,30,-18,0,-15,-6,-7,1,-2,15,-8,-8,-4,4,0,-28,-23,1,-6,-3,1,1,-7,3,-3,0,-1,0,-1,2,-5,0,-4,1,-3,-3,1,2,-3,5,-2,-2,0,4
"DAY1_EMG2L",-9,0,46,-18,-18,-17,0,-5,4,-3,-29,-3,-3,-8,-2,7,-25,20,-10,-9,0,-11,0,-5,1,0,0,5,-4,-3,-2,-8,-2,-3,-2,-7,3,2,10,-10,2,-9,-9,1,1
"DAY1_EMG3L",0,9,13,-15,-4,-5,0,9,-1,1,-13,0,0,-12,-5,1,-3,7,-5,-6,0,-3,-5,0,-6,1,0,2,-1,-2,-4,-3,-1,2,-1,-7,2,1,-5,-21,1,-4,-4,10,-3
