dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"DEAF1_ALX",0.955078,0.803711,0.701172,0.276855,-0.267578,-0.341797,-0.462402,-0.523926,-0.523926,-0.523926,-0.542481,-0.59668,-0.632813,-0.750488,-0.75293,-0.896973,-0.93457,-0.808106,-0.817871,-0.817871,-0.862793,-0.880371,-0.874512,-0.87207,-0.911621,-0.944824,-0.933594,-0.898438,-0.776367,-0.776367,-0.669434,-0.555176,-0.424316,-0.555664,-0.610352,-0.684082,-0.211426,-0.211426,0.260254,0.95459,1.25635,1.34912,1.32031,1.14307,0.947266
"DEAF1_ALY",0.532715,0.782715,0.727539,0.787598,0.62207,0.618164,0.558106,0.612793,0.612793,0.612793,0.629394,0.708496,0.797363,0.917481,0.825195,0.344727,0.223633,0.174805,0.208008,0.208008,0.295898,0.390137,0.44043,0.440918,0.428711,0.402344,0.395996,0.395508,0.390625,0.390625,0.391602,0.410156,0.435547,0.46582,0.53125,0.602051,0.582519,0.582519,0.702148,1.04248,0.511231,0.419922,0.369629,0.432617,0.398926
"DEAF1_ALZ",0.504394,0.588867,0.664063,0.634766,0.424805,0.393066,0.385742,0.387207,0.387207,0.387207,0.385254,0.277832,0.205566,0.244629,0.229004,0.107422,0.0488281,-0.0214844,-0.00732422,-0.00732422,-0.0776367,-0.184082,-0.134766,-0.139648,-0.12207,-0.118652,-0.117188,-0.105957,-0.0766602,-0.0766602,-0.0341797,0.0664063,0.13916,0.381348,0.564941,0.423828,0.589356,0.589356,0.537109,0.512207,0.399414,0.251953,-0.0146484,-0.175293,0.211914
"DEAF1_ARX",0.955078,0.949219,0.943848,0.926758,0.927734,0.947754,0.941406,0.939453,0.932617,0.949219,0.954102,0.947754,0.948731,0.937988,0.939453,0.932129,0.948731,0.943848,0.943848,0.943848,0.935547,0.924316,0.95459,0.951172,0.935547,0.945313,0.947266,0.947266,0.930664,0.930664,0.924805,0.925781,0.928223,0.974609,0.945313,0.930664,0.933106,0.933106,0.964844,0.977051,0.947266,0.928711,0.922363,0.943848,0.953613
"DEAF1_ARY",-0.30127,-0.290527,-0.297363,-0.290527,-0.304199,-0.29541,-0.302734,-0.309082,-0.311523,-0.290527,-0.30957,-0.326172,-0.325684,-0.316406,-0.305664,-0.333984,-0.306641,-0.326172,-0.290527,-0.290527,-0.301758,-0.295898,-0.287598,-0.290039,-0.271973,-0.296387,-0.293457,-0.303711,-0.304199,-0.304199,-0.305664,-0.307129,-0.292969,-0.279297,-0.272461,-0.301758,-0.345215,-0.345215,-0.34375,-0.347168,-0.306641,-0.287598,-0.270996,-0.25293,-0.264648
"DEAF1_ARZ",0.152344,0.149902,0.134766,0.125977,0.146973,0.144531,0.131348,0.13916,0.144043,0.145996,0.148926,0.143555,0.138184,0.125977,0.135742,0.162109,0.136719,0.155273,0.128418,0.128418,0.126953,0.135254,0.12207,0.125,0.129883,0.125977,0.127441,0.129883,0.145019,0.145019,0.135742,0.149414,0.152832,0.154785,0.14209,0.164551,0.174805,0.174805,0.174805,0.154297,0.128906,0.14209,0.148438,0.147461,0.155762
"DEAF1_EMG0L",-6,12,-2,4,-5,5,8,0,-12,-3,-4,-8,-8,-1,11,4,6,5,19,19,-9,-6,4,-10,0,-5,9,5,5,5,-1,1,-5,2,0,-4,3,3,2,0,-2,-1,1,0,-1
"DEAF1_EMG1L",-12,7,-10,0,-23,4,41,-11,-39,-17,0,-39,5,-8,36,5,51,-3,-16,-16,8,-1,25,-5,8,-6,3,6,-2,-2,4,1,-8,-6,14,-10,10,10,-2,-4,0,-4,0,0,1
"DEAF1_EMG2L",-21,-19,63,-58,-49,38,-21,1,-33,-8,-7,-46,21,-43,56,18,37,8,-70,-70,15,10,0,-6,19,-7,1,3,0,0,1,0,-5,-7,10,-4,-12,-12,6,-6,-1,-2,0,-1,-1
"DEAF1_EMG3L",-18,19,8,-32,-42,0,-7,8,-22,-1,-10,-34,20,-47,38,7,26,6,-14,-14,4,8,1,-5,13,-7,4,1,1,1,3,-2,1,-5,-2,-1,-4,-4,1,1,-2,-2,2,-1,0
"DEAF1_EMG4L",-10,10,3,-8,-10,-10,2,3,-11,5,-13,-11,-1,-8,8,8,18,1,-11,-11,4,2,-4,-1,6,-1,2,-1,2,2,6,-1,-2,-5,0,2,22,22,-4,21,-6,-6,-3,-1,-4
"DEAF1_EMG5L",1,5,-1,-4,2,-6,2,5,-1,-2,-3,-1,0,-7,0,7,4,-1,-6,-6,13,2,-5,-1,-1,0,0,-2,1,1,-4,0,-3,-1,2,-2,3,3,0,0,-2,0,-2,-1,-2
"DEAF1_EMG6L",0,4,-3,-5,6,8,0,6,-4,-9,-3,2,4,-3,0,2,-3,-3,-1,-1,-3,-2,-2,-1,-2,1,-2,0,1,1,-2,0,-1,-1,0,-5,-1,-1,-1,-2,-1,0,0,-2,-2
"DEAF1_EMG7L",0,8,-3,-3,-3,1,1,6,-8,-12,-6,2,2,-4,4,-4,6,-3,10,10,-25,1,-3,-1,-2,-1,1,1,4,4,-2,-1,-4,2,-1,-5,0,0,1,0,-10,-4,-1,0,-2
"DEAF1_EMG0R",-1,-2,1,0,-2,-1,-2,-2,-1,-2,-1,-1,-1,0,-1,0,0,-3,0,0,-3,1,-1,-3,-2,0,0,-1,-1,-1,-2,-2,1,0,-1,-2,-2,-2,0,0,-1,-2,-1,-2,1
"DEAF1_EMG1R",-2,0,-2,-2,-2,0,-2,-1,-1,-2,-1,0,0,-1,-1,1,-1,-3,-1,-1,0,-2,-1,-1,-1,0,0,-2,-1,-1,-1,-1,0,-1,1,-1,-3,-1,-1,-1,-1,-3,-1,0,0
"DEAF1_EMG2R",-3,-1,-2,-1,-2,0,-1,-1,-2,-2,-1,0,-1,0,-2,-3,-1,-1,0,0,0,-2,-1,-1,0,-1,-1,0,0,0,-2,0,0,-2,-1,-2,0,-1,-1,-2,0,0,0,-2,-3
"DEAF1_EMG3R",0,0,-1,-2,-1,1,-2,-1,-2,-1,-1,0,-1,-1,-2,-1,-2,-2,-1,-1,-1,0,-2,-1,-1,-1,0,0,-1,-1,-2,0,0,0,-1,-2,-1,-1,-2,0,1,-1,0,-1,-2
"DEAF1_EMG4R",-2,-1,1,1,0,-1,-1,1,-2,0,-3,-1,-1,-1,-1,-2,-1,0,0,0,0,-1,-2,0,-1,0,-3,-1,-1,-1,-1,-1,-1,-2,-2,0,-1,-2,-2,-2,-2,-1,-1,-1,-2
"DEAF1_EMG5R",-3,-2,-2,-1,0,-2,-2,-3,1,0,-2,-1,-2,-3,0,0,-1,-2,-1,-1,0,-2,-1,0,0,-2,-1,-1,-1,-1,-4,-2,0,-1,-2,-1,-1,-1,-1,-1,0,-2,-1,1,0
"DEAF1_EMG6R",-1,-1,-2,0,-1,0,-2,0,-2,-1,-1,-2,-1,-3,-1,-1,-1,0,0,0,1,-2,-3,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-3,0,-3,0,0,-1,-3,0,-1
"DEAF1_EMG7R",0,-3,-1,-2,0,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,0,-2,-2,-2,-1,-1,0,-2,0,-1,-1,-2,0,0,-1,0,-2,-1,-2,0,0,0,-1,-2,-1,-1,-1,-3,-2
"DEAF1_GLX",21.375,1.5625,13,3.5,-19.125,-13.1875,17.4375,25.3125,25.3125,25.3125,-7.875,-3,19.25,61.5,69.125,93.375,71.125,54.8125,24.6875,24.6875,-3.8125,-9.5625,-5.25,-4.4375,-3.3125,-3.5,2.6875,1.9375,0.3125,0.3125,-3.4375,-5.3125,-20.375,-34,-40.1875,-47.875,-18.0625,-18.0625,48.375,39.5,-33.8125,26.625,37.25,26.5625,-48.6875
"DEAF1_GLY",21.375,1.5625,13,3.5,-19.125,-13.1875,17.4375,25.3125,25.3125,25.3125,-7.875,-3,19.25,61.5,69.125,93.375,71.125,54.8125,24.6875,24.6875,-3.8125,-9.5625,-5.25,-4.4375,-3.3125,-3.5,2.6875,1.9375,0.3125,0.3125,-3.4375,-5.3125,-20.375,-34,-40.1875,-47.875,-18.0625,-18.0625,48.375,39.5,-33.8125,26.625,37.25,26.5625,-48.6875
"DEAF1_GLZ",21.375,1.5625,13,3.5,-19.125,-13.1875,17.4375,25.3125,25.3125,25.3125,-7.875,-3,19.25,61.5,69.125,93.375,71.125,54.8125,24.6875,24.6875,-3.8125,-9.5625,-5.25,-4.4375,-3.3125,-3.5,2.6875,1.9375,0.3125,0.3125,-3.4375,-5.3125,-20.375,-34,-40.1875,-47.875,-18.0625,-18.0625,48.375,39.5,-33.8125,26.625,37.25,26.5625,-48.6875
"DEAF1_GRX",-1.75,-2.0625,-0.9375,-0.9375,-0.8125,-1.0625,0.6875,2.5,4.3125,5.75,3.6875,3.375,5.5625,4.4375,0.1875,-11.625,-9.6875,-10.8125,-10.9375,-10.9375,-8.3125,-3.0625,-2,1.625,0,-1.0625,2.8125,3,7.8125,7.8125,10.1875,11.375,19.6875,23.8125,18.5,8.5,5,5,7.9375,-1.3125,-4,-5.4375,-3.1875,-2.25,-10.75
"DEAF1_GRY",-1.75,-2.0625,-0.9375,-0.9375,-0.8125,-1.0625,0.6875,2.5,4.3125,5.75,3.6875,3.375,5.5625,4.4375,0.1875,-11.625,-9.6875,-10.8125,-10.9375,-10.9375,-8.3125,-3.0625,-2,1.625,0,-1.0625,2.8125,3,7.8125,7.8125,10.1875,11.375,19.6875,23.8125,18.5,8.5,5,5,7.9375,-1.3125,-4,-5.4375,-3.1875,-2.25,-10.75
"DEAF1_GRZ",-1.75,-2.0625,-0.9375,-0.9375,-0.8125,-1.0625,0.6875,2.5,4.3125,5.75,3.6875,3.375,5.5625,4.4375,0.1875,-11.625,-9.6875,-10.8125,-10.9375,-10.9375,-8.3125,-3.0625,-2,1.625,0,-1.0625,2.8125,3,7.8125,7.8125,10.1875,11.375,19.6875,23.8125,18.5,8.5,5,5,7.9375,-1.3125,-4,-5.4375,-3.1875,-2.25,-10.75
"DEAF1_ORL",6.55067,6.4982,6.45836,6.43475,6.41055,6.41629,6.46533,6.60834,6.60834,6.60834,6.85015,6.8712,6.89229,6.94426,6.97279,7.51257,7.76288,7.94285,8.02499,8.02499,8.06183,8.06547,8.0361,8.01279,7.99211,7.98143,7.95113,7.94416,7.90074,7.90074,7.80053,7.6028,7.32613,6.8944,6.68343,6.49339,6.45124,6.45124,6.51383,6.63361,6.71954,6.88062,7.10961,7.28307,7.1348
"DEAF1_OPL",3.61495,3.96929,4.25376,4.75893,5.29866,5.46141,5.7379,6.01859,6.01859,6.01859,6.17757,6.20142,6.24051,6.31081,6.35319,6.75007,6.8248,6.8453,6.83801,6.83801,6.81077,6.79979,6.81575,6.8197,6.81539,6.81233,6.80286,6.80371,6.81676,6.81676,6.81187,6.77892,6.69508,6.40152,6.0739,5.43356,4.96714,4.96714,4.31459,3.92507,3.40944,3.1464,2.97973,2.89563,2.88598
"DEAF1_OYL",6.23873,6.36615,6.45443,6.58957,6.73483,6.78738,6.89803,7.08887,7.08887,7.08887,7.42932,7.48318,7.48134,7.41923,7.40394,7.67115,7.85606,7.98172,8.03243,8.03243,8.06942,8.09926,8.07477,8.05524,8.0371,8.02756,7.99377,7.98385,7.93321,7.93321,7.82711,7.61648,7.32669,6.86812,6.63603,6.41991,6.3234,6.3234,6.14929,6.02507,5.85409,5.68785,5.48715,5.34441,5.46368
"DEAF1_ORR",3.21011,3.21451,3.21587,3.21697,3.21042,3.20732,3.20569,3.20755,3.2094,3.2112,3.2077,3.20297,3.1987,3.19403,3.18694,3.15613,3.12797,3.12966,3.13174,3.13174,3.13107,3.14294,3.15217,3.15975,3.17403,3.1734,3.17436,3.17529,3.1819,3.1819,3.18872,3.19316,3.21955,3.25197,3.27636,3.28036,3.27764,3.27764,3.27713,3.27392,3.26552,3.24312,3.22889,3.2214,3.22013
"DEAF1_OPR",3.04002,3.04015,3.04065,3.04089,3.04012,3.03815,3.04016,3.04535,3.04774,3.04824,3.04548,3.04263,3.04319,3.04539,3.04649,3.03902,3.03249,3.03117,3.02926,3.02926,3.03373,3.04078,3.04935,3.05405,3.05498,3.05073,3.04466,3.03887,3.03275,3.03275,3.03034,3.0303,3.03539,3.04062,3.03778,3.0307,3.02358,3.02358,3.02105,3.01726,3.01967,3.02347,3.02375,3.01935,3.01138
"DEAF1_OYR",1.50222,1.49533,1.48983,1.48858,1.49193,1.49484,1.49555,1.49566,1.49612,1.50958,1.51817,1.52915,1.53924,1.54995,1.55939,1.57248,1.57913,1.5577,1.54317,1.54317,1.52565,1.50858,1.49563,1.48785,1.47545,1.47483,1.47616,1.47845,1.4818,1.4818,1.48544,1.48734,1.48967,1.4957,1.50619,1.51494,1.52367,1.52367,1.52864,1.53364,1.53868,1.55184,1.56217,1.56935,1.56117
"DEAF2_ALX",0.909668,0.9086914,0.902832,0.9116211,0.90625,0.9091797,0.909668,0.9101563,0.909668,0.9121094,0.9101563,0.9160156,0.8994141,0.8994141,0.909668,0.9086914,0.9086914,0.9091797,0.9091797,0.9106445,0.9038086,0.9023438,0.9248047,0.9165039,0.9970703,0.9672852,1.065918,1.062988,0.6547852,0.1557617,0.1557617,-0.2280273,-0.3955078,-0.3955078,-0.3955078,-0.4536133,-0.4536133,-0.4536133,-0.6796875,-0.6723633,-0.706543,-0.6416016,-0.6416016,-0.6416016,-0.8759766
"DEAF2_ALY",0.3173828,0.3237305,0.3242188,0.3232422,0.328125,0.3261719,0.3232422,0.3222656,0.3256836,0.3276367,0.3212891,0.3110352,0.3286133,0.3286133,0.3344727,0.3325195,0.3227539,0.3208008,0.3178711,0.3198242,0.3144531,0.3334961,0.3613281,0.4785156,0.5019531,0.6762695,0.7026367,0.6694336,0.8041992,0.7001953,0.7001953,0.5966797,0.4814453,0.4814453,0.4814453,0.5263672,0.5263672,0.5263672,0.6782227,0.6542969,0.6948242,0.78125,0.78125,0.78125,0.7084961
"DEAF2_ALZ",0.1606445,0.1513672,0.1601563,0.1650391,0.1621094,0.1586914,0.1606445,0.1621094,0.1655273,0.1630859,0.1665039,0.1669922,0.1611328,0.1611328,0.1655273,0.1640625,0.1601563,0.1547852,0.1533203,0.1508789,0.1582031,0.1699219,0.1713867,0.1289063,0.2392578,0.3666992,0.5307617,0.6279297,0.7392578,0.5898438,0.5898438,0.4375,0.3652344,0.3652344,0.3652344,0.3603516,0.3603516,0.3603516,0.2617188,0.2583008,0.2250977,0.2504883,0.2504883,0.2504883,0.3461914
"DEAF2_ARX",0.9418945,0.9472656,0.9487305,0.9516602,0.9477539,0.9482422,0.9506836,0.9506836,0.9477539,0.949707,0.9428711,0.9462891,0.9462891,0.9462891,0.9458008,0.9462891,0.9438477,0.9453125,0.9448242,0.9511719,0.9462891,0.9550781,0.9453125,0.9458008,0.9370117,0.9291992,0.9619141,0.9501953,0.9326172,0.9287109,0.9423828,0.9536133,0.9580078,0.9580078,0.9360352,0.9365234,0.9511719,0.953125,0.9467773,0.9404297,0.9379883,0.9501953,0.9501953,0.9536133,0.9458008
"DEAF2_ARY",-0.28125,-0.2875977,-0.277832,-0.2871094,-0.2841797,-0.2836914,-0.2861328,-0.277832,-0.2827148,-0.284668,-0.2871094,-0.2832031,-0.2817383,-0.2817383,-0.2885742,-0.2885742,-0.2905273,-0.2836914,-0.2802734,-0.2788086,-0.2900391,-0.2949219,-0.2958984,-0.3061523,-0.2895508,-0.2993164,-0.2861328,-0.2905273,-0.2836914,-0.2724609,-0.2783203,-0.2827148,-0.2895508,-0.2895508,-0.296875,-0.2905273,-0.3032227,-0.3046875,-0.3188477,-0.3139648,-0.3027344,-0.277832,-0.277832,-0.293457,-0.3007813
"DEAF2_ARZ",0.1435547,0.1445313,0.1474609,0.1420898,0.1401367,0.1455078,0.1425781,0.1464844,0.1455078,0.1425781,0.1489258,0.144043,0.1450195,0.1450195,0.1435547,0.1445313,0.1489258,0.1450195,0.144043,0.1416016,0.1459961,0.1508789,0.1450195,0.1503906,0.1455078,0.1557617,0.1577148,0.1523438,0.1420898,0.1347656,0.1420898,0.1264648,0.1254883,0.1254883,0.1293945,0.1464844,0.1479492,0.1518555,0.1464844,0.1425781,0.144043,0.1279297,0.1279297,0.1455078,0.1420898
"DEAF2_EMG0L",-3,1,-1,-2,-1,-1,-1,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,0,-1,-2,-4,2,3,-1,8,1,-12,-5,-16,-16,11,-5,3,-11,12,-11,-18,2,2,-9,23
"DEAF2_EMG1L",-1,-2,-1,-2,-1,0,0,-2,1,-2,-1,-1,0,0,-1,-1,-1,-1,0,-2,1,1,-11,-2,-8,1,28,-7,15,-28,-19,-15,-22,-22,-19,-5,-7,-5,-7,-3,-1,13,13,-23,4
"DEAF2_EMG2L",-1,-2,-2,0,0,-2,0,0,-2,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,-2,-1,-4,-29,-6,64,79,-21,-62,-128,-41,-49,-1,-1,-24,8,24,-21,-5,13,46,32,32,-48,11
"DEAF2_EMG3L",1,-1,0,-3,-1,-2,0,-1,0,0,-2,-1,0,0,-1,0,-1,-1,-1,-1,0,1,-7,-8,12,16,31,12,2,-82,-57,-21,-4,-4,-9,12,9,-6,-8,2,23,13,13,-9,-6
"DEAF2_EMG4L",0,4,0,0,-3,-10,1,-3,1,5,-1,-12,1,1,14,0,0,-2,-1,-2,4,2,-1,-4,0,-3,-10,2,18,-18,-13,15,0,0,-1,-5,-9,-2,-17,-2,7,23,23,-15,-10
"DEAF2_EMG5L",-1,0,-3,0,-1,-3,-2,-2,0,0,-2,-3,-2,-2,1,-2,1,-2,1,0,2,2,1,-2,-2,-4,0,0,-1,-10,-7,-2,16,16,5,-7,0,-6,-7,1,3,6,6,-4,-2
"DEAF2_EMG6L",0,1,-1,1,0,-2,-2,0,-1,-3,0,-1,1,1,0,-3,-2,-1,-1,0,-3,0,1,-1,-2,-1,2,0,-1,-9,-5,-5,12,12,-2,0,4,-8,-1,0,-1,-1,-1,1,6
"DEAF2_EMG7L",0,1,-1,1,-1,-2,-1,1,0,1,1,-2,-1,-1,1,-1,0,-1,0,0,0,2,0,-1,-5,-2,-1,2,-1,-6,-6,-9,-6,-6,-2,1,5,-10,8,-1,-8,0,0,3,13
"DEAF2_EMG0R",-1,-1,-1,0,1,-2,-2,-2,-1,-3,-1,-2,-2,-2,0,-1,-1,0,-2,-1,0,-1,-1,-3,0,-1,-1,-2,-2,-1,-1,-2,1,1,-1,-1,-1,-1,-1,-3,0,-1,-1,-2,0
"DEAF2_EMG1R",-2,1,-2,-2,0,-2,0,-2,-1,1,-2,-1,-2,-2,-1,-2,-2,0,-3,0,-2,-1,-1,-1,-2,-1,-2,0,-1,-2,0,-2,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1
"DEAF2_EMG2R",0,0,-2,-1,0,-2,-2,-1,-2,-1,-2,-3,-2,-2,-2,-1,-3,-1,0,-2,-2,-1,-1,-2,0,0,-2,-1,0,-2,0,-1,0,0,-3,-2,0,-2,-3,-1,-2,1,1,-1,-1
"DEAF2_EMG3R",0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2,-1,-1,0,-2,0,-2,0,-1,-1,-1,-1,-1,-2,0,-1,-1,-2,-1,-1,-1,-1,-2,-2,-1,-1,0,-2,0,0,-2,1
"DEAF2_EMG4R",0,-1,0,-1,0,-1,0,-1,-2,-3,-2,-2,-1,-1,-1,-1,0,-3,-2,0,-2,-1,1,0,0,-4,-2,-2,0,-1,-3,-3,-1,-1,-1,-2,-4,-2,0,0,-3,-2,-2,-1,-2
"DEAF2_EMG5R",-2,-2,-2,0,0,-1,-2,-2,0,-2,1,-2,-2,-2,-2,-2,-1,0,0,-1,-1,-1,-1,-2,0,-2,-1,-1,-1,-1,0,0,1,1,1,-2,-2,-1,-2,-1,0,-2,-2,-1,-2
"DEAF2_EMG6R",-3,0,-1,-1,-1,-2,1,0,-2,-2,0,0,-2,-2,-2,-2,0,-1,0,-1,0,-2,-1,-2,0,-1,0,0,-1,-2,-1,-2,-2,-2,1,-1,0,-1,-1,-1,-2,0,0,-1,-1
