dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FATHER1_ALX",0.671875,0.287598,-0.26709,-0.424805,-0.563965,-0.748047,-1.00098,-0.431152,-1.10742,-0.991699,-0.223144,-0.977051,-0.974121,-0.949707,-0.957519,-0.90625,-0.720215,-0.905273,-0.956055,-0.919434,-0.602051,-0.567871,-0.59375,-0.573731,-0.364746,-0.115723,0.146973,0.641602,0.898926,1.21777,1.2041,1.03076,0.956055,0.801269,1.01221,1.04394,0.978027,0.970703,0.929199,0.848144,0.870606,0.868164,0.868652,0.909668,0.934082
"FATHER1_ALY",0.876953,0.885742,0.700195,0.667481,0.314941,0.307617,0.229492,0.28125,0.325195,0.693848,0.609375,0.37207,0.444336,0.308594,0.431641,0.706055,0.726074,0.455078,0.531738,0.519043,0.500488,0.518555,0.59375,0.683106,0.694824,0.787598,0.834961,0.86084,0.751953,0.413086,0.340332,0.422852,0.382324,0.494629,0.224609,0.198731,0.213867,0.312988,0.212891,0.273926,0.304199,0.291016,0.300781,0.33252,0.319824
"FATHER1_ALZ",0.540039,0.582519,0.411133,0.254395,0.0771484,-0.046875,-0.12793,0.0908203,-0.283691,-0.17041,0.46582,-0.0390625,-0.229492,-0.339355,-0.144531,-0.0668945,0.261719,-0.019043,-0.152832,-0.128418,0.110352,0.181152,0.203613,0.219238,0.420898,0.491699,0.421387,0.461426,0.362305,0.209473,-0.0981445,0.177246,0.224121,0.240723,0.104981,0.00585938,0.00244141,0.126953,0.225098,0.208008,0.184082,0.179688,0.179688,0.185059,0.166016
"FATHER1_ARX",0.925293,0.920898,0.910156,0.916992,0.927734,0.919434,0.920898,0.935059,0.921875,0.907227,0.959473,0.915039,0.916016,0.939941,0.931152,0.92334,0.928711,0.921387,0.923828,0.926758,0.9375,0.919922,0.931152,0.930176,0.930664,0.937012,0.931641,0.930176,0.92334,0.946289,0.911621,0.915039,0.934082,0.956055,0.940918,0.932617,0.925781,0.938477,0.936523,0.922852,0.929199,0.931152,0.930664,0.927246,0.927246
"FATHER1_ARY",-0.333984,-0.352051,-0.346191,-0.34668,-0.348633,-0.364746,-0.378906,-0.365723,-0.378906,-0.376465,-0.362305,-0.325684,-0.334473,-0.346191,-0.337891,-0.350586,-0.379395,-0.335938,-0.37793,-0.333008,-0.361816,-0.350586,-0.356934,-0.335449,-0.348633,-0.350586,-0.361328,-0.335449,-0.344238,-0.330078,-0.338867,-0.357422,-0.34668,-0.349121,-0.341797,-0.337891,-0.330566,-0.327637,-0.333008,-0.344238,-0.356934,-0.354492,-0.360352,-0.367188,-0.353516
"FATHER1_ARZ",0.112305,0.128906,0.118164,0.132324,0.130371,0.136719,0.137207,0.12793,0.124512,0.134766,0.143555,0.120117,0.126465,0.140625,0.123047,0.138184,0.145996,0.111816,0.142578,0.140137,0.141602,0.145508,0.141602,0.116699,0.134766,0.141602,0.128906,0.126953,0.132324,0.121094,0.119629,0.136231,0.128418,0.114258,0.106934,0.113769,0.120117,0.11084,0.12207,0.126953,0.132813,0.130859,0.129883,0.128906,0.132813
"FATHER1_EMG0L",9,-44,61,-53,32,6,29,-13,-16,32,-4,13,-15,-32,5,16,6,-35,14,22,-14,-9,21,11,15,-4,-2,-4,0,-1,-1,-2,-1,0,-1,0,-1,0,-2,-1,0,0,1,-2,-1
"FATHER1_EMG1L",21,-16,6,-11,5,14,-12,9,-7,-4,1,4,-3,-35,3,21,-1,-1,-25,1,-2,2,-15,20,-5,-5,-1,-6,1,0,-1,-1,0,-1,-1,-1,-1,-3,0,-1,-1,0,-1,0,0
"FATHER1_EMG2L",70,-62,1,-6,-14,-17,8,2,-6,42,-11,0,-4,5,6,17,2,0,-9,2,1,-2,-6,-1,-3,-7,3,-7,-1,-2,-1,-2,-2,0,-1,0,-1,-1,0,0,0,0,-1,-1,-1
"FATHER1_EMG3L",10,-30,6,-3,-5,-4,3,1,-9,4,-6,0,-2,0,7,6,-1,0,-6,1,-2,0,-3,-2,-2,-5,0,-5,-1,-1,-1,0,-1,0,-2,1,-1,0,0,0,-1,-1,-3,-1,-1
"FATHER1_EMG4L",2,-7,0,-1,-1,3,-2,0,-4,0,-2,-1,0,-2,4,4,0,1,-4,1,-3,-1,-1,-2,-1,0,1,-4,0,0,0,2,0,-4,-1,-1,-2,-3,-4,-2,0,1,1,0,-2
"FATHER1_EMG5L",3,-3,-3,-1,1,-2,-4,-1,-1,0,0,0,2,-1,-3,2,1,-4,-3,-1,-1,0,0,0,-2,-1,1,-3,-2,0,0,3,1,0,6,-2,-3,-2,-1,0,0,0,-2,-1,0
"FATHER1_EMG6L",6,-3,-3,1,1,-6,-2,-3,-1,0,0,0,8,1,1,2,1,-11,-2,-1,-3,-3,0,2,-2,-1,0,0,-3,0,0,2,-2,-1,1,-2,-1,-1,0,-1,-3,-2,-1,-1,0
"FATHER1_EMG7L",9,-11,13,1,-2,-2,2,0,-9,-1,-3,28,-17,-2,-5,5,3,-11,5,0,-3,-5,0,5,0,-3,-1,0,0,-2,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-2,0,0,-1,-1
"FATHER1_EMG0R",1,-1,-1,0,-2,0,0,-1,-2,-1,-1,-1,-1,-1,-2,0,0,-1,0,0,0,0,-2,0,-1,-1,0,-2,-3,-2,-2,-1,-1,1,-1,-1,-3,-2,-2,-1,-1,0,-1,-2,-1
"FATHER1_EMG1R",-1,-3,-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-2,1,0,-1,-1,-1,-2,-2,-1,-1,-2,-2,0,-2,-1,-1,-3,-2,-1,-1,-1,-2,-1,-1,1,1,-2,-2,-1,-2,0,-1,-2
