dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"FIND1_ALX",0.1108398,-0.2231445,-0.2597656,-0.3994141,-0.2421875,0.6645508,0.6645508,0.7905273,-0.1040039,-0.402832,-0.128418,0.2231445,0.1108398,0.01611328,0.04443359,0.1015625,0.1103516,0.1142578,0.1152344,0.144043,0.140625,0.1098633,0.1694336,0.1640625,0.2001953,0.1542969,0.1738281,0.1606445,0.2119141,0.1943359,0.2094727,0.2539063,0.2109375,0.234375,0.309082,0.2006836,0.3808594,0.5981445,0.8867188,0.9003906,0.9931641,0.9946289,0.9541016,0.9067383,0.9179688
"FIND1_ALY",0.8999023,0.7041016,0.7387695,0.7470703,0.8847656,0.9887695,0.9887695,1.008789,1.020508,0.7485352,0.7539063,0.7978516,0.8925781,0.8569336,0.8730469,0.8681641,0.8208008,0.8115234,0.8144531,0.9018555,0.8735352,0.8769531,0.859375,0.8037109,0.840332,0.8388672,0.8261719,0.7983398,0.8120117,0.7719727,0.8237305,0.8076172,0.7324219,0.8422852,0.859375,0.7954102,0.5185547,0.4399414,0.4360352,0.6479492,0.6030273,0.4155273,0.4453125,0.3447266,0.3344727
"FIND1_ALZ",0.4824219,0.3999023,0.3120117,0.2021484,0.309082,0.7387695,0.7387695,0.9887695,0.5844727,0.2299805,0.2709961,0.5927734,0.5942383,0.4702148,0.4970703,0.5249023,0.5029297,0.5141602,0.5229492,0.5258789,0.5615234,0.5249023,0.5454102,0.5546875,0.543457,0.5454102,0.5444336,0.5273438,0.5175781,0.5332031,0.5307617,0.5292969,0.5288086,0.5219727,0.5141602,0.4750977,0.4555664,0.4589844,0.4091797,0.2011719,0.1079102,0.2373047,0.1772461,0.1469727,0.2075195
"FIND1_ARX",0.9306641,0.9243164,0.9404297,0.9589844,0.9404297,0.9794922,0.9794922,0.9799805,0.8603516,0.8476563,1.004883,1.057129,0.9331055,0.8681641,0.9179688,0.9799805,0.9541016,0.9228516,0.925293,0.9458008,0.934082,0.9345703,0.9379883,0.9360352,0.9418945,0.9316406,0.9301758,0.940918,0.9482422,0.9375,0.9335938,0.9389648,0.940918,0.9350586,0.9335938,0.9350586,0.949707,0.9526367,0.9550781,0.9433594,0.9262695,0.9296875,0.925293,0.9433594,0.9555664
"FIND1_ARY",-0.328125,-0.3085938,-0.3320313,-0.3398438,-0.3505859,-0.3657227,-0.3657227,-0.3115234,-0.3105469,-0.3242188,-0.3334961,-0.3198242,-0.2978516,-0.3208008,-0.3525391,-0.3037109,-0.3037109,-0.340332,-0.3344727,-0.3208008,-0.315918,-0.3408203,-0.3271484,-0.3251953,-0.3310547,-0.3193359,-0.3149414,-0.3286133,-0.3217773,-0.3173828,-0.3198242,-0.3276367,-0.3232422,-0.3271484,-0.3344727,-0.3320313,-0.331543,-0.3188477,-0.3037109,-0.3076172,-0.2954102,-0.3232422,-0.324707,-0.3310547,-0.3300781
"FIND1_ARZ",0.1118164,0.1044922,0.1181641,0.1235352,0.1235352,0.1201172,0.1201172,0.08496094,0.1015625,0.1455078,0.140625,0.09179688,0.09033203,0.1489258,0.1611328,0.08447266,0.09960938,0.1259766,0.1206055,0.1103516,0.09814453,0.1181641,0.1176758,0.1147461,0.1201172,0.105957,0.1123047,0.112793,0.1069336,0.1088867,0.1040039,0.1162109,0.1044922,0.1196289,0.1113281,0.1220703,0.1220703,0.112793,0.1020508,0.1005859,0.09619141,0.1132813,0.1171875,0.1152344,0.1196289
"FIND1_EMG0L",99,-106,-9,29,109,-47,-47,-49,64,-44,28,99,27,-26,13,27,89,81,60,-6,-1,15,2,-9,-5,-67,67,-6,-12,-32,12,117,-12,-14,2,2,-20,-2,-3,0,0,1,0,0,-1
"FIND1_EMG1L",7,-113,35,30,27,-2,-2,17,9,35,-50,3,-14,10,7,7,-12,16,1,16,8,-21,-12,5,6,-39,-5,7,0,-15,0,59,-15,-12,-4,0,-6,-3,0,0,-2,-1,-1,-1,-2
"FIND1_EMG2L",-38,3,-18,15,61,112,112,-22,-34,13,-56,12,-9,14,-2,-2,-18,-27,25,4,0,-5,-10,-23,-9,-10,7,2,-4,5,-1,23,6,-1,-3,1,-5,-4,0,-1,0,0,-2,-2,-1
"FIND1_EMG3L",-20,-15,-11,12,44,67,67,-2,-7,11,-7,1,0,-1,-1,-5,-8,4,10,-2,0,-1,-5,-16,-2,-4,3,0,5,-3,0,6,2,2,-1,5,3,0,6,4,-1,0,-1,-1,-1
