dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOLD1_ALX",-1.013672,-0.9145508,-0.9042969,-0.8974609,-0.890625,-0.9750977,-0.9804688,-0.9038086,-0.6918945,-0.6850586,-0.7895508,-1.112305,-0.7055664,-0.7944336,-0.7944336,-0.6240234,-0.8564453,-0.75,-0.6479492,-0.6210938,-0.8999023,-0.668457,-0.612793,-0.5942383,-0.6186523,-0.8227539,-0.8012695,-0.421875,-0.7451172,-0.5942383,-0.7016602,-0.6298828,-0.6020508,-0.6113281,-0.574707,-0.6176758,-0.7119141,-0.6743164,-0.6147461,-0.5966797,-0.597168,-0.6074219,-0.6074219,-0.6425781,-0.6064453
"GOLD1_ALY",0.1884766,0.2299805,0.2226563,0.2202148,0.3208008,0.3574219,0.3759766,0.3510742,0.3413086,0.2773438,0.2324219,0.2358398,0.1552734,0.2099609,0.2099609,1.644531,0.3491211,0.05859375,0.9824219,1.461426,0.5507813,0.2104492,0.690918,0.8857422,0.8828125,0.3359375,0.7993164,1.038086,0.3535156,0.722168,0.7089844,0.4545898,0.6870117,0.6113281,0.6923828,0.7197266,0.7363281,0.7270508,0.7192383,0.6796875,0.6762695,0.6811523,0.6860352,0.7148438,0.6679688
"GOLD1_ALZ",-0.2861328,-0.2949219,-0.3139648,-0.2597656,-0.2124023,-0.2353516,-0.3125,-0.2402344,-0.2768555,-0.296875,-0.1245117,-0.03662109,0.362793,0.1538086,0.1538086,0.1352539,0.527832,0.4057617,0.265625,0.1547852,0.1328125,0.5429688,0.2587891,0.3232422,0.4106445,0.4443359,0.2329102,0.4243164,0.4130859,0.4169922,0.3540039,0.4052734,0.3808594,0.4038086,0.3989258,0.4375,0.4458008,0.46875,0.4243164,0.4599609,0.4438477,0.4130859,0.4350586,0.4257813,0.4511719
"GOLD1_ARX",0.9165039,0.9243164,0.9384766,0.9360352,0.934082,0.9257813,0.9223633,0.9326172,0.9057617,0.9306641,0.9418945,0.9145508,0.9448242,0.9492188,0.9575195,0.9360352,0.934082,0.9384766,0.9291992,0.9414063,0.9311523,0.921875,0.9121094,0.9370117,0.9526367,0.9277344,0.9140625,0.9311523,0.9418945,0.9360352,0.9301758,0.9326172,0.9384766,0.9350586,0.9262695,0.9360352,0.9331055,0.9331055,0.9204102,0.9248047,0.9355469,0.9365234,0.9257813,0.9248047,0.9360352
"GOLD1_ARY",-0.3637695,-0.3540039,-0.3632813,-0.3613281,-0.3491211,-0.3520508,-0.3618164,-0.3696289,-0.3544922,-0.3466797,-0.3466797,-0.3916016,-0.3959961,-0.3769531,-0.3657227,-0.3696289,-0.3540039,-0.3569336,-0.3212891,-0.3339844,-0.3422852,-0.3417969,-0.3564453,-0.3491211,-0.3754883,-0.3647461,-0.3706055,-0.3823242,-0.3496094,-0.3686523,-0.3427734,-0.3657227,-0.3300781,-0.3657227,-0.3535156,-0.3549805,-0.3647461,-0.3681641,-0.3613281,-0.3359375,-0.3554688,-0.3544922,-0.347168,-0.3486328,-0.3623047
"GOLD1_ARZ",0.06542969,0.06640625,0.08105469,0.06347656,0.05078125,0.06152344,0.06591797,0.07324219,0.06933594,0.07470703,0.06884766,0.08300781,0.09472656,0.06787109,0.06787109,0.07421875,0.08740234,0.07763672,0.06933594,0.07519531,0.07714844,0.08007813,0.09033203,0.07177734,0.078125,0.06445313,0.07617188,0.08496094,0.08935547,0.08642578,0.07958984,0.09228516,0.08007813,0.07373047,0.06982422,0.06835938,0.04296875,0.07470703,0.09472656,0.08789063,0.07519531,0.0625,0.07910156,0.06933594,0.07128906
"GOLD1_EMG0L",-8,23,-47,1,5,53,19,2,2,26,36,-27,-3,-7,-7,10,-37,-47,47,34,-41,0,21,23,-18,5,2,40,-1,1,0,-1,11,-10,9,12,1,-11,2,5,-17,-5,-2,2,-3
"GOLD1_EMG1L",16,15,-9,10,-5,21,-2,-2,-1,-29,22,-23,3,-14,-14,-35,-44,-15,33,0,0,9,5,10,13,-16,2,39,-3,10,-7,1,-1,-14,7,4,-4,-3,-2,4,-1,-6,2,-1,-4
"GOLD1_EMG2L",4,10,-1,3,6,0,0,-8,-2,-1,12,-13,8,-9,-9,-15,-10,-16,5,6,3,20,-8,-2,8,-8,2,12,-2,-5,-3,2,2,-4,3,-1,-4,-1,0,-1,-1,-3,1,1,0
"GOLD1_EMG3L",5,12,27,-20,16,-1,15,-9,-5,27,-10,-6,2,-6,-6,2,-5,-4,31,-30,-47,7,17,-2,25,-9,-7,4,-1,-7,-7,5,5,-9,-2,-4,-3,1,10,0,-4,4,0,1,2
