dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"GOODNIGHT1_ALX",0.01904297,-0.3769531,-0.3051758,-0.3051758,-0.3051758,-0.3125,-0.4599609,-0.5712891,-0.5991211,-0.5991211,-0.4819336,-0.5024414,0.1289063,-0.06591797,-0.4863281,-0.5834961,-0.6982422,-0.6982422,-0.5869141,-0.5,-0.3759766,-0.1958008,-0.1660156,0.2231445,0.2753906,0.1342773,0.1699219,0.03662109,0.07128906,0.1152344,-0.1425781,-0.3974609,-0.3535156,-0.4262695,-0.2119141,-0.2119141,-0.1196289,-0.1503906,-0.05761719,-0.1557617,-0.1098633,0.01367188,0.1152344,0.421875,0.6948242
"GOODNIGHT1_ALY",0.8759766,0.6489258,0.5776367,0.5776367,0.5776367,0.5561523,0.5527344,0.5698242,0.5996094,0.5996094,0.5834961,0.9711914,1.35791,1.421387,1.258789,0.925293,0.8457031,0.8457031,0.3745117,0.3500977,0.3100586,0.7646484,0.8535156,1.131348,1.080566,1.348633,1.153809,1.147949,1.072754,0.9804688,1.03125,0.7143555,0.7426758,0.7856445,0.7836914,0.7836914,0.7929688,0.734375,0.828125,1.065918,1.046875,1.022461,0.7802734,0.6088867,0.8457031
"GOODNIGHT1_ALZ",0.6035156,0.5219727,0.4511719,0.4511719,0.4511719,0.3481445,0.1777344,0.1044922,0.05371094,0.05371094,0.1704102,0.5888672,0.6303711,0.6474609,0.4985352,0.3554688,0.2973633,0.2973633,0.0859375,0.1132813,0.09228516,-0.0625,-0.0703125,-0.2119141,-0.1816406,-0.3554688,-0.2797852,-0.1601563,-0.1181641,-0.07861328,-0.08398438,0.01464844,0.08056641,0.06054688,0.09179688,0.09179688,0.2329102,0.2749023,0.3276367,0.6640625,0.340332,0.3569336,0.3066406,0.390625,0.2978516
"GOODNIGHT1_ARX",0.3920898,0.2373047,0.09277344,-0.001953125,0.05273438,-0.2958984,-0.4267578,-0.4272461,-0.503418,-0.503418,-0.1352539,0.046875,0.203125,0.09960938,0.2817383,0.2197266,0.09423828,0.005859375,-0.05322266,0.015625,0.07910156,0.1567383,0.1230469,0.01953125,0.07373047,0.06884766,0.09130859,0.05029297,0.03222656,0.06982422,0.05761719,0.0703125,0.1362305,0.1464844,0.2280273,0.2280273,0.2661133,0.2119141,0.2041016,0.2119141,0.2880859,0.2646484,0.3325195,0.3388672,0.3662109
"GOODNIGHT1_ARY",-0.8061523,-0.7915039,-0.8085938,-0.7670898,-0.8041992,-0.7924805,-0.7094727,-0.7583008,-0.6948242,-0.6948242,-0.8481445,-1.053223,-1.044434,-1.09375,-1.046387,-1.103516,-1.047363,-1.053711,-0.9306641,-0.9970703,-0.9711914,-1.02002,-0.9506836,-0.9790039,-0.84375,-0.925293,-1.146973,-1.008789,-1.01123,-1.03125,-1.001953,-1.003906,-0.9916992,-0.9506836,-0.8964844,-0.8964844,-0.8740234,-0.9135742,-0.9360352,-0.9770508,-0.940918,-0.8735352,-0.871582,-0.8413086,-0.7709961
"GOODNIGHT1_ARZ",0.4418945,0.3896484,0.2714844,0.3203125,0.4926758,0.3173828,0.2578125,0.1352539,0.1289063,0.1289063,0.2841797,0.5146484,0.6586914,0.3696289,0.3881836,0.4111328,0.3105469,0.3037109,0.1918945,0.1855469,0.1342773,0.2216797,0.1230469,0.1333008,-0.003417969,0.2211914,0.2060547,0.1542969,0.128418,0.1459961,0.1386719,0.1547852,0.1767578,0.1914063,0.2197266,0.2197266,0.2636719,0.2641602,0.2841797,0.3100586,0.3051758,0.2265625,0.2729492,0.2861328,0.2836914
"GOODNIGHT1_EMG0L",-17,57,-54,-54,-11,34,24,23,12,12,-4,-7,20,9,-6,11,-3,-14,-2,-1,-44,11,3,0,39,-8,0,-3,3,-2,-29,0,-2,-15,8,8,-27,11,5,-6,3,0,1,1,-2
"GOODNIGHT1_EMG1L",24,25,-9,-9,17,-2,11,6,-5,-5,-11,14,-15,5,-12,11,-9,-8,-3,2,-24,5,1,-1,3,-1,-2,12,1,-1,1,2,-2,2,23,23,1,-47,-65,4,-2,1,0,3,-2
"GOODNIGHT1_EMG2L",54,15,-7,-7,3,-3,32,-8,-6,-6,-7,2,-27,17,-22,5,-12,-2,-9,-3,-13,6,-5,-1,2,-2,1,28,-1,-2,0,2,-1,2,-4,-4,21,-41,11,2,-3,-1,2,4,-2
"GOODNIGHT1_EMG3L",19,2,-1,-1,0,-5,50,-13,-3,-3,-9,-2,-46,23,-6,-1,-24,3,-27,-7,-19,3,-2,-4,0,-2,0,5,-1,-3,5,0,-1,5,3,3,5,-13,6,3,-2,-2,0,1,-3
"GOODNIGHT1_EMG4L",4,-2,-2,-2,1,0,16,-7,0,0,-5,-2,-11,0,-4,-2,-22,6,-27,-15,22,9,9,3,-7,3,0,-1,6,-11,-10,1,2,1,3,3,0,-3,3,1,-2,-2,0,-2,-6
"GOODNIGHT1_EMG5L",6,-9,1,1,-2,2,6,0,2,2,0,3,-7,-7,-4,7,-14,-80,-3,34,48,28,36,0,4,3,23,-9,3,5,-9,9,-6,3,0,0,-1,-4,0,2,-1,1,0,-4,-13
"GOODNIGHT1_EMG6L",12,-10,1,1,-2,-3,7,18,7,7,3,3,-2,-1,-7,-2,25,-32,26,-16,-16,7,10,-10,-1,-7,-4,13,14,5,10,1,-2,3,1,1,-4,-1,-1,-1,0,-1,-2,-3,-2
"GOODNIGHT1_EMG7L",8,17,-12,-12,-6,-12,14,8,6,6,3,-3,3,-5,49,-26,78,-59,17,-21,-61,19,-31,-33,16,-4,-16,4,-1,2,30,3,-9,-9,3,3,-8,-1,1,-4,-1,0,-1,-2,-3
"GOODNIGHT1_EMG0R",-2,-4,10,-6,3,9,3,-6,-10,-10,1,15,-25,-8,-3,-1,14,-5,-4,4,-4,-9,4,2,-4,-5,-8,-2,6,-4,-4,-7,3,-5,-3,-3,-2,1,-2,1,-1,0,-2,1,1
"GOODNIGHT1_EMG1R",-7,-4,6,-16,7,-3,3,0,20,20,25,-13,-11,-8,3,13,0,-8,-1,18,-10,-3,-2,0,-5,1,0,-1,2,-2,-2,-3,-3,0,0,0,1,0,0,-2,0,3,-18,10,-8
