dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"HOSPITAL1_ALX",0.8779297,0.9018555,0.8183594,0.9238281,1.146484,1.201172,1.130371,0.7241211,0.3564453,0.2773438,0.3803711,0.4990234,0.6274414,0.5913086,0.4897461,0.4267578,0.1928711,0.02978516,-0.2060547,-0.3227539,-0.8588867,-0.4414063,-0.5419922,-0.2114258,-0.2827148,-0.3823242,-0.2495117,-0.340332,-0.1323242,-0.1508789,-0.1298828,-0.125,-0.1455078,-0.2412109,-0.2128906,-0.3686523,-0.2133789,-0.04052734,-0.08203125,-0.1381836,0.3374023,0.2099609,-0.06884766,0.07958984,0.1230469
"HOSPITAL1_ALY",0.3325195,0.3950195,0.7612305,0.7890625,0.8603516,1.05957,0.793457,0.9711914,0.8769531,0.4384766,0.5703125,0.4970703,0.4423828,0.6796875,0.7890625,0.7172852,0.9355469,1.035645,1.037598,1.042969,1.052246,0.9614258,1.077148,0.902832,1.019043,1.074707,1.083496,1.058105,1.040527,0.8378906,0.7241211,0.6889648,0.6035156,0.625,0.7587891,1.249023,0.8242188,0.7255859,0.9453125,0.9013672,1.472168,1.372559,1.094238,0.8916016,0.909668
"HOSPITAL1_ALZ",0.1230469,0.1220703,0.1352539,0.2485352,0.3071289,0.4609375,0.8696289,0.8608398,0.8833008,0.6738281,0.4873047,0.3613281,0.1235352,0.09765625,-0.03417969,0.03808594,0.1875,0.03173828,0.4326172,0.3110352,0.3930664,0.1181641,0.2685547,0.3691406,0.402832,0.3222656,0.2773438,0.3110352,0.1396484,0.144043,0.1572266,0.1098633,0.1342773,0.2006836,0.168457,0.08642578,0.04199219,0.2495117,0.2890625,0.265625,0.4643555,0.5048828,0.3081055,0.2280273,0.2231445
"HOSPITAL1_ARX",0.6923828,0.6269531,0.6352539,0.5883789,0.597168,0.5996094,0.6088867,0.6347656,0.6508789,0.6875,0.6928711,0.7026367,0.690918,0.6582031,0.6083984,0.5966797,0.5883789,0.6293945,0.6083984,0.5493164,0.5498047,0.5869141,0.6118164,0.6328125,0.6166992,0.5986328,0.637207,0.6513672,0.6645508,0.6552734,0.6665039,0.6132813,0.7080078,0.6826172,0.6542969,0.6542969,0.6879883,0.6450195,0.6367188,0.6240234,0.6240234,0.6240234,0.6396484,0.6279297,0.6464844
"HOSPITAL1_ARY",-0.7744141,-0.7675781,-0.7353516,-0.7260742,-0.7402344,-0.7558594,-0.7573242,-0.7314453,-0.7236328,-0.6816406,-0.6577148,-0.7148438,-0.7041016,-0.7036133,-0.7246094,-0.7509766,-0.7666016,-0.7568359,-0.7504883,-0.7871094,-0.8173828,-0.7861328,-0.7094727,-0.6708984,-0.7626953,-0.7666016,-0.7470703,-0.7070313,-0.6958008,-0.6928711,-0.7446289,-0.7597656,-0.6713867,-0.6655273,-0.6464844,-0.6464844,-0.7099609,-0.7402344,-0.7402344,-0.7485352,-0.7485352,-0.7485352,-0.734375,-0.7426758,-0.7182617
"HOSPITAL1_ARZ",0.2788086,0.315918,0.3183594,0.2978516,0.3076172,0.3354492,0.3134766,0.3041992,0.2919922,0.2695313,0.2519531,0.2431641,0.2167969,0.2373047,0.2749023,0.3173828,0.3164063,0.2490234,0.2524414,0.2949219,0.3388672,0.3344727,0.3217773,0.284668,0.2895508,0.3046875,0.3261719,0.3276367,0.2851563,0.2993164,0.3056641,0.2470703,0.2441406,0.2089844,0.2363281,0.2363281,0.2856445,0.1420898,0.1679688,0.2202148,0.2202148,0.2202148,0.234375,0.2211914,0.2202148
"HOSPITAL1_EMG0L",-1,11,-11,-6,2,-14,-2,-8,1,9,18,-2,7,-3,0,5,4,0,-9,2,1,0,1,0,4,13,14,2,-3,1,3,-2,4,0,0,-1,7,-5,3,0,-1,-1,-4,-1,4
"HOSPITAL1_EMG1L",-3,-1,-2,20,5,0,-1,8,-4,1,4,1,-7,-3,0,-2,8,-3,-38,4,-30,9,-6,1,-2,-36,-5,1,-7,-9,-5,-2,-7,3,-4,5,5,-3,6,-4,-12,-6,-11,13,5
"HOSPITAL1_EMG2L",-1,1,-2,25,-29,-30,-1,22,-14,3,-3,-1,-8,-6,0,-4,12,20,-15,5,-5,6,-3,-15,26,3,-11,-3,0,-1,-5,-7,-4,1,-3,7,6,-1,9,-5,-7,-2,-9,-3,4
"HOSPITAL1_EMG3L",-1,1,1,3,-5,-5,26,11,-17,-2,2,-2,-2,2,-6,-6,-7,-4,2,6,1,-1,0,-1,9,0,-7,3,-4,-3,-3,-3,-3,4,-10,-5,18,16,24,-3,-16,5,-11,-1,0
