dataMat1,dataMat2,dataMat3,dataMat4,dataMat5,dataMat6,dataMat7,dataMat8,dataMat9,dataMat10,dataMat11,dataMat12,dataMat13,dataMat14,dataMat15,dataMat16,dataMat17,dataMat18,dataMat19,dataMat20,dataMat21,dataMat22,dataMat23,dataMat24,dataMat25,dataMat26,dataMat27,dataMat28,dataMat29,dataMat30,dataMat31,dataMat32,dataMat33,dataMat34,dataMat35,dataMat36,dataMat37,dataMat38,dataMat39,dataMat40,dataMat41,dataMat42,dataMat43,dataMat44,dataMat45,dataMat46
"LARGE1_ALX",-0.157227,-0.288574,-0.246094,-0.124023,-0.00292969,0.078125,0.0986328,0.0986328,0.111328,0.0327148,-0.00732422,-0.211426,-0.299805,-0.299805,-0.329102,-0.248535,-0.197266,-0.167481,-0.136231,-0.125488,-0.0893555,-0.135742,-0.151367,-0.15918,-0.167969,-0.160156,-0.151856,-0.151856,-0.162598,-0.141602,-0.166992,-0.157227,-0.166992,-0.180664,-0.15918,-0.163086,-0.138672,-0.148926,-0.15332,-0.165527,-0.186035,-0.15332,-0.158203,-0.177734,-0.157715
"LARGE1_ALY",0.977051,1.0459,1.08203,1.10059,1.03564,0.852539,0.791504,0.791504,0.751465,0.665039,0.707519,0.734375,0.775879,0.775879,0.916992,0.949219,0.949219,0.902832,0.831543,0.854981,0.817871,0.823731,0.848144,0.842285,0.84668,0.833984,0.842773,0.842773,0.825684,0.845703,0.845703,0.869141,0.84668,0.861816,0.857422,0.848144,0.849609,0.840332,0.834473,0.846191,0.858398,0.827148,0.842285,0.845703,0.858887
"LARGE1_ALZ",0.469727,0.445801,0.416016,0.410156,0.385742,0.355469,0.367188,0.367188,0.375977,0.466309,0.581055,0.729492,0.753418,0.753418,0.730469,0.665039,0.577148,0.563477,0.516113,0.478027,0.49707,0.50293,0.529785,0.540527,0.561035,0.538086,0.544434,0.544434,0.527344,0.530762,0.525879,0.520019,0.525391,0.520996,0.537109,0.537109,0.54834,0.537109,0.546875,0.536133,0.536621,0.536133,0.54834,0.541016,0.547852
"LARGE1_ARX",-0.174316,-0.216309,-0.165527,0.043457,0.15918,0.179199,0.124512,0.124512,0.27002,0.0986328,0.0200195,-0.105957,-0.277832,-0.277832,-0.189453,-0.109863,-0.0302734,0.0131836,0.0263672,0.0791016,0.0258789,-0.0161133,-0.0317383,-0.0170898,-0.0361328,-0.0463867,-0.043457,-0.043457,-0.0185547,-0.0170898,-0.0112305,-0.0263672,-0.0253906,-0.0410156,-0.0229492,-0.0244141,-0.0219727,-0.0224609,-0.0214844,-0.0185547,-0.0151367,-0.00683594,-0.0117188,-0.0146484,-0.0200195
"LARGE1_ARY",-1.07617,-1.20996,-1.20508,-1.04688,-0.96875,-0.8125,-0.636719,-0.636719,-0.837891,-0.597168,-0.810059,-0.912598,-1.00781,-1.00781,-1.12451,-1.09522,-0.987305,-0.989258,-0.915527,-0.884766,-0.930176,-0.885742,-0.921387,-0.927246,-0.945801,-0.915527,-0.925293,-0.925293,-0.906738,-0.928223,-0.915039,-0.938965,-0.924805,-0.917481,-0.935059,-0.924316,-0.932129,-0.913086,-0.92334,-0.922852,-0.928711,-0.925293,-0.929688,-0.922852,-0.924316
"LARGE1_ARZ",0.342285,0.333008,0.356934,0.319824,0.287598,0.319336,0.251465,0.251465,0.395508,0.450195,0.623535,0.614746,0.625977,0.625977,0.487793,0.490723,0.378906,0.350586,0.40918,0.394531,0.441406,0.428711,0.430664,0.437012,0.441895,0.462402,0.447754,0.447754,0.444824,0.44873,0.426758,0.412598,0.425293,0.428711,0.434082,0.432129,0.440918,0.441406,0.446289,0.446289,0.433594,0.436035,0.44043,0.429688,0.428711
"LARGE1_EMG0L",-8,-4,16,-4,-4,-2,-6,-6,-15,0,5,-1,3,3,-13,12,6,6,12,-5,-6,-17,10,-4,-2,-3,6,6,3,1,-1,-2,5,3,-1,-2,-5,1,5,2,-2,11,-5,-4,1
"LARGE1_EMG1L",-2,-1,8,8,0,-8,-1,-1,0,6,1,7,1,1,-10,4,-3,-3,12,-12,-6,-5,0,2,3,-3,0,0,3,0,-6,1,2,-1,-1,-1,-8,0,5,0,-6,3,-7,-7,1
"LARGE1_EMG2L",-4,-4,7,5,0,-2,8,8,1,4,5,8,-2,-2,-7,-3,0,-1,3,-6,-2,-4,-3,4,6,-5,2,2,8,2,-4,0,1,-4,-2,-2,2,-3,-4,-1,0,1,-6,-5,2
"LARGE1_EMG3L",-5,4,-1,3,-2,-4,3,3,-16,2,-12,13,1,1,-6,4,4,-8,-1,1,-10,-1,13,-1,-1,-7,2,2,-3,1,0,-1,1,-3,-3,-1,6,-2,-8,0,-1,1,-2,-1,7
