ALX	ALY	ALZ	ARX	ARY	ARZ	EMG0L	EMG1L	EMG2L	EMG3L	EMG4L	EMG5L	EMG6L	EMG7L	EMG0R	EMG1R	EMG2R	EMG3R	EMG4R	EMG5R	EMG6R	EMG7R	GLX	GLY	GLZ	GRX	GRY	GRZ	ORL	OPL	OYL	ORR	OPR	OYR	LHNX	LHNY	LHNZ	RHNX	RHNY	RHNZ	HX	HY	HZ	LTX	LTY	LTZ	RTX	RTY	RTZ	SpineMidX	SpineMidY	SpineMidZ	SpineBaseX	SpineBaseY	SpineBaseZ	ShoulderLeftX	ShoulderLeftY	ShoulderLeftZ	ShoulderRightX	ShoulderRightY	ShoulderRightZ	ElbowLeftX	ElbowLeftY	ElbowLeftZ	ElbowRightX	ElbowRightY	ElbowRightZ	Myo_Pose_left	Myo_Pose_Right	Kinect_pose_left	Kinect_pose_right
0.8867188	-0.4399414	-0.1782227	-0.6118164	0.3598633	-0.05322266	-2	1	0	-2	-1	-2	-2	0	-6	0	4	-19	-4	-3	-2	-3	-2.6875	-2.6875	-2.6875	-57.5625	-57.5625	-57.5625	1.692324	3.208255	0.8278443	8.20886	6.589581	1.69718	-0.1977372	-0.5317475	1.145687	0.3363039	0.2692983	1.098394	0.1406342	0.2441501	1.277511	-0.1535691	-0.5225124	1.141692	0.3001828	0.24389	1.125318	0.101362	-0.1958254	1.296243	0.08076032	-0.4982428	1.27912	-0.08501433	0.01019011	1.274842	-0.00337865	-0.4791674	1.245806	-0.1810554	-0.2464342	1.267818	0.4723649	0.04580525	1.122228	NA	NA	Unknown	Unknown
0.8789063	-0.4433594	-0.1933594	-0.8261719	0.4599609	0.1928711	0	-2	-2	-1	-2	-1	0	-2	3	-1	2	5	-2	-2	0	4	14.8125	14.8125	14.8125	-149.625	-149.625	-149.625	1.731973	3.205745	0.8030491	7.943069	6.362731	1.59654	-0.1949954	-0.5322257	1.147727	0.3348871	0.2111459	1.079189	0.1358098	0.2433351	1.27769	-0.1530461	-0.5196791	1.139491	0.2944326	0.1976439	1.097286	0.1010123	-0.1965812	1.296233	0.08244599	-0.5008361	1.277531	-0.08581102	0.009123842	1.274395	-0.001253466	-0.482208	1.242855	-0.1803112	-0.2480123	1.268264	0.4812102	-0.007098075	1.135283	NA	NA	Unknown	Closed
0.8852539	-0.4228516	-0.2138672	-1.064453	0.8295898	0.3916016	0	-1	-1	-1	-2	2	-1	1	-15	1	1	-2	0	0	-6	-17	5.9375	5.9375	5.9375	-233.375	-233.375	-233.375	1.759916	3.209947	0.7923114	7.520716	5.895205	1.664808	-0.1929996	-0.5323337	1.146492	0.3037398	0.1249602	1.044989	0.1338347	0.2432582	1.277805	-0.1494127	-0.5228818	1.13854	0.2849309	0.1134311	1.0825	0.1004851	-0.1980404	1.296651	0.08301871	-0.5030345	1.277739	-0.08664431	0.007616896	1.27365	-0.000500032	-0.484003	1.242319	-0.179466	-0.2500817	1.268082	0.4942443	-0.09927925	1.149565	NA	NA	Unknown	Closed
0.9233398	-0.4570313	-0.2041016	-0.8076172	1.446289	0.4125977	-1	0	-1	-1	-1	0	-2	-2	20	7	13	13	9	2	1	2	-17	-17	-17	-183.5625	-183.5625	-183.5625	1.748425	3.215423	0.7898759	7.316218	5.601193	1.988399	-0.1919692	-0.5329257	1.14273	0.2195008	0.03219557	1.024107	0.1334857	0.2430743	1.277691	-0.148889	-0.5230218	1.139006	0.1864358	0.06243791	1.027143	0.09881378	-0.2024476	1.296506	0.08240163	-0.5150265	1.276746	-0.08698316	0.006115908	1.272806	-0.000755473	-0.4936948	1.241613	-0.1779778	-0.2523375	1.265099	0.4750521	-0.1145384	1.136523	NA	NA	Unknown	Unknown
0.9350586	-0.4262695	-0.2514648	-0.40625	1.374512	0.2109375	-1	-1	-1	-1	-1	-2	-2	-1	24	6	1	3	1	1	3	-4	-34.3125	-34.3125	-34.3125	-85.6875	-85.6875	-85.6875	1.696743	3.218851	0.773037	7.220191	5.532347	2.415614	-0.1891535	-0.5304909	1.136358	0.1452557	-0.02348865	1.068198	0.1345817	0.2427154	1.277854	-0.1456089	-0.5218895	1.136289	0.1470141	0.02577573	1.1145	0.09826465	-0.204792	1.297209	0.08154424	-0.5198509	1.277664	-0.08689635	0.005410636	1.271952	-0.001876385	-0.4981472	1.242688	-0.1773937	-0.2533466	1.261193	0.4076215	-0.1361097	1.118682	NA	NA	Unknown	Unknown
0.8974609	-0.4384766	-0.2158203	0.1010742	1.564941	0.04394531	0	-2	0	-1	-2	1	-1	-1	24	1	0	1	-2	5	4	13	-55.75	-55.75	-55.75	-26.1875	-26.1875	-26.1875	1.656757	3.228218	0.7235259	7.30832	5.619351	2.785164	-0.1864279	-0.5256893	1.126949	0.07780467	-0.02542926	1.114788	0.142571	0.2410304	1.278846	-0.1413893	-0.5197837	1.1247	0.09069945	0.03561158	1.1509	0.1003745	-0.2059141	1.298011	0.08538744	-0.5206692	1.278584	-0.08473003	0.005074537	1.268421	0.00099076	-0.5002157	1.24249	-0.1762141	-0.2534364	1.25524	0.3679775	-0.1411869	1.106777	NA	NA	Unknown	Unknown
0.8549805	-0.4116211	-0.1904297	0.9165039	0.9150391	-0.1772461	-1	-2	-1	-3	0	-3	0	0	5	-3	-14	-27	-23	-14	-6	0	-27.625	-27.625	-27.625	20.375	20.375	20.375	1.660192	3.254981	0.6490905	7.341489	5.613307	3.055229	-0.1806442	-0.5206211	1.112302	0.07707809	-0.02057203	1.135677	0.1494757	0.2401364	1.279016	-0.1361486	-0.5128397	1.112516	0.08669385	0.03534418	1.148289	0.1031779	-0.2067136	1.298525	0.08666352	-0.5211687	1.279225	-0.08017388	0.005690452	1.262601	0.001961938	-0.5011925	1.242917	-0.1759701	-0.2513379	1.248025	0.3252465	-0.1391269	1.094167	NA	NA	Unknown	Unknown
0.8613281	-0.3598633	-0.1972656	0.5371094	1.336426	-0.03857422	-4	-1	-2	-1	-1	0	0	-2	-12	-10	-11	-37	-1	9	12	0	20.5	20.5	20.5	38.8125	38.8125	38.8125	1.733498	3.296615	0.5749847	7.427147	5.521852	2.983848	-0.1742594	-0.5121737	1.093077	0.08380056	-0.01702524	1.141233	0.1524322	0.2397905	1.279115	-0.1287786	-0.5043296	1.098733	0.09006082	0.04700522	1.156	0.1045046	-0.2070259	1.29862	0.08707397	-0.5215508	1.279903	-0.07864311	0.006023467	1.260933	0.002112283	-0.5019273	1.243636	-0.1759749	-0.2504956	1.243029	0.3232268	-0.1394128	1.091599	NA	NA	Unknown	Unknown
0.9179688	-0.2895508	-0.2172852	-0.002929688	1.055176	0.347168	-1	-1	-1	-4	0	-3	-1	0	-7	-6	-14	-5	25	3	7	-4	66.75	66.75	66.75	64.4375	64.4375	64.4375	1.952611	3.366006	0.4515313	7.403227	5.525609	2.683995	-0.1659499	-0.5047794	1.076751	0.108836	-0.01739027	1.141111	0.1521823	0.2399492	1.279027	-0.1239956	-0.4914686	1.073823	0.1134911	0.04793269	1.1562	0.1044363	-0.2068556	1.298691	0.087325	-0.52132	1.280216	-0.07910158	0.006133737	1.261539	0.002285985	-0.5019615	1.244271	-0.1755908	-0.2493592	1.241335	0.3678694	-0.1365188	1.104635	NA	NA	Unknown	Unknown
0.9301758	-0.3569336	-0.1708984	-0.4365234	1.044434	0.7724609	-2	-1	-2	-1	-2	-1	0	-3	5	-4	3	-20	-23	-13	-3	-4	40.5625	40.5625	40.5625	134.375	134.375	134.375	2.154558	3.41161	0.3509341	7.402496	5.561805	1.958673	-0.1610986	-0.4977343	1.069543	0.2290676	-0.01308165	1.113971	0.1452713	0.2406125	1.277655	-0.1187934	-0.485524	1.074148	0.2469174	0.01397901	1.079094	0.1037182	-0.2067952	1.298597	0.08692899	-0.5207399	1.280101	-0.08158945	0.00533531	1.263411	0.001857814	-0.5016547	1.244578	-0.1762482	-0.2491882	1.241797	0.424429	-0.1374802	1.15931	NA	NA	Unknown	Unknown
