ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8745117,-0.4584961,-0.1665039,-0.7260742,0.2788086,-0.01318359,-1,0,-2,-1,-1,0,-2,0,-3,-4,-5,-2,0,9,-1,0,-12.8125,-12.8125,-12.8125,-97.4375,-97.4375,-97.4375,1.81803,3.299727,0.4862815,8.300544,6.81772,0.5042243,-0.1816293,-0.5288024,1.128655,0.3219242,0.2679158,1.145919,0.1539997,0.243946,1.294559,-0.1370252,-0.5190603,1.120264,0.2944504,0.242742,1.206,0.1019993,-0.1990202,1.303026,0.07839713,-0.5029954,1.284386,-0.08010731,0.008616906,1.278375,-0.006312562,-0.4810562,1.24995,-0.1731848,-0.2489098,1.27222,0.455547,0.04216189,1.130941,NA,NA,Unknown,Closed
0.8857422,-0.4345703,-0.1796875,-0.7880859,0.4150391,0.1787109,0,-1,-2,0,-2,-1,-1,-1,-2,5,12,0,-2,-3,-5,-3,6.125,6.125,6.125,-151.25,-151.25,-151.25,1.781199,3.284726,0.5332755,7.824269,6.551691,0.2814232,-0.1859935,-0.5328637,1.134657,0.3115533,0.2272307,1.115711,0.1509221,0.242642,1.29615,-0.1445139,-0.519478,1.129812,0.2810697,0.2180205,1.155778,0.1015894,-0.1995492,1.303612,0.07842411,-0.5041755,1.284986,-0.08030662,0.008345722,1.278501,-0.006297624,-0.4820457,1.250003,-0.1731699,-0.249265,1.272133,0.4599401,0.002543212,1.129021,NA,NA,Unknown,Closed
0.9072266,-0.4443359,-0.2001953,-0.8681641,0.6123047,0.2744141,-1,-3,-1,-1,-2,-1,2,-2,13,2,-7,-5,5,15,-1,-1,-2.875,-2.875,-2.875,-197.5,-197.5,-197.5,1.742841,3.267262,0.5807341,7.553849,6.23384,0.3232763,-0.189325,-0.5358902,1.138395,0.2719554,0.1585867,1.071461,0.1477657,0.2417922,1.297446,-0.1454694,-0.5263873,1.131621,0.2680577,0.1392788,1.108474,0.1006778,-0.2006284,1.304685,0.07791677,-0.5062065,1.285776,-0.08028117,0.007152348,1.278087,-0.007182324,-0.4841909,1.249716,-0.1737557,-0.2501962,1.272097,0.4680294,-0.07799204,1.1245,NA,NA,Unknown,Unknown
0.9125977,-0.4633789,-0.2021484,-0.8081055,1.043945,0.4604492,-1,-1,-1,-2,-2,-2,-1,-1,23,3,-10,-6,0,2,1,-12,-0.5625,-0.5625,-0.5625,-199.875,-199.875,-199.875,1.734846,3.263627,0.5887321,7.345452,5.892993,0.5786536,-0.1894377,-0.536379,1.140547,0.1963968,0.07992604,1.055864,0.1448597,0.2441966,1.298451,-0.1452138,-0.5233968,1.131613,0.2028103,0.1115258,1.076867,0.1000293,-0.2035536,1.305176,0.07963492,-0.5161693,1.287327,-0.07989838,0.001610493,1.27977,-0.00578909,-0.4941776,1.251089,-0.1752825,-0.2550031,1.272441,0.4582852,-0.08625237,1.123811,NA,NA,Unknown,Unknown
0.8984375,-0.4418945,-0.2089844,-0.6362305,1.428223,0.2490234,-2,-1,-1,0,0,-1,-1,0,2,18,-1,-6,-2,-32,8,6,-7.5,-7.5,-7.5,-115.5625,-115.5625,-115.5625,1.734037,3.259947,0.5850718,7.272369,5.702632,0.9609366,-0.1890563,-0.5348747,1.140736,0.1271939,0.01020221,1.091361,0.1448632,0.2451975,1.298861,-0.1458331,-0.5209724,1.137635,0.1235469,0.01944809,1.057639,0.09932896,-0.2054225,1.304767,0.08054766,-0.5240657,1.288908,-0.0806436,0.001755205,1.279045,-0.004444128,-0.5026367,1.254425,-0.1739888,-0.2556904,1.270241,0.4339323,-0.1076795,1.121872,NA,NA,Unknown,Unknown
0.8881836,-0.4418945,-0.2011719,-0.1499023,1.250977,-0.01025391,-3,-1,-3,0,-2,-2,-1,-1,-11,6,-5,-2,-4,-11,-4,-7,-27.3125,-27.3125,-27.3125,-65.5625,-65.5625,-65.5625,1.69999,3.258609,0.5693871,7.289101,5.653355,1.403614,-0.1877012,-0.5339798,1.139382,0.1364739,-0.01661837,1.115608,0.1483894,0.2434735,1.299356,-0.1429536,-0.5244583,1.133025,0.1332284,-0.000565857,1.081857,0.1005998,-0.2068871,1.306475,0.08278942,-0.5255398,1.290723,-0.07902607,0.002448824,1.275435,-0.002179748,-0.5043726,1.255301,-0.173325,-0.2545235,1.269757,0.3678147,-0.1262691,1.111175,NA,NA,Unknown,Unknown
0.8759766,-0.4248047,-0.1987305,0.5141602,1.09668,0.01171875,0,-2,-1,-1,-1,0,-1,0,-5,-2,-2,-6,0,13,9,-1,-11.1875,-11.1875,-11.1875,-11.75,-11.75,-11.75,1.689051,3.264317,0.551239,7.334629,5.647797,1.598676,-0.1857996,-0.5320957,1.135641,0.09525861,-0.01618245,1.142673,0.152853,0.2414425,1.299412,-0.1400034,-0.5324614,1.12725,0.1193452,0.004777966,1.101677,0.1032887,-0.2083372,1.307928,0.08630861,-0.5268636,1.292265,-0.0665888,0.001476014,1.267287,0.000891117,-0.5065216,1.256806,-0.1713492,-0.2510102,1.26803,0.3324839,-0.1294024,1.100246,NA,NA,Unknown,Unknown
0.862793,-0.387207,-0.2348633,0.4692383,1.027344,-0.07861328,-1,1,0,-1,-1,-2,0,0,7,6,4,-7,-4,1,-16,6,12,12,12,14.125,14.125,14.125,1.742618,3.284302,0.4992348,7.373999,5.577723,1.638719,-0.1816853,-0.5279245,1.128914,0.1096709,-0.01617754,1.142663,0.1555796,0.2407893,1.299564,-0.1370179,-0.5188177,1.124576,0.1289254,0.005233171,1.10441,0.1043646,-0.2088557,1.308574,0.08714599,-0.5271377,1.292845,-0.0638568,0.001517556,1.266313,0.001660919,-0.5073954,1.257898,-0.1703768,-0.2502885,1.266601,0.3250729,-0.1347174,1.094057,NA,NA,Unknown,Unknown
0.8740234,-0.3657227,-0.2275391,0.1035156,1.023438,0.3022461,-1,-2,-1,-2,-1,-1,2,-3,1,0,-8,3,2,0,7,0,32.25,32.25,32.25,42.625,42.625,42.625,1.847479,3.313839,0.4247333,7.347642,5.566634,1.377205,-0.1758318,-0.5232494,1.119506,0.1168907,-0.01635182,1.150926,0.1560621,0.2405947,1.299603,-0.1313049,-0.5116637,1.11375,0.1263572,0.008525372,1.104636,0.104655,-0.2088711,1.308794,0.08805077,-0.5268456,1.293287,-0.0679083,0.002773028,1.268025,0.002731126,-0.5075781,1.258676,-0.1703057,-0.2509133,1.266093,0.3339974,-0.1343529,1.09638,NA,NA,Unknown,Unknown
0.8886719,-0.3823242,-0.2211914,-0.3637695,0.9428711,0.456543,-1,-1,-2,-1,-1,-1,0,0,6,12,13,4,1,-11,8,3,43.0625,43.0625,43.0625,91.1875,91.1875,91.1875,1.981306,3.347745,0.3456811,7.294952,5.616385,0.9444795,-0.1705888,-0.5186977,1.1127,0.2014123,-0.02034052,1.132417,0.1538467,0.2405734,1.299816,-0.125673,-0.5122473,1.103382,0.2220755,0.001010446,1.090458,0.1044237,-0.2088681,1.309185,0.08807795,-0.5265823,1.293539,-0.07552525,0.003252546,1.273023,0.002987081,-0.5074608,1.259651,-0.1712466,-0.2532738,1.266663,0.3862632,-0.1388835,1.12894,NA,NA,Unknown,Unknown
