ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.890625,-0.4174805,-0.1845703,-0.3974609,0.9067383,0.125,-2,-2,0,-2,0,0,2,-1,-3,-3,-5,-9,10,4,2,56,24.375,24.375,24.375,-0.625,-0.625,-0.625,1.59466,3.23219,0.9478871,7.321568,5.656144,1.262556,-0.2146453,-0.5262276,1.150501,0.3284459,-0.02497919,1.156016,0.1339183,0.2431884,1.270218,-0.168171,-0.5179514,1.147254,0.385877,-0.001324027,1.131226,0.1004099,-0.2061817,1.29599,0.08577884,-0.5179927,1.280636,-0.0877426,0.003315891,1.265963,0.001754872,-0.4969044,1.240887,-0.187837,-0.2512164,1.265541,0.453371,-0.1369485,1.258855,NA,NA,Unknown,Unknown
0.8681641,-0.3950195,-0.1450195,-0.4418945,0.7924805,0.2177734,0,-1,-1,-2,-3,-2,-2,-2,-3,-2,-3,-11,-8,-5,-4,-4,10.8125,10.8125,10.8125,-13.375,-13.375,-13.375,1.68001,3.240283,0.889783,7.285254,5.637384,1.227709,-0.2100427,-0.5220223,1.141727,0.3276756,-0.02748803,1.155843,0.1340865,0.2432762,1.270284,-0.1682368,-0.5119926,1.137457,0.3879051,-0.004546721,1.130407,0.1003997,-0.2061491,1.296036,0.08585128,-0.5177817,1.281086,-0.08790337,0.00362686,1.266185,0.001842045,-0.4968185,1.240933,-0.1881163,-0.2508482,1.265951,0.4511887,-0.1379359,1.25704,NA,NA,Unknown,Unknown
0.8759766,-0.4375,-0.1494141,-0.4433594,0.7885742,0.21875,-1,-2,-1,-1,-1,-1,0,-1,3,1,0,5,3,1,4,3,-13.25,-13.25,-13.25,-31,-31,-31,1.782095,3.258637,0.76034,7.232426,5.606603,1.218619,-0.203662,-0.5203931,1.132817,0.3254611,-0.03427852,1.150104,0.1341107,0.243302,1.270292,-0.1602731,-0.5114424,1.125593,0.3819546,-0.01192591,1.126472,0.1003417,-0.2061478,1.296051,0.08576827,-0.5177194,1.281195,-0.08791068,0.003473788,1.266061,0.00187055,-0.4967893,1.240802,-0.1884077,-0.2508764,1.265956,0.4495461,-0.1401341,1.255255,NA,NA,Unknown,Unknown
0.8896484,-0.4057617,-0.1835938,-0.4238281,0.8115234,0.2631836,-1,-1,0,0,-1,-2,-1,-1,3,0,6,6,2,-1,1,1,7.25,7.25,7.25,-41.625,-41.625,-41.625,1.852671,3.269944,0.6814817,7.141179,5.534357,1.244789,-0.1952523,-0.520444,1.126554,0.3206904,-0.0477581,1.138539,0.1339756,0.2433914,1.270457,-0.1512405,-0.507406,1.128448,0.2627212,-0.01928689,1.194857,0.1002184,-0.2061157,1.296194,0.08555005,-0.5174446,1.281661,-0.08814485,0.003262206,1.266191,0.001606679,-0.4966936,1.241016,-0.1877654,-0.2514905,1.265352,0.4447345,-0.1452662,1.251595,NA,NA,Unknown,Unknown
0.8969727,-0.3818359,-0.2177734,-0.4160156,0.824707,0.3740234,1,-2,-1,1,0,-1,-1,-2,-25,-3,-1,-3,2,4,-1,-9,5.5,5.5,5.5,-62.9375,-62.9375,-62.9375,1.938395,3.283067,0.6053207,7.056965,5.459561,1.287336,-0.187164,-0.5178269,1.119288,0.2869297,-0.0691692,1.125466,0.1334931,0.2434715,1.270976,-0.1415653,-0.5078579,1.118909,0.3360766,-0.04384272,1.09228,0.1000322,-0.2061352,1.296456,0.08558036,-0.5173175,1.281979,-0.08863138,0.002539513,1.266231,0.001661578,-0.4967838,1.241344,-0.1863696,-0.253045,1.263947,0.4334866,-0.1554759,1.241103,NA,NA,Unknown,Unknown
0.8793945,-0.4106445,-0.2016602,-0.3242188,0.9960938,0.7294922,0,-1,-2,-1,-1,-1,-1,-1,4,0,-2,7,-1,0,2,3,-2.625,-2.625,-2.625,-72.4375,-72.4375,-72.4375,1.967021,3.287436,0.5688822,6.895404,5.341013,1.472713,-0.1817905,-0.5175655,1.117415,0.2768302,-0.08475148,1.09764,0.1325922,0.2437068,1.272459,-0.1384653,-0.5050027,1.111643,0.2813518,-0.0607218,1.063162,0.100151,-0.2060474,1.297128,0.08647738,-0.5167899,1.282779,-0.08896399,0.002390165,1.266685,0.0025312,-0.4968953,1.24222,-0.185742,-0.2536323,1.263325,0.419587,-0.1631304,1.227139,NA,NA,Open,Unknown
0.8886719,-0.4282227,-0.1918945,-0.4165039,1.093262,0.6489258,1,-1,0,-1,-2,-2,-1,0,-21,-4,-6,-3,-5,-3,-1,-5,-17.875,-17.875,-17.875,-9.6875,-9.6875,-9.6875,1.967239,3.280313,0.5351267,6.872964,5.336835,1.689521,-0.1788142,-0.5194591,1.118298,0.2412965,-0.09507617,1.075629,0.131912,0.2436098,1.274795,-0.138702,-0.5077745,1.111474,0.2413437,-0.07035544,1.044718,0.1001729,-0.2060965,1.298169,0.08694886,-0.5166637,1.283161,-0.08940875,0.001454894,1.267354,0.003235842,-0.4973102,1.242928,-0.1849265,-0.2551506,1.262071,0.4101393,-0.1679277,1.217927,NA,NA,Unknown,Unknown
0.9072266,-0.434082,-0.1972656,-0.07080078,1.268066,0.6699219,-1,-2,-1,-1,0,0,0,-1,40,9,2,0,1,-1,1,8,-32.3125,-32.3125,-32.3125,-0.625,-0.625,-0.625,1.881833,3.254031,0.5656782,6.987229,5.512065,2.03854,-0.1790391,-0.5232754,1.121875,0.1869469,-0.08438249,1.06261,0.132337,0.2432426,1.278009,-0.1356342,-0.5144127,1.119708,0.1440136,-0.1255521,1.100889,0.1003307,-0.2064828,1.299643,0.08715235,-0.5167419,1.283614,-0.0894664,0.001175422,1.267594,0.003388449,-0.4976785,1.243519,-0.1842528,-0.2557991,1.26054,0.4020797,-0.1726136,1.184641,NA,NA,Unknown,Unknown
0.9213867,-0.4389648,-0.203125,0.03710938,0.9887695,0.6005859,-2,-2,-1,-2,-1,0,-3,-1,-6,2,8,25,8,1,0,-4,-33.3125,-33.3125,-33.3125,-23.3125,-23.3125,-23.3125,1.785967,3.239714,0.607197,7.034579,5.638932,2.237736,-0.182522,-0.5255178,1.12425,0.1213336,-0.04249634,1.074332,0.1341612,0.242448,1.281488,-0.1393365,-0.5131048,1.122629,0.1091398,-0.08507581,1.127846,0.1004031,-0.2070022,1.301329,0.08690229,-0.5172844,1.284495,-0.08943781,0.001418928,1.267913,0.002646501,-0.4988365,1.245834,-0.1833628,-0.2559762,1.258865,0.3733294,-0.1688086,1.158386,NA,NA,Unknown,Unknown
0.9013672,-0.4233398,-0.1962891,0.105957,0.7490234,0.2314453,1,0,-1,0,-2,-1,-1,-1,-2,-8,-5,2,2,6,15,4,-10.0625,-10.0625,-10.0625,-43.4375,-43.4375,-43.4375,1.724488,3.239631,0.6402243,7.123367,5.789669,2.681648,-0.1853591,-0.5273041,1.126356,0.08824705,-0.01114216,1.107196,0.1374714,0.2418341,1.284638,-0.1404736,-0.5162125,1.124767,0.04977084,-0.03722586,1.137333,0.1008603,-0.2074055,1.303024,0.0870619,-0.5188438,1.286164,-0.08904036,0.001817602,1.268304,0.002198535,-0.5010669,1.248298,-0.182934,-0.2556495,1.257982,0.3583856,-0.1744992,1.129372,NA,NA,Unknown,Unknown
