ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
-0.1298828,-0.9912109,-0.01074219,-0.3007813,0.9619141,0.08642578,1,0,0,-1,-1,2,2,2,-3,-5,-3,0,-4,-10,-10,-9,6.125,6.125,6.125,-14.3125,-14.3125,-14.3125,2.508383,5.269923,8.726602,7.344663,5.480863,1.744748,0.09582356,-0.08737032,0.9719863,0.1100532,-0.07997561,0.9731469,0.1318223,0.2416674,1.295062,0.08939303,-0.04336525,0.9727104,0.08983304,-0.04141479,0.9822528,0.1012805,-0.2119329,1.311114,0.09339841,-0.5283929,1.294526,-0.08417418,0.009891259,1.268683,0.01140924,-0.5120776,1.260285,-0.1709455,-0.1651325,1.10819,0.3449356,-0.1335127,1.121558,NA,NA,NotTracked,NotTracked
-0.1572266,-1.011719,-0.004394531,-0.2944336,0.9238281,0.09814453,1,0,3,8,5,2,5,2,4,1,-2,-3,0,-4,-2,-5,1.75,1.75,1.75,-7,-7,-7,2.509759,5.262608,8.726254,7.316209,5.487581,1.73381,0.09547555,-0.08780505,0.9709594,0.1220137,-0.07599618,0.9761212,0.1338471,0.2413139,1.293789,0.08917066,-0.04333259,0.9716375,0.1190239,-0.03287734,0.9963636,0.1018111,-0.2118339,1.310903,0.09381524,-0.5280831,1.294439,-0.08407598,0.009939074,1.268598,0.01192489,-0.511749,1.260128,-0.1708881,-0.1650885,1.107751,0.3435836,-0.1340924,1.121163,NA,NA,NotTracked,NotTracked
-0.159668,-0.9658203,0.000488281,-0.2983398,0.9326172,0.07226563,-1,-2,-1,-4,-3,-1,-4,0,-3,-2,-1,0,1,2,-6,3,-6.9375,-6.9375,-6.9375,-3.6875,-3.6875,-3.6875,2.502524,5.24842,8.723928,7.314004,5.484308,1.733787,0.09529012,-0.08984665,0.9714455,0.1231482,-0.07770167,0.9766405,0.1355912,0.2410921,1.292577,0.0903364,-0.04472074,0.974735,0.1151105,-0.04666111,0.9594668,0.1022447,-0.2117803,1.310653,0.09398111,-0.5278867,1.294256,-0.08388904,0.01002262,1.268433,0.01246994,-0.5114975,1.260035,-0.1708921,-0.165055,1.107485,0.3424893,-0.1349872,1.120724,NA,NA,NotTracked,NotTracked
-0.09033203,-0.9003906,0,-0.2412109,0.9179688,0.1347656,-1,-2,-2,1,1,-1,-3,-3,-1,0,-2,-1,1,12,11,1,7.25,7.25,7.25,-7.6875,-7.6875,-7.6875,2.505726,5.219229,8.73203,7.294786,5.463768,1.721823,0.09393345,-0.09556677,0.9699968,0.1168342,-0.08270258,0.9732775,0.1372212,0.2408622,1.291202,0.09090221,-0.04713385,0.9706448,0.08907917,-0.0472533,0.9856154,0.1034007,-0.2119946,1.310754,0.09459238,-0.5273604,1.294159,-0.08368492,0.01013559,1.26829,0.0131539,-0.511023,1.260073,-0.170112,-0.165079,1.106354,0.3424781,-0.1363884,1.121133,NA,NA,NotTracked,NotTracked
0.06640625,-0.6855469,-0.02636719,-0.1381836,0.8608398,0.1606445,-1,1,0,-2,1,0,0,0,3,-3,-3,-2,-1,-1,-1,0,4.25,4.25,4.25,-13.4375,-13.4375,-13.4375,2.526681,5.084203,8.782125,7.263298,5.413888,1.698223,0.09745564,-0.1104253,0.9713017,0.1229511,-0.09413584,0.9761985,0.1385445,0.240986,1.290182,0.09169176,-0.05885077,0.9742917,0.1284427,-0.04746416,0.9904667,0.1040458,-0.2118026,1.31067,0.09552147,-0.5264596,1.293949,-0.08344531,0.01006857,1.268017,0.0144477,-0.5100225,1.259724,-0.167314,-0.169667,1.103476,0.3447055,-0.1405658,1.123425,NA,NA,NotTracked,NotTracked
0.2167969,-0.8608398,0.05712891,-0.1772461,0.9331055,0.1489258,0,0,-1,-3,-2,-4,-3,0,-7,-9,-9,-3,-1,-2,-3,-3,-5.875,-5.875,-5.875,-28.3125,-28.3125,-28.3125,2.512918,4.890515,8.857512,7.204004,5.324214,1.669611,0.09479588,-0.1362839,0.9757639,0.1140474,-0.1004704,0.9792095,0.1394958,0.2411298,1.289474,0.07548563,-0.09169119,0.9645714,0.1028477,-0.0654762,0.9930908,0.1052849,-0.2110382,1.309942,0.09721191,-0.5233732,1.292622,-0.08296586,0.009300277,1.26733,0.01740809,-0.5066553,1.257868,-0.1829188,-0.1676526,1.151767,0.3846992,-0.1482175,1.126065,NA,NA,NotTracked,NotTracked
0.4575195,-0.7885742,0.03955078,-0.1899414,1.006836,0.2255859,0,0,0,1,0,-1,-1,-1,10,14,7,0,0,-2,0,-4,-15.8125,-15.8125,-15.8125,-19.25,-19.25,-19.25,2.475756,4.518546,9.014503,7.154285,5.240987,1.630496,0.03493094,-0.2761157,0.9735782,0.1297733,-0.1150353,0.9965652,0.140527,0.2413004,1.288313,0.06861068,-0.2599123,1.038072,0.1389195,-0.1587974,1.0485,0.1078278,-0.2107869,1.308781,0.1011995,-0.5226668,1.291372,-0.0783584,0.004500066,1.2621,0.0243584,-0.5078737,1.256522,-0.1843018,-0.1703107,1.159146,0.3804113,-0.1581981,1.141049,NA,NA,NotTracked,NotTracked
0.5302734,-0.8789063,0.008300781,-0.1787109,1.277832,0.06298828,0,0,-1,1,2,3,1,-2,-14,0,2,-4,-3,-2,-3,-9,-32.9375,-32.9375,-32.9375,-27.9375,-27.9375,-27.9375,2.357377,4.21195,9.179003,7.119602,5.171643,1.564852,-0.02033313,-0.3537884,0.9878424,0.1397544,-0.1357214,1.001957,0.1414007,0.2416343,1.287003,0.01551672,-0.3467815,1.0492,0.08804884,-0.1123407,1.0525,0.109153,-0.2105322,1.307051,0.1028143,-0.5223861,1.289039,-0.07845547,0.004579662,1.261894,0.02583416,-0.50686,1.251946,-0.1971345,-0.181103,1.155155,0.4096757,-0.1609384,1.154174,NA,NA,Unknown,Closed
0.7636719,-0.9316406,-0.05664063,-0.3676758,1.623047,0.006347656,-1,-2,-3,-1,1,-2,-2,-1,15,40,20,8,2,4,3,5,5.125,5.125,5.125,4.4375,4.4375,4.4375,2.223425,3.896151,9.40947,7.135027,5.206668,1.453401,-0.08133906,-0.4269626,1.005363,0.1613801,-0.1292693,1.001492,0.1417462,0.2420412,1.285966,-0.05231021,-0.4021993,1.029412,0.1147723,-0.107167,1.056,0.1158782,-0.2073717,1.303877,0.1206349,-0.513687,1.280088,-0.07944231,0.004020246,1.261563,0.03039759,-0.5048248,1.24368,-0.1841473,-0.1977548,1.203442,0.4254497,-0.1674401,1.170518,NA,NA,Unknown,Unknown
0.9072266,-0.7954102,-0.1816406,-0.5463867,1.634277,0.1235352,0,-1,0,1,-1,1,0,-3,-5,-20,-23,-8,1,2,-2,-10,82.125,82.125,82.125,130.5,130.5,130.5,1.984502,3.512902,9.884122,7.31893,5.479922,1.238193,-0.1288022,-0.4986031,1.048315,0.2077227,-0.07434353,0.979059,0.1417042,0.2424461,1.284915,-0.08036384,-0.4907131,1.117278,0.1587467,-0.06562477,1.026222,0.1125452,-0.2057852,1.300303,0.1092144,-0.512174,1.276084,-0.07978165,0.00188186,1.259571,0.02152331,-0.5008705,1.241467,-0.1831929,-0.2229563,1.211394,0.4361416,-0.17272,1.163832,NA,NA,Unknown,Unknown
1.045898,-0.5654297,-0.2163086,-0.5141602,1.276855,0.3417969,-1,-1,0,-1,-2,-1,-1,-2,3,0,1,0,3,2,2,6,76.3125,76.3125,76.3125,138.9375,138.9375,138.9375,1.683733,3.308573,0.4133376,7.48983,5.854421,1.086113,-0.1772254,-0.5271277,1.087659,0.2774376,0.03390716,0.9718773,0.1414638,0.2425478,1.283364,-0.1323241,-0.5067113,1.095529,0.2283507,0.06524057,1.028,0.1051191,-0.2078609,1.29776,0.09023681,-0.519151,1.275036,-0.08151754,0.002022731,1.260309,0.007514806,-0.5008205,1.236868,-0.1824639,-0.2447344,1.216402,0.4398549,-0.1712224,1.14686,NA,NA,Unknown,Unknown
1.057617,-0.5268555,-0.2841797,-0.5532227,0.7241211,0.4326172,0,0,-2,1,-2,-3,-1,-1,-4,-5,-7,-9,-4,1,2,6,37.4375,37.4375,37.4375,140.5625,140.5625,140.5625,1.338288,3.22299,0.9001794,7.692193,6.286961,1.044237,-0.2096613,-0.5401788,1.127802,0.3378489,0.1423568,1.041428,0.1409454,0.2425791,1.282247,-0.1678027,-0.527801,1.130074,0.2927044,0.1545376,1.094286,0.1014416,-0.2073239,1.297959,0.08304054,-0.5186005,1.276768,-0.08294983,0.002117612,1.260956,-0.000799892,-0.4968073,1.235428,-0.1834403,-0.2525505,1.225476,0.4589239,-0.1277907,1.141186,NA,NA,Unknown,Closed
0.9755859,-0.4824219,-0.2421875,-0.4404297,0.2978516,0.3569336,-2,0,-1,1,-1,-1,-1,1,-4,8,1,-1,0,1,3,-6,-4.25,-4.25,-4.25,94.875,94.875,94.875,1.176694,3.19136,1.102722,8.164685,6.7104,1.297549,-0.2231931,-0.5399208,1.152272,0.3542545,0.241013,1.084044,0.1407614,0.2425376,1.280334,-0.1792031,-0.5315742,1.15525,0.3055789,0.2347273,1.1302,0.1002147,-0.206833,1.297788,0.08167584,-0.517807,1.276909,-0.08421542,0.002722183,1.26196,-0.002564618,-0.4947408,1.235118,-0.1846597,-0.2523748,1.235861,0.4677771,-0.05270002,1.121452,NA,NA,Unknown,Unknown
