ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8955078,-0.3901367,-0.1889648,0.9008789,0.3603516,-0.04345703,-1,-2,0,-2,-3,-4,-1,0,0,0,-1,-1,-1,0,0,-1,-0.9375,-0.9375,-0.9375,0.75,0.75,0.75,1.771044,3.204371,0.3738337,7.74017,3.117592,9.05208,-0.170089,-0.5286323,1.124101,0.3556302,-0.5378416,1.114801,0.1604756,0.2384839,1.281107,-0.1270777,-0.5182167,1.122631,0.3844224,-0.5367348,1.088636,0.1142046,-0.2091844,1.297115,0.1007006,-0.5184216,1.278055,-0.0828442,0.004298696,1.266767,0.01755114,-0.4976658,1.237097,-0.1728818,-0.2546886,1.248874,0.373475,-0.2862369,1.245546,NA,NA,Unknown,Unknown
0.9057617,-0.3930664,-0.1860352,0.8969727,0.3530273,-0.03466797,-1,-5,-1,-2,-2,-1,0,-1,-2,-1,0,-1,-2,-1,-2,-2,1.3125,1.3125,1.3125,0.375,0.375,0.375,1.76757,3.203264,0.3784918,7.738747,3.117232,9.052441,-0.1702548,-0.5299122,1.124484,0.3554314,-0.5367645,1.114732,0.1604691,0.2385076,1.281068,-0.1272446,-0.5185124,1.122292,0.3917768,-0.5358449,1.100295,0.1141827,-0.2091794,1.297097,0.1006537,-0.5184187,1.277999,-0.08285061,0.004302006,1.266768,0.01749972,-0.4976318,1.237033,-0.1728903,-0.254684,1.248935,0.3735782,-0.2867193,1.245493,NA,NA,Unknown,Unknown
0.8999023,-0.3925781,-0.1884766,0.8969727,0.3652344,-0.03710938,-1,-1,0,0,-1,0,0,0,-3,-1,2,-2,-3,0,0,1,-1,-1,-1,0.625,0.625,0.625,1.766189,3.202101,0.3810681,7.742652,3.117196,9.048733,-0.1702128,-0.5292709,1.125286,0.3544469,-0.5368432,1.115317,0.1604489,0.2385379,1.28105,-0.1267981,-0.5159147,1.125655,0.3832304,-0.5317938,1.090923,0.1140942,-0.209096,1.297084,0.100636,-0.5183991,1.277961,-0.08285452,0.004301093,1.266767,0.01747386,-0.4975901,1.236997,-0.172922,-0.254674,1.249066,0.37354,-0.2867567,1.245458,NA,NA,Unknown,Unknown
0.8964844,-0.3989258,-0.1826172,0.9023438,0.3637695,-0.03125,-2,0,-2,-2,-2,-3,0,-2,1,-2,1,0,1,0,-1,-1,-0.3125,-0.3125,-0.3125,0.5,0.5,0.5,1.767117,3.203083,0.3785076,7.744311,3.117295,9.046269,-0.1710537,-0.5300556,1.125103,0.3550754,-0.5366267,1.115626,0.1604423,0.2385385,1.281051,-0.1271911,-0.5164816,1.124725,0.3847167,-0.5332915,1.090683,0.114042,-0.2090968,1.297104,0.100631,-0.5184399,1.277969,-0.08287252,0.004309644,1.26676,0.01750964,-0.4976068,1.237035,-0.1729937,-0.2546456,1.249151,0.3735194,-0.2866945,1.245404,NA,NA,Unknown,Unknown
0.8984375,-0.3930664,-0.1918945,0.9018555,0.3632813,-0.03027344,0,-2,-2,0,0,0,-3,-2,-2,-1,-1,-2,-1,-1,0,1,-0.5625,-0.5625,-0.5625,-0.875,-0.875,-0.875,1.769255,3.204859,0.3754026,7.744317,3.117997,9.043626,-0.17114,-0.5290763,1.125256,0.3559424,-0.5378963,1.115615,0.1604134,0.2385584,1.281099,-0.1273874,-0.5166472,1.124659,0.3948638,-0.5410325,1.103154,0.1140283,-0.2090477,1.297149,0.1005734,-0.518375,1.277986,-0.08289871,0.004313754,1.266779,0.01745161,-0.4975908,1.237084,-0.1729985,-0.2546486,1.249198,0.3730803,-0.2849869,1.245529,NA,NA,Unknown,Unknown
0.8959961,-0.3847656,-0.190918,0.9013672,0.3642578,-0.03271484,-1,0,-1,-1,0,-1,-2,-2,-2,0,0,-3,-3,0,0,-2,-0.5,-0.5,-0.5,0,0,0,1.773526,3.207075,0.3703184,7.741512,3.118455,9.045084,-0.1702646,-0.5287243,1.124087,0.3550695,-0.5366145,1.115246,0.1603834,0.2385566,1.281152,-0.1273929,-0.5124797,1.126819,0.3830135,-0.5301895,1.089089,0.1139997,-0.2090479,1.297184,0.1005987,-0.5183669,1.278034,-0.08290901,0.004330141,1.266795,0.01747567,-0.4976103,1.237219,-0.1729842,-0.2546403,1.249283,0.3730246,-0.2847528,1.245545,NA,NA,Unknown,Unknown
0.8999023,-0.3891602,-0.190918,0.9438477,0.375,-0.03027344,1,-1,-2,1,1,1,-1,-4,0,-1,-2,-1,-3,0,-1,-2,-2,-2,-2,0.4375,0.4375,0.4375,1.773252,3.207668,0.3684341,7.72228,3.122693,9.065289,-0.1699541,-0.5291419,1.123236,0.3547618,-0.5376173,1.115304,0.1603501,0.2385774,1.281215,-0.1271304,-0.513602,1.124974,0.382358,-0.5392532,1.087628,0.1140015,-0.2090803,1.297201,0.1005467,-0.5184181,1.27808,-0.08291555,0.004334377,1.266795,0.01745155,-0.49762,1.237236,-0.172989,-0.2546367,1.249289,0.3734445,-0.2864496,1.245452,NA,NA,Unknown,Unknown
0.9174805,-0.4384766,-0.1733398,0.9526367,0.4516602,0.01025391,-1,-1,-1,-3,-7,-4,-1,0,-1,-4,-3,-3,-2,-1,-3,-1,2.5,2.5,2.5,-5.625,-5.625,-5.625,1.831578,3.213554,0.3074496,7.607547,3.151078,9.184454,-0.166716,-0.5254226,1.119682,0.3515365,-0.5367111,1.113314,0.1603244,0.238621,1.281352,-0.1248066,-0.5151296,1.119145,0.3904371,-0.5335896,1.1008,0.1140618,-0.2090925,1.297246,0.1006601,-0.5183969,1.278138,-0.08293104,0.004350122,1.266812,0.01764376,-0.4976572,1.237402,-0.1738428,-0.2543166,1.249925,0.3732302,-0.2853329,1.245708,NA,NA,Unknown,Unknown
0.9760742,-0.6777344,-0.08789063,1.029785,0.515625,0.06201172,2,1,2,3,7,6,2,1,2,2,-3,-2,-2,-2,-2,0,2.875,2.875,2.875,-16.375,-16.375,-16.375,2.042313,3.278101,0.08070163,7.423147,3.220134,9.361653,-0.1555619,-0.5148095,1.106682,0.343394,-0.5281472,1.107945,0.1603244,0.2386501,1.281537,-0.113859,-0.4952262,1.111478,0.3725413,-0.5287411,1.082433,0.1142498,-0.2090375,1.297333,0.1009247,-0.5182887,1.278189,-0.08292965,0.004350943,1.266814,0.01783327,-0.4976503,1.237461,-0.1748133,-0.2539626,1.250271,0.3737596,-0.2851112,1.246636,NA,NA,Unknown,Unknown
0.9765625,-0.9091797,-0.003417969,1.049805,0.6513672,0.15625,-2,-1,-4,-7,-9,-2,-1,-1,-9,-8,-6,-2,-2,-3,-1,-4,24.5,24.5,24.5,-25.5,-25.5,-25.5,2.31624,3.435112,9.804332,7.194753,3.3742,9.573852,-0.1291769,-0.4803042,1.079425,0.3287109,-0.5091082,1.095314,0.1603729,0.2386379,1.281789,-0.08726571,-0.4597758,1.087,0.3674356,-0.5179539,1.084714,0.1151609,-0.2084028,1.297595,0.1033811,-0.5161813,1.278395,-0.08289701,0.004456037,1.266957,0.01887923,-0.4966978,1.237718,-0.1772536,-0.2475984,1.251443,0.3746801,-0.2818865,1.249464,NA,NA,Unknown,Unknown
